time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,forward_direction
312.8029,-0.33027,1.097658,0.169735,354.9425,356.8381,2.045594,(-0.1_ 0.1_ 1.0)
312.8029,-0.330519,1.097311,0.170259,355.1057,356.7221,2.134858,(-0.1_ 0.1_ 1.0)
312.8029,-0.330564,1.097259,0.170359,355.1069,356.6868,2.182604,(-0.1_ 0.1_ 1.0)
312.8029,-0.330598,1.097268,0.17039,355.1207,356.6723,2.180733,(-0.1_ 0.1_ 1.0)
312.8029,-0.330625,1.097254,0.170442,355.1108,356.667,2.195545,(-0.1_ 0.1_ 1.0)
312.8029,-0.330664,1.09724,0.170477,355.1011,356.6729,2.187897,(-0.1_ 0.1_ 1.0)
312.8029,-0.330692,1.097233,0.170544,355.0959,356.654,2.195305,(-0.1_ 0.1_ 1.0)
312.8029,-0.330725,1.097228,0.170612,355.0909,356.6378,2.199656,(-0.1_ 0.1_ 1.0)
312.8029,-0.330748,1.097217,0.170685,355.0903,356.6178,2.214248,(-0.1_ 0.1_ 1.0)
312.8029,-0.330771,1.097196,0.170755,355.0876,356.6058,2.221038,(-0.1_ 0.1_ 1.0)
312.8029,-0.330798,1.097172,0.17084,355.0898,356.5892,2.223961,(-0.1_ 0.1_ 1.0)
312.8029,-0.330808,1.097134,0.170943,355.0764,356.5746,2.238173,(-0.1_ 0.1_ 1.0)
312.8029,-0.330819,1.097125,0.171019,355.0843,356.5659,2.236569,(-0.1_ 0.1_ 1.0)
312.8029,-0.330829,1.097111,0.171094,355.0826,356.5652,2.23617,(-0.1_ 0.1_ 1.0)
312.8029,-0.330839,1.097097,0.171183,355.0833,356.5669,2.236814,(-0.1_ 0.1_ 1.0)
312.8029,-0.330836,1.097056,0.171328,355.0684,356.5706,2.249521,(-0.1_ 0.1_ 1.0)
312.8029,-0.330843,1.097037,0.171437,355.0674,356.5764,2.251873,(-0.1_ 0.1_ 1.0)
312.8029,-0.330848,1.097009,0.171578,355.0596,356.5855,2.258396,(-0.1_ 0.1_ 1.0)
312.8029,-0.330835,1.096987,0.171724,355.057,356.5857,2.269637,(-0.1_ 0.1_ 1.0)
312.8029,-0.330838,1.096987,0.171807,355.0606,356.5896,2.261969,(-0.1_ 0.1_ 1.0)
312.8029,-0.330816,1.096969,0.171961,355.0585,356.5843,2.265002,(-0.1_ 0.1_ 1.0)
312.8029,-0.330801,1.096957,0.172099,355.0685,356.5887,2.271158,(-0.1_ 0.1_ 1.0)
312.8029,-0.330787,1.09694,0.172253,355.076,356.5907,2.270123,(-0.1_ 0.1_ 1.0)
312.8029,-0.330763,1.096925,0.172458,355.0896,356.5968,2.276037,(-0.1_ 0.1_ 1.0)
312.8029,-0.330755,1.096909,0.172692,355.0992,356.6155,2.268338,(-0.1_ 0.1_ 1.0)
312.8029,-0.330719,1.096904,0.172853,355.1237,356.6091,2.264617,(-0.1_ 0.1_ 1.0)
312.8029,-0.330697,1.096869,0.173019,355.1109,356.6152,2.262208,(-0.1_ 0.1_ 1.0)
312.8029,-0.33065,1.096864,0.173208,355.1319,356.6163,2.257694,(-0.1_ 0.1_ 1.0)
312.8029,-0.330613,1.096848,0.173408,355.1389,356.632,2.253525,(-0.1_ 0.1_ 1.0)
312.8029,-0.330566,1.096843,0.17368,355.146,356.6582,2.244273,(-0.1_ 0.1_ 1.0)
312.8029,-0.330518,1.096836,0.173835,355.1362,356.6593,2.255966,(-0.1_ 0.1_ 1.0)
312.8029,-0.330464,1.096834,0.174112,355.1262,356.6914,2.251709,(-0.1_ 0.1_ 1.0)
312.8029,-0.330419,1.096837,0.174295,355.1227,356.711,2.252325,(-0.1_ 0.1_ 1.0)
312.8029,-0.330374,1.096829,0.174477,355.1036,356.7219,2.244995,(-0.1_ 0.1_ 1.0)
312.8029,-0.330302,1.096793,0.174771,355.0746,356.7659,2.241333,(-0.1_ 0.1_ 1.0)
