experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,condition,targetspeed,map_rotation,hit,targetpole_movement_location_0,rmcardemo_usa_movement_location_0,main_camera_movement_location_0
my_experiment,Dominik,1,1,1,1,9.420691,19.34301,2,4,141.1559,True,my_experiment/Dominik/S001/trackers/targetpole_movement_T001.csv,my_experiment/Dominik/S001/trackers/rmcardemo_usa_movement_T001.csv,my_experiment/Dominik/S001/trackers/main_camera_movement_T001.csv
my_experiment,Dominik,1,2,1,2,19.34301,30.00991,2,4,227.6026,True,my_experiment/Dominik/S001/trackers/targetpole_movement_T002.csv,my_experiment/Dominik/S001/trackers/rmcardemo_usa_movement_T002.csv,my_experiment/Dominik/S001/trackers/main_camera_movement_T002.csv
my_experiment,Dominik,1,3,1,3,30.00991,39.92225,2,4,121.6325,True,my_experiment/Dominik/S001/trackers/targetpole_movement_T003.csv,my_experiment/Dominik/S001/trackers/rmcardemo_usa_movement_T003.csv,my_experiment/Dominik/S001/trackers/main_camera_movement_T003.csv
my_experiment,Dominik,1,4,1,4,39.92225,50.93457,2,5,114.5988,True,my_experiment/Dominik/S001/trackers/targetpole_movement_T004.csv,my_experiment/Dominik/S001/trackers/rmcardemo_usa_movement_T004.csv,my_experiment/Dominik/S001/trackers/main_camera_movement_T004.csv
my_experiment,Dominik,1,5,1,5,50.93457,62.00167,2,5,268.143,True,my_experiment/Dominik/S001/trackers/targetpole_movement_T005.csv,my_experiment/Dominik/S001/trackers/rmcardemo_usa_movement_T005.csv,my_experiment/Dominik/S001/trackers/main_camera_movement_T005.csv
my_experiment,Dominik,1,6,1,6,62.00167,71.94772,2,5,243.6435,True,my_experiment/Dominik/S001/trackers/targetpole_movement_T006.csv,my_experiment/Dominik/S001/trackers/rmcardemo_usa_movement_T006.csv,my_experiment/Dominik/S001/trackers/main_camera_movement_T006.csv
my_experiment,Dominik,1,7,1,7,71.94772,82.2048,2,5,123.7313,True,my_experiment/Dominik/S001/trackers/targetpole_movement_T007.csv,my_experiment/Dominik/S001/trackers/rmcardemo_usa_movement_T007.csv,my_experiment/Dominik/S001/trackers/main_camera_movement_T007.csv
my_experiment,Dominik,1,8,1,8,82.2048,98.01807,2,6,215.8215,True,my_experiment/Dominik/S001/trackers/targetpole_movement_T008.csv,my_experiment/Dominik/S001/trackers/rmcardemo_usa_movement_T008.csv,my_experiment/Dominik/S001/trackers/main_camera_movement_T008.csv
my_experiment,Dominik,1,9,1,9,98.01807,127.4097,2,4,144.4185,False,my_experiment/Dominik/S001/trackers/targetpole_movement_T009.csv,my_experiment/Dominik/S001/trackers/rmcardemo_usa_movement_T009.csv,my_experiment/Dominik/S001/trackers/main_camera_movement_T009.csv
my_experiment,Dominik,1,10,1,10,127.4097,138.0326,2,4,235.9806,True,my_experiment/Dominik/S001/trackers/targetpole_movement_T010.csv,my_experiment/Dominik/S001/trackers/rmcardemo_usa_movement_T010.csv,my_experiment/Dominik/S001/trackers/main_camera_movement_T010.csv
my_experiment,Dominik,1,11,1,11,138.0326,153.3886,2,6,206.5812,True,my_experiment/Dominik/S001/trackers/targetpole_movement_T011.csv,my_experiment/Dominik/S001/trackers/rmcardemo_usa_movement_T011.csv,my_experiment/Dominik/S001/trackers/main_camera_movement_T011.csv
my_experiment,Dominik,1,12,1,12,153.3886,164.8465,2,6,187.3985,True,my_experiment/Dominik/S001/trackers/targetpole_movement_T012.csv,my_experiment/Dominik/S001/trackers/rmcardemo_usa_movement_T012.csv,my_experiment/Dominik/S001/trackers/main_camera_movement_T012.csv
my_experiment,Dominik,1,13,1,13,164.8465,182.6918,2,6,262.603,True,my_experiment/Dominik/S001/trackers/targetpole_movement_T013.csv,my_experiment/Dominik/S001/trackers/rmcardemo_usa_movement_T013.csv,my_experiment/Dominik/S001/trackers/main_camera_movement_T013.csv
my_experiment,Dominik,1,14,1,14,182.6918,198.9045,2,6,158.0372,True,my_experiment/Dominik/S001/trackers/targetpole_movement_T014.csv,my_experiment/Dominik/S001/trackers/rmcardemo_usa_movement_T014.csv,my_experiment/Dominik/S001/trackers/main_camera_movement_T014.csv
my_experiment,Dominik,1,15,1,15,198.9045,208.773,2,5,227.7615,True,my_experiment/Dominik/S001/trackers/targetpole_movement_T015.csv,my_experiment/Dominik/S001/trackers/rmcardemo_usa_movement_T015.csv,my_experiment/Dominik/S001/trackers/main_camera_movement_T015.csv
my_experiment,Dominik,1,16,1,16,208.773,219.052,2,4,163.6077,True,my_experiment/Dominik/S001/trackers/targetpole_movement_T016.csv,my_experiment/Dominik/S001/trackers/rmcardemo_usa_movement_T016.csv,my_experiment/Dominik/S001/trackers/main_camera_movement_T016.csv
my_experiment,Dominik,1,17,1,17,219.052,230.0209,2,5,165.9461,True,my_experiment/Dominik/S001/trackers/targetpole_movement_T017.csv,my_experiment/Dominik/S001/trackers/rmcardemo_usa_movement_T017.csv,my_experiment/Dominik/S001/trackers/main_camera_movement_T017.csv
my_experiment,Dominik,1,18,1,18,230.0209,260.0232,2,6,239.2084,False,my_experiment/Dominik/S001/trackers/targetpole_movement_T018.csv,my_experiment/Dominik/S001/trackers/rmcardemo_usa_movement_T018.csv,my_experiment/Dominik/S001/trackers/main_camera_movement_T018.csv
my_experiment,Dominik,1,19,1,19,260.0232,271.5363,2,4,169.0181,True,my_experiment/Dominik/S001/trackers/targetpole_movement_T019.csv,my_experiment/Dominik/S001/trackers/rmcardemo_usa_movement_T019.csv,my_experiment/Dominik/S001/trackers/main_camera_movement_T019.csv
my_experiment,Dominik,1,20,1,20,271.5363,282.2707,2,4,121.9372,True,my_experiment/Dominik/S001/trackers/targetpole_movement_T020.csv,my_experiment/Dominik/S001/trackers/rmcardemo_usa_movement_T020.csv,my_experiment/Dominik/S001/trackers/main_camera_movement_T020.csv
my_experiment,Dominik,1,21,1,21,282.2707,294.4563,2,5,233.4637,True,my_experiment/Dominik/S001/trackers/targetpole_movement_T021.csv,my_experiment/Dominik/S001/trackers/rmcardemo_usa_movement_T021.csv,my_experiment/Dominik/S001/trackers/main_camera_movement_T021.csv
my_experiment,Dominik,1,22,1,22,294.4563,312.8029,2,6,135.5527,True,my_experiment/Dominik/S001/trackers/targetpole_movement_T022.csv,my_experiment/Dominik/S001/trackers/rmcardemo_usa_movement_T022.csv,my_experiment/Dominik/S001/trackers/main_camera_movement_T022.csv
my_experiment,Dominik,1,23,1,23,312.8029,325.6501,2,6,143.2569,True,my_experiment/Dominik/S001/trackers/targetpole_movement_T023.csv,my_experiment/Dominik/S001/trackers/rmcardemo_usa_movement_T023.csv,my_experiment/Dominik/S001/trackers/main_camera_movement_T023.csv
my_experiment,Dominik,1,24,1,24,325.6501,336.2289,2,5,225.3458,True,my_experiment/Dominik/S001/trackers/targetpole_movement_T024.csv,my_experiment/Dominik/S001/trackers/rmcardemo_usa_movement_T024.csv,my_experiment/Dominik/S001/trackers/main_camera_movement_T024.csv
