time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,forward_direction
348.9326,-0.300989,1.140764,0.14192,0.376504,332.9756,337.6565,(-0.5_ 0.0_ 0.9)
348.9326,-0.301576,1.141718,0.139707,359.8869,332.802,338.4405,(-0.5_ 0.0_ 0.9)
348.9326,-0.301772,1.142115,0.139146,359.7493,332.8398,338.6659,(-0.5_ 0.0_ 0.9)
348.9326,-0.301787,1.142222,0.138919,359.6469,332.84,338.769,(-0.5_ 0.0_ 0.9)
348.9326,-0.301845,1.142357,0.138709,359.5736,332.8912,338.8531,(-0.5_ 0.0_ 0.9)
348.9326,-0.301873,1.142472,0.138502,359.5081,332.916,338.9341,(-0.5_ 0.0_ 0.9)
348.9326,-0.301907,1.14259,0.138249,359.4709,332.9674,339.0797,(-0.5_ 0.0_ 0.9)
348.9326,-0.301861,1.142703,0.138083,359.4917,332.9555,339.1323,(-0.5_ 0.0_ 0.9)
348.9326,-0.301947,1.142745,0.137882,359.4212,333.0545,339.2138,(-0.5_ 0.0_ 0.9)
348.9326,-0.302,1.142881,0.137616,359.4558,333.1362,339.2782,(-0.5_ 0.0_ 0.9)
348.9326,-0.301969,1.142921,0.137379,359.43,333.1572,339.3879,(-0.5_ 0.0_ 0.9)
348.9326,-0.30198,1.142987,0.137154,359.4064,333.2098,339.4965,(-0.5_ 0.0_ 0.9)
348.9326,-0.302039,1.143076,0.136901,359.4134,333.3358,339.6361,(-0.4_ 0.0_ 0.9)
348.9326,-0.302045,1.143203,0.136656,359.4344,333.4204,339.783,(-0.4_ 0.0_ 0.9)
348.9326,-0.30207,1.143292,0.136434,359.4242,333.5297,339.9619,(-0.4_ 0.0_ 0.9)
348.9326,-0.302082,1.143383,0.136227,359.3735,333.6214,340.125,(-0.4_ 0.0_ 0.9)
348.9326,-0.302165,1.143511,0.136002,359.3597,333.7711,340.2905,(-0.4_ 0.0_ 0.9)
348.9326,-0.30215,1.143517,0.135976,359.3584,333.7769,340.315,(-0.4_ 0.0_ 0.9)
348.9326,-0.302162,1.143643,0.135736,359.3504,333.8498,340.4432,(-0.4_ 0.0_ 0.9)
348.9326,-0.302213,1.143772,0.135486,359.3442,333.9477,340.5732,(-0.4_ 0.0_ 0.9)
348.9326,-0.302275,1.143894,0.135215,359.3391,334.0603,340.7279,(-0.4_ 0.0_ 0.9)
348.9326,-0.302315,1.144016,0.134955,359.33,334.1453,340.8788,(-0.4_ 0.0_ 0.9)
348.9326,-0.30234,1.144154,0.134681,359.3154,334.2177,341.0427,(-0.4_ 0.0_ 0.9)
348.9326,-0.302392,1.144283,0.134413,359.301,334.3333,341.2194,(-0.4_ 0.0_ 0.9)
348.9326,-0.302432,1.144439,0.134136,359.292,334.4564,341.3805,(-0.4_ 0.0_ 0.9)
348.9326,-0.302455,1.144571,0.13386,359.2727,334.5889,341.5502,(-0.4_ 0.0_ 0.9)
348.9326,-0.302488,1.144674,0.1336,359.2322,334.7449,341.7507,(-0.4_ 0.0_ 0.9)
348.9326,-0.302459,1.144822,0.133326,359.1939,334.8575,341.8851,(-0.4_ 0.0_ 0.9)
348.9326,-0.302451,1.144965,0.133077,359.1566,335.0102,342.0418,(-0.4_ 0.0_ 0.9)
348.9326,-0.302433,1.145108,0.132837,359.1323,335.1962,342.2379,(-0.4_ 0.0_ 0.9)
348.9326,-0.302424,1.14522,0.13263,359.0666,335.3747,342.4047,(-0.4_ 0.0_ 0.9)
348.9326,-0.30237,1.145365,0.132424,359.0355,335.5498,342.5927,(-0.4_ 0.0_ 0.9)
348.9326,-0.302308,1.14553,0.132231,359.01,335.7099,342.7547,(-0.4_ 0.0_ 0.9)
348.9326,-0.302276,1.145665,0.132077,358.9666,335.9021,342.9264,(-0.4_ 0.0_ 0.9)
348.9326,-0.302226,1.145787,0.131931,358.9267,336.0703,343.0834,(-0.4_ 0.0_ 0.9)
348.9326,-0.302231,1.145883,0.13179,358.8699,336.2823,343.2282,(-0.4_ 0.0_ 0.9)
348.9326,-0.302171,1.145979,0.131651,358.8255,336.4405,343.3658,(-0.4_ 0.0_ 0.9)
348.9326,-0.302164,1.14608,0.131535,358.792,336.6651,343.5162,(-0.4_ 0.0_ 0.9)
348.9326,-0.302103,1.146216,0.131434,358.7878,336.8595,343.6542,(-0.4_ 0.0_ 0.9)
348.9326,-0.302029,1.146306,0.131383,358.7499,337.0573,343.8193,(-0.4_ 0.0_ 0.9)
348.9326,-0.301953,1.146414,0.131357,358.719,337.2632,343.9589,(-0.4_ 0.0_ 0.9)
348.9326,-0.301878,1.146476,0.131392,358.6619,337.4838,344.1397,(-0.4_ 0.0_ 0.9)
348.9326,-0.301807,1.146579,0.131454,358.6378,337.6965,344.2852,(-0.4_ 0.0_ 0.9)
348.9326,-0.301752,1.146652,0.131566,358.5976,337.9409,344.4737,(-0.4_ 0.0_ 0.9)
348.9326,-0.301662,1.146774,0.131688,358.5794,338.1458,344.6375,(-0.4_ 0.0_ 0.9)
348.9326,-0.301628,1.146862,0.131857,358.5292,338.395,344.7888,(-0.4_ 0.0_ 0.9)
348.9326,-0.301589,1.146956,0.13205,358.4979,338.6333,344.9433,(-0.4_ 0.0_ 0.9)
348.9446,-0.301512,1.148876,0.216287,358.4392,338.8299,345.0899,(-0.4_ 0.0_ 0.9)
348.9554,-0.301507,1.14896,0.292197,358.4105,339.0835,345.245,(-0.4_ 0.0_ 0.9)
348.9662,-0.301469,1.150941,0.367458,358.3715,339.2909,345.3836,(-0.4_ 0.0_ 0.9)
348.9779,-0.301491,1.150998,0.449935,358.323,339.5132,345.53,(-0.3_ 0.0_ 0.9)
348.989,-0.301471,1.152999,0.528581,358.256,339.6633,345.6633,(-0.3_ 0.0_ 0.9)
348.9995,-0.301553,1.153068,0.602123,358.1796,339.8782,345.7966,(-0.3_ 0.0_ 0.9)
349.011,-0.301592,1.154399,0.682674,358.1057,340.0237,345.9285,(-0.3_ 0.0_ 0.9)
349.0224,-0.301632,1.154607,0.763001,358.0544,340.1576,346.0574,(-0.3_ 0.0_ 0.9)
349.0332,-0.301735,1.154636,0.839438,357.9735,340.3236,346.1904,(-0.3_ 0.0_ 0.9)
349.0439,-0.301787,1.154857,0.915082,357.9018,340.4343,346.3244,(-0.3_ 0.0_ 0.9)
349.0555,-0.301885,1.154876,0.996077,357.8348,340.5692,346.4491,(-0.3_ 0.0_ 0.9)
349.0681,-0.301999,1.155226,1.085279,357.7995,340.7053,346.5698,(-0.3_ 0.0_ 0.9)
349.0793,-0.302112,1.155227,1.164156,357.7412,340.8114,346.6947,(-0.3_ 0.0_ 0.9)
