experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,condition,targetspeed,map_rotation,hit,targetpole_movement_location_0,rmcardemo_usa_movement_location_0,main_camera_movement_location_0
vr driving simulator,ANOL09,3,1,1,1,8.201641,18.77982,1,4,211.05,True,vr driving simulator/ANOL09/S003/trackers/targetpole_movement_T001.csv,vr driving simulator/ANOL09/S003/trackers/rmcardemo_usa_movement_T001.csv,vr driving simulator/ANOL09/S003/trackers/main_camera_movement_T001.csv
vr driving simulator,ANOL09,3,2,1,2,18.77982,32.65986,1,6,247.4101,True,vr driving simulator/ANOL09/S003/trackers/targetpole_movement_T002.csv,vr driving simulator/ANOL09/S003/trackers/rmcardemo_usa_movement_T002.csv,vr driving simulator/ANOL09/S003/trackers/main_camera_movement_T002.csv
vr driving simulator,ANOL09,3,3,1,3,32.65986,52.5182,1,6,235.4766,True,vr driving simulator/ANOL09/S003/trackers/targetpole_movement_T003.csv,vr driving simulator/ANOL09/S003/trackers/rmcardemo_usa_movement_T003.csv,vr driving simulator/ANOL09/S003/trackers/main_camera_movement_T003.csv
vr driving simulator,ANOL09,3,4,1,4,52.5182,63.92147,1,5,239.4555,False,vr driving simulator/ANOL09/S003/trackers/targetpole_movement_T004.csv,vr driving simulator/ANOL09/S003/trackers/rmcardemo_usa_movement_T004.csv,vr driving simulator/ANOL09/S003/trackers/main_camera_movement_T004.csv
vr driving simulator,ANOL09,3,5,1,5,63.92147,80.10141,1,6,113.2674,True,vr driving simulator/ANOL09/S003/trackers/targetpole_movement_T005.csv,vr driving simulator/ANOL09/S003/trackers/rmcardemo_usa_movement_T005.csv,vr driving simulator/ANOL09/S003/trackers/main_camera_movement_T005.csv
vr driving simulator,ANOL09,3,6,1,6,80.10141,92.2936,1,5,266.4186,True,vr driving simulator/ANOL09/S003/trackers/targetpole_movement_T006.csv,vr driving simulator/ANOL09/S003/trackers/rmcardemo_usa_movement_T006.csv,vr driving simulator/ANOL09/S003/trackers/main_camera_movement_T006.csv
vr driving simulator,ANOL09,3,7,1,7,92.2936,102.4741,1,4,155.9415,True,vr driving simulator/ANOL09/S003/trackers/targetpole_movement_T007.csv,vr driving simulator/ANOL09/S003/trackers/rmcardemo_usa_movement_T007.csv,vr driving simulator/ANOL09/S003/trackers/main_camera_movement_T007.csv
vr driving simulator,ANOL09,3,8,1,8,102.4741,112.6863,1,4,191.5058,True,vr driving simulator/ANOL09/S003/trackers/targetpole_movement_T008.csv,vr driving simulator/ANOL09/S003/trackers/rmcardemo_usa_movement_T008.csv,vr driving simulator/ANOL09/S003/trackers/main_camera_movement_T008.csv
vr driving simulator,ANOL09,3,9,1,9,112.6863,127.344,1,6,149.3249,True,vr driving simulator/ANOL09/S003/trackers/targetpole_movement_T009.csv,vr driving simulator/ANOL09/S003/trackers/rmcardemo_usa_movement_T009.csv,vr driving simulator/ANOL09/S003/trackers/main_camera_movement_T009.csv
vr driving simulator,ANOL09,3,10,1,10,127.344,138.3458,1,5,191.9609,True,vr driving simulator/ANOL09/S003/trackers/targetpole_movement_T010.csv,vr driving simulator/ANOL09/S003/trackers/rmcardemo_usa_movement_T010.csv,vr driving simulator/ANOL09/S003/trackers/main_camera_movement_T010.csv
vr driving simulator,ANOL09,3,11,1,11,138.3458,153.0056,1,6,155.4756,True,vr driving simulator/ANOL09/S003/trackers/targetpole_movement_T011.csv,vr driving simulator/ANOL09/S003/trackers/rmcardemo_usa_movement_T011.csv,vr driving simulator/ANOL09/S003/trackers/main_camera_movement_T011.csv
vr driving simulator,ANOL09,3,12,1,12,153.0056,163.2409,1,4,146.6871,True,vr driving simulator/ANOL09/S003/trackers/targetpole_movement_T012.csv,vr driving simulator/ANOL09/S003/trackers/rmcardemo_usa_movement_T012.csv,vr driving simulator/ANOL09/S003/trackers/main_camera_movement_T012.csv
vr driving simulator,ANOL09,3,13,1,13,163.2409,173.3772,1,4,265.0839,True,vr driving simulator/ANOL09/S003/trackers/targetpole_movement_T013.csv,vr driving simulator/ANOL09/S003/trackers/rmcardemo_usa_movement_T013.csv,vr driving simulator/ANOL09/S003/trackers/main_camera_movement_T013.csv
vr driving simulator,ANOL09,3,14,1,14,173.3772,185.4916,1,5,223.4973,True,vr driving simulator/ANOL09/S003/trackers/targetpole_movement_T014.csv,vr driving simulator/ANOL09/S003/trackers/rmcardemo_usa_movement_T014.csv,vr driving simulator/ANOL09/S003/trackers/main_camera_movement_T014.csv
vr driving simulator,ANOL09,3,15,1,15,185.4916,195.6834,1,4,165.0392,True,vr driving simulator/ANOL09/S003/trackers/targetpole_movement_T015.csv,vr driving simulator/ANOL09/S003/trackers/rmcardemo_usa_movement_T015.csv,vr driving simulator/ANOL09/S003/trackers/main_camera_movement_T015.csv
vr driving simulator,ANOL09,3,16,1,16,195.6834,206.0088,1,4,257.7096,True,vr driving simulator/ANOL09/S003/trackers/targetpole_movement_T016.csv,vr driving simulator/ANOL09/S003/trackers/rmcardemo_usa_movement_T016.csv,vr driving simulator/ANOL09/S003/trackers/main_camera_movement_T016.csv
vr driving simulator,ANOL09,3,17,1,17,206.0088,220.7446,1,6,90.69255,True,vr driving simulator/ANOL09/S003/trackers/targetpole_movement_T017.csv,vr driving simulator/ANOL09/S003/trackers/rmcardemo_usa_movement_T017.csv,vr driving simulator/ANOL09/S003/trackers/main_camera_movement_T017.csv
vr driving simulator,ANOL09,3,18,1,18,220.7446,230.9922,1,4,117.6316,True,vr driving simulator/ANOL09/S003/trackers/targetpole_movement_T018.csv,vr driving simulator/ANOL09/S003/trackers/rmcardemo_usa_movement_T018.csv,vr driving simulator/ANOL09/S003/trackers/main_camera_movement_T018.csv
vr driving simulator,ANOL09,3,19,1,19,230.9922,242.5835,1,5,184.5898,True,vr driving simulator/ANOL09/S003/trackers/targetpole_movement_T019.csv,vr driving simulator/ANOL09/S003/trackers/rmcardemo_usa_movement_T019.csv,vr driving simulator/ANOL09/S003/trackers/main_camera_movement_T019.csv
vr driving simulator,ANOL09,3,20,1,20,242.5835,253.8441,1,5,244.6918,True,vr driving simulator/ANOL09/S003/trackers/targetpole_movement_T020.csv,vr driving simulator/ANOL09/S003/trackers/rmcardemo_usa_movement_T020.csv,vr driving simulator/ANOL09/S003/trackers/main_camera_movement_T020.csv
