time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,forward_direction
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.5096,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
185.521,0,0.000404,0.079576,0,0.000002,-0.00002,(0.0_ 0.0_ 1.0)
185.5328,0,0.000404,0.161963,0,0.000002,-0.00002,(0.0_ 0.0_ 1.0)
185.5461,0,0.002716,0.255112,0.000002,0.00006,-0.000399,(0.0_ 0.0_ 1.0)
185.5547,0,0.002716,0.315102,0.000002,0.00006,-0.000399,(0.0_ 0.0_ 1.0)
185.5661,0,0.004315,0.394869,0.000001,0.000101,-0.000349,(0.0_ 0.0_ 1.0)
185.5769,0,0.004315,0.470744,0.000001,0.000101,-0.000349,(0.0_ 0.0_ 1.0)
185.5881,0,0.005811,0.549338,0,0.000124,-0.000217,(0.0_ 0.0_ 1.0)
