experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,condition,targetspeed,map_rotation,hit,targetpole_movement_location_0,rmcardemo_usa_movement_location_0,main_camera_movement_location_0
vr driving simulator,ANST27,1,1,1,1,36.33269,49.21001,0,4,192.943,True,vr driving simulator/ANST27/S001/trackers/targetpole_movement_T001.csv,vr driving simulator/ANST27/S001/trackers/rmcardemo_usa_movement_T001.csv,vr driving simulator/ANST27/S001/trackers/main_camera_movement_T001.csv
vr driving simulator,ANST27,1,2,1,2,49.21001,63.71028,0,5,233.8623,True,vr driving simulator/ANST27/S001/trackers/targetpole_movement_T002.csv,vr driving simulator/ANST27/S001/trackers/rmcardemo_usa_movement_T002.csv,vr driving simulator/ANST27/S001/trackers/main_camera_movement_T002.csv
vr driving simulator,ANST27,1,3,1,3,63.71028,82.26843,0,6,150.0947,True,vr driving simulator/ANST27/S001/trackers/targetpole_movement_T003.csv,vr driving simulator/ANST27/S001/trackers/rmcardemo_usa_movement_T003.csv,vr driving simulator/ANST27/S001/trackers/main_camera_movement_T003.csv
vr driving simulator,ANST27,1,4,1,4,82.26843,95.01501,0,5,260.6621,True,vr driving simulator/ANST27/S001/trackers/targetpole_movement_T004.csv,vr driving simulator/ANST27/S001/trackers/rmcardemo_usa_movement_T004.csv,vr driving simulator/ANST27/S001/trackers/main_camera_movement_T004.csv
vr driving simulator,ANST27,1,5,1,5,95.01501,114.9626,0,6,91.89019,True,vr driving simulator/ANST27/S001/trackers/targetpole_movement_T005.csv,vr driving simulator/ANST27/S001/trackers/rmcardemo_usa_movement_T005.csv,vr driving simulator/ANST27/S001/trackers/main_camera_movement_T005.csv
vr driving simulator,ANST27,1,6,1,6,114.9626,125.5106,0,4,124.7264,True,vr driving simulator/ANST27/S001/trackers/targetpole_movement_T006.csv,vr driving simulator/ANST27/S001/trackers/rmcardemo_usa_movement_T006.csv,vr driving simulator/ANST27/S001/trackers/main_camera_movement_T006.csv
vr driving simulator,ANST27,1,7,1,7,125.5106,154.2913,0,6,265.6905,True,vr driving simulator/ANST27/S001/trackers/targetpole_movement_T007.csv,vr driving simulator/ANST27/S001/trackers/rmcardemo_usa_movement_T007.csv,vr driving simulator/ANST27/S001/trackers/main_camera_movement_T007.csv
vr driving simulator,ANST27,1,8,1,8,154.2913,175.7156,0,6,196.6748,True,vr driving simulator/ANST27/S001/trackers/targetpole_movement_T008.csv,vr driving simulator/ANST27/S001/trackers/rmcardemo_usa_movement_T008.csv,vr driving simulator/ANST27/S001/trackers/main_camera_movement_T008.csv
vr driving simulator,ANST27,1,9,1,9,175.7156,185.5096,0,4,211.4508,True,vr driving simulator/ANST27/S001/trackers/targetpole_movement_T009.csv,vr driving simulator/ANST27/S001/trackers/rmcardemo_usa_movement_T009.csv,vr driving simulator/ANST27/S001/trackers/main_camera_movement_T009.csv
vr driving simulator,ANST27,1,10,1,10,185.5096,196.7809,0,5,118.4396,True,vr driving simulator/ANST27/S001/trackers/targetpole_movement_T010.csv,vr driving simulator/ANST27/S001/trackers/rmcardemo_usa_movement_T010.csv,vr driving simulator/ANST27/S001/trackers/main_camera_movement_T010.csv
vr driving simulator,ANST27,1,11,1,11,196.7809,209.1648,0,6,236.8364,True,vr driving simulator/ANST27/S001/trackers/targetpole_movement_T011.csv,vr driving simulator/ANST27/S001/trackers/rmcardemo_usa_movement_T011.csv,vr driving simulator/ANST27/S001/trackers/main_camera_movement_T011.csv
vr driving simulator,ANST27,1,12,1,12,209.1648,220.2031,0,5,171.5079,True,vr driving simulator/ANST27/S001/trackers/targetpole_movement_T012.csv,vr driving simulator/ANST27/S001/trackers/rmcardemo_usa_movement_T012.csv,vr driving simulator/ANST27/S001/trackers/main_camera_movement_T012.csv
vr driving simulator,ANST27,1,13,1,13,220.2031,231.2397,0,5,170.7503,True,vr driving simulator/ANST27/S001/trackers/targetpole_movement_T013.csv,vr driving simulator/ANST27/S001/trackers/rmcardemo_usa_movement_T013.csv,vr driving simulator/ANST27/S001/trackers/main_camera_movement_T013.csv
vr driving simulator,ANST27,1,14,1,14,231.2397,241.9988,0,4,225.1565,True,vr driving simulator/ANST27/S001/trackers/targetpole_movement_T014.csv,vr driving simulator/ANST27/S001/trackers/rmcardemo_usa_movement_T014.csv,vr driving simulator/ANST27/S001/trackers/main_camera_movement_T014.csv
vr driving simulator,ANST27,1,15,1,15,241.9988,255.414,0,6,96.41776,True,vr driving simulator/ANST27/S001/trackers/targetpole_movement_T015.csv,vr driving simulator/ANST27/S001/trackers/rmcardemo_usa_movement_T015.csv,vr driving simulator/ANST27/S001/trackers/main_camera_movement_T015.csv
vr driving simulator,ANST27,1,16,1,16,255.414,265.5844,0,4,158.476,True,vr driving simulator/ANST27/S001/trackers/targetpole_movement_T016.csv,vr driving simulator/ANST27/S001/trackers/rmcardemo_usa_movement_T016.csv,vr driving simulator/ANST27/S001/trackers/main_camera_movement_T016.csv
vr driving simulator,ANST27,1,17,1,17,265.5844,278.6544,0,6,190.8953,True,vr driving simulator/ANST27/S001/trackers/targetpole_movement_T017.csv,vr driving simulator/ANST27/S001/trackers/rmcardemo_usa_movement_T017.csv,vr driving simulator/ANST27/S001/trackers/main_camera_movement_T017.csv
vr driving simulator,ANST27,1,18,1,18,278.6544,288.5804,0,4,227.8356,True,vr driving simulator/ANST27/S001/trackers/targetpole_movement_T018.csv,vr driving simulator/ANST27/S001/trackers/rmcardemo_usa_movement_T018.csv,vr driving simulator/ANST27/S001/trackers/main_camera_movement_T018.csv
vr driving simulator,ANST27,1,19,1,19,288.5804,298.7505,0,4,147.3764,True,vr driving simulator/ANST27/S001/trackers/targetpole_movement_T019.csv,vr driving simulator/ANST27/S001/trackers/rmcardemo_usa_movement_T019.csv,vr driving simulator/ANST27/S001/trackers/main_camera_movement_T019.csv
vr driving simulator,ANST27,1,20,1,20,298.7505,309.1642,0,5,215.5233,True,vr driving simulator/ANST27/S001/trackers/targetpole_movement_T020.csv,vr driving simulator/ANST27/S001/trackers/rmcardemo_usa_movement_T020.csv,vr driving simulator/ANST27/S001/trackers/main_camera_movement_T020.csv
vr driving simulator,ANST27,1,21,1,21,309.1642,320.1674,0,5,112.4968,True,vr driving simulator/ANST27/S001/trackers/targetpole_movement_T021.csv,vr driving simulator/ANST27/S001/trackers/rmcardemo_usa_movement_T021.csv,vr driving simulator/ANST27/S001/trackers/main_camera_movement_T021.csv
vr driving simulator,ANST27,1,22,1,22,320.1674,331.7361,0,6,240.9089,True,vr driving simulator/ANST27/S001/trackers/targetpole_movement_T022.csv,vr driving simulator/ANST27/S001/trackers/rmcardemo_usa_movement_T022.csv,vr driving simulator/ANST27/S001/trackers/main_camera_movement_T022.csv
vr driving simulator,ANST27,1,23,1,23,331.7361,342.64,0,5,156.1441,True,vr driving simulator/ANST27/S001/trackers/targetpole_movement_T023.csv,vr driving simulator/ANST27/S001/trackers/rmcardemo_usa_movement_T023.csv,vr driving simulator/ANST27/S001/trackers/main_camera_movement_T023.csv
vr driving simulator,ANST27,1,24,1,24,342.64,352.8326,0,4,97.67187,True,vr driving simulator/ANST27/S001/trackers/targetpole_movement_T024.csv,vr driving simulator/ANST27/S001/trackers/rmcardemo_usa_movement_T024.csv,vr driving simulator/ANST27/S001/trackers/main_camera_movement_T024.csv
