time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,forward_direction
65.38097,-0.330749,1.141996,0.20643,358.4254,343.027,352.8618,(-0.3_ 0.0_ 1.0)
65.38097,-0.329631,1.14129,0.207825,358.9486,343.9426,352.491,(-0.3_ 0.0_ 1.0)
65.38097,-0.328712,1.141219,0.208591,359.2569,344.8316,352.3112,(-0.3_ 0.0_ 1.0)
65.38097,-0.328472,1.141209,0.208752,359.2586,345.0551,352.3768,(-0.3_ 0.0_ 1.0)
65.38097,-0.328257,1.141213,0.208943,359.2111,345.3114,352.4233,(-0.3_ 0.0_ 1.0)
65.38097,-0.328058,1.141163,0.209175,359.1064,345.568,352.4453,(-0.2_ 0.0_ 1.0)
65.38097,-0.328033,1.141191,0.209174,359.0889,345.596,352.4432,(-0.2_ 0.0_ 1.0)
65.38097,-0.327786,1.141232,0.209316,359.1304,345.8022,352.4216,(-0.2_ 0.0_ 1.0)
65.38097,-0.327592,1.141225,0.209452,359.1496,346.0322,352.394,(-0.2_ 0.0_ 1.0)
65.38097,-0.327372,1.141185,0.209564,359.1875,346.2277,352.3838,(-0.2_ 0.0_ 1.0)
65.38097,-0.327141,1.141135,0.209672,359.2251,346.3947,352.3851,(-0.2_ 0.0_ 1.0)
65.38097,-0.32714,1.141092,0.209625,359.2746,346.3935,352.4339,(-0.2_ 0.0_ 1.0)
65.38097,-0.32689,1.141048,0.209698,359.339,346.5594,352.4718,(-0.2_ 0.0_ 1.0)
65.38097,-0.32668,1.141029,0.209748,359.4131,346.7462,352.4766,(-0.2_ 0.0_ 1.0)
65.38097,-0.326425,1.14101,0.209793,359.4664,346.9002,352.4887,(-0.2_ 0.0_ 1.0)
65.38097,-0.326142,1.141042,0.209815,359.5476,347.045,352.4888,(-0.2_ 0.0_ 1.0)
65.38097,-0.32586,1.141079,0.209808,359.6187,347.2086,352.4966,(-0.2_ 0.0_ 1.0)
65.38097,-0.325592,1.141143,0.2098,359.6876,347.3876,352.4922,(-0.2_ 0.0_ 1.0)
65.38097,-0.32527,1.141138,0.209832,359.66,347.5386,352.5459,(-0.2_ 0.0_ 1.0)
65.38097,-0.325051,1.141211,0.20987,359.6467,347.7725,352.5471,(-0.2_ 0.0_ 1.0)
65.38097,-0.325065,1.141217,0.209874,359.5783,347.804,352.541,(-0.2_ 0.0_ 1.0)
65.38097,-0.324772,1.141305,0.209908,359.532,347.978,352.512,(-0.2_ 0.0_ 1.0)
65.38097,-0.324524,1.141391,0.209959,359.4437,348.1859,352.4804,(-0.2_ 0.0_ 1.0)
65.38097,-0.324319,1.141501,0.209995,359.3694,348.4073,352.4092,(-0.2_ 0.0_ 1.0)
65.38097,-0.324126,1.141659,0.210022,359.3121,348.6104,352.3059,(-0.2_ 0.0_ 1.0)
65.38097,-0.323975,1.141805,0.210072,359.2239,348.832,352.2148,(-0.2_ 0.0_ 1.0)
65.38097,-0.32385,1.141936,0.210158,359.0943,349.0665,352.179,(-0.2_ 0.0_ 1.0)
65.38097,-0.323671,1.142096,0.210224,358.9804,349.2205,352.144,(-0.2_ 0.0_ 1.0)
65.38097,-0.323573,1.14228,0.210274,358.8868,349.4061,352.0974,(-0.2_ 0.0_ 1.0)
65.38097,-0.323513,1.14244,0.210326,358.7943,349.614,352.0757,(-0.2_ 0.0_ 1.0)
65.38097,-0.323483,1.142608,0.21034,358.7321,349.7972,352.0288,(-0.2_ 0.0_ 1.0)
65.38097,-0.323485,1.142779,0.210339,358.6835,349.9996,351.982,(-0.2_ 0.0_ 1.0)
65.38097,-0.323531,1.142961,0.210329,358.6452,350.1911,351.9206,(-0.2_ 0.0_ 1.0)
65.38097,-0.323607,1.143147,0.210316,358.6021,350.3938,351.8448,(-0.2_ 0.0_ 1.0)
65.38097,-0.323687,1.143319,0.210294,358.5389,350.5772,351.7826,(-0.2_ 0.0_ 1.0)
65.38097,-0.323806,1.143484,0.210312,358.4498,350.7868,351.7457,(-0.2_ 0.0_ 1.0)
65.38097,-0.323901,1.143694,0.210321,358.3931,350.981,351.7733,(-0.2_ 0.0_ 1.0)
65.38097,-0.323995,1.143852,0.210365,358.2834,351.1671,351.8145,(-0.2_ 0.0_ 1.0)
65.38097,-0.324081,1.143987,0.210384,358.1993,351.3691,351.9173,(-0.1_ 0.0_ 1.0)
65.38097,-0.32419,1.144144,0.210349,358.1738,351.5599,351.9548,(-0.1_ 0.0_ 1.0)
65.38097,-0.324348,1.144261,0.210294,358.1691,351.7745,351.9959,(-0.1_ 0.0_ 1.0)
65.38097,-0.324565,1.144362,0.210192,358.1856,351.9738,351.9382,(-0.1_ 0.0_ 1.0)
65.38097,-0.324816,1.144404,0.210117,358.1657,352.2023,351.9135,(-0.1_ 0.0_ 1.0)
65.38097,-0.325053,1.1445,0.209985,358.1795,352.4116,351.8768,(-0.1_ 0.0_ 1.0)
65.38097,-0.325321,1.144629,0.209876,358.1548,352.6277,351.8172,(-0.1_ 0.0_ 1.0)
65.38097,-0.325543,1.144731,0.209755,358.0938,352.8371,351.8413,(-0.1_ 0.0_ 1.0)
65.38097,-0.325804,1.144835,0.209635,358.0327,353.0559,351.873,(-0.1_ 0.0_ 1.0)
65.38097,-0.326126,1.144943,0.209491,357.972,353.3212,351.9063,(-0.1_ 0.0_ 1.0)
65.38097,-0.32638,1.145082,0.209319,357.9293,353.4835,351.9008,(-0.1_ 0.0_ 1.0)
65.38097,-0.326666,1.145223,0.20916,357.8695,353.6763,351.9552,(-0.1_ 0.0_ 1.0)
65.38097,-0.326978,1.145383,0.209051,357.7711,353.895,352.0181,(-0.1_ 0.0_ 1.0)
65.38097,-0.32721,1.145557,0.208927,357.6389,354.0755,352.1494,(-0.1_ 0.0_ 1.0)
65.38097,-0.327428,1.14577,0.208776,357.5374,354.2254,352.2648,(-0.1_ 0.0_ 1.0)
65.38097,-0.327655,1.145956,0.208622,357.4218,354.3963,352.4193,(-0.1_ 0.0_ 1.0)
65.38097,-0.327886,1.146174,0.208407,357.3514,354.5471,352.5204,(-0.1_ 0.0_ 1.0)
65.38097,-0.328163,1.146371,0.208193,357.2803,354.7201,352.5898,(-0.1_ 0.0_ 1.0)
65.38097,-0.328338,1.146545,0.207943,357.2278,354.8301,352.686,(-0.1_ 0.0_ 1.0)
65.38097,-0.328575,1.146723,0.207741,357.1444,354.9958,352.7701,(-0.1_ 0.0_ 1.0)
65.38097,-0.328714,1.146881,0.20757,357.0141,355.1147,352.8955,(-0.1_ 0.1_ 1.0)
65.38097,-0.328854,1.14706,0.207402,356.8684,355.2325,353.0047,(-0.1_ 0.1_ 1.0)
65.38097,-0.328971,1.147221,0.207256,356.6893,355.3643,353.097,(-0.1_ 0.1_ 1.0)
65.38097,-0.329095,1.147389,0.20709,356.5662,355.5166,353.1685,(-0.1_ 0.1_ 1.0)
65.38097,-0.329203,1.147528,0.206942,356.4218,355.6134,353.1897,(-0.1_ 0.1_ 1.0)
65.38097,-0.329317,1.147646,0.206778,356.3164,355.7422,353.2073,(-0.1_ 0.1_ 1.0)
65.38097,-0.329434,1.147706,0.206663,356.179,355.878,353.2455,(-0.1_ 0.1_ 1.0)
65.38097,-0.329483,1.147819,0.206503,356.0977,355.9714,353.2771,(-0.1_ 0.1_ 1.0)
65.38097,-0.329472,1.147882,0.206399,355.9454,356.0452,353.374,(-0.1_ 0.1_ 1.0)
65.38097,-0.329488,1.14794,0.206355,355.782,356.126,353.4799,(-0.1_ 0.1_ 1.0)
65.38097,-0.329496,1.148026,0.206283,355.6588,356.2486,353.5875,(-0.1_ 0.1_ 1.0)
65.38097,-0.329449,1.148068,0.206216,355.5377,356.3158,353.684,(-0.1_ 0.1_ 1.0)
65.38097,-0.329388,1.148094,0.206139,355.4412,356.3868,353.7528,(-0.1_ 0.1_ 1.0)
65.38097,-0.329339,1.148138,0.206072,355.369,356.4697,353.7999,(-0.1_ 0.1_ 1.0)
65.38097,-0.329234,1.148171,0.205996,355.3082,356.5175,353.8414,(-0.1_ 0.1_ 1.0)
65.38097,-0.329163,1.148175,0.205969,355.2147,356.5827,353.8592,(-0.1_ 0.1_ 1.0)
65.38097,-0.329029,1.148164,0.205932,355.1204,356.6432,353.9071,(-0.1_ 0.1_ 1.0)
65.38097,-0.328865,1.148189,0.205897,355.0808,356.6833,353.9712,(-0.1_ 0.1_ 1.0)
65.38097,-0.328775,1.148143,0.205908,355.0005,356.7903,354.0091,(-0.1_ 0.1_ 1.0)
65.38097,-0.328574,1.148101,0.205881,354.9541,356.8161,354.0517,(-0.1_ 0.1_ 1.0)
65.38097,-0.328369,1.148082,0.205794,354.9694,356.8556,354.0562,(-0.1_ 0.1_ 1.0)
65.38097,-0.328225,1.148023,0.205788,354.9468,356.8835,354.0334,(-0.1_ 0.1_ 1.0)
65.38097,-0.328051,1.147962,0.205742,354.9356,356.9078,354.019,(-0.1_ 0.1_ 1.0)
65.38097,-0.327854,1.14788,0.205738,354.9136,356.9697,354.0251,(-0.1_ 0.1_ 1.0)
65.38097,-0.32767,1.147843,0.205688,354.9133,356.99,354.0059,(-0.1_ 0.1_ 1.0)
65.38097,-0.327409,1.147761,0.205703,354.8784,357.0661,353.9617,(-0.1_ 0.1_ 1.0)
65.38097,-0.327208,1.147721,0.205708,354.8605,357.1049,353.9362,(-0.1_ 0.1_ 1.0)
65.38097,-0.326979,1.147668,0.205704,354.8539,357.1526,353.9017,(0.0_ 0.1_ 1.0)
65.38097,-0.326796,1.147652,0.205664,354.871,357.1661,353.8737,(0.0_ 0.1_ 1.0)
65.38097,-0.326571,1.14762,0.205702,354.8899,357.2703,353.789,(0.0_ 0.1_ 1.0)
