experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,condition,targetspeed,map_rotation,hit,targetpole_movement_location_0,rmcardemo_usa_movement_location_0,main_camera_movement_location_0
vr driving simulator,ANTH08,2,1,1,1,7.846126,18.22416,2,5,203.0727,True,vr driving simulator/ANTH08/S002/trackers/targetpole_movement_T001.csv,vr driving simulator/ANTH08/S002/trackers/rmcardemo_usa_movement_T001.csv,vr driving simulator/ANTH08/S002/trackers/main_camera_movement_T001.csv
vr driving simulator,ANTH08,2,2,1,2,18.22416,46.67155,2,6,158.5425,False,vr driving simulator/ANTH08/S002/trackers/targetpole_movement_T002.csv,vr driving simulator/ANTH08/S002/trackers/rmcardemo_usa_movement_T002.csv,vr driving simulator/ANTH08/S002/trackers/main_camera_movement_T002.csv
vr driving simulator,ANTH08,2,3,1,3,46.67155,58.77413,2,5,144.6908,True,vr driving simulator/ANTH08/S002/trackers/targetpole_movement_T003.csv,vr driving simulator/ANTH08/S002/trackers/rmcardemo_usa_movement_T003.csv,vr driving simulator/ANTH08/S002/trackers/main_camera_movement_T003.csv
vr driving simulator,ANTH08,2,4,1,4,58.77413,70.38648,2,5,114.4955,True,vr driving simulator/ANTH08/S002/trackers/targetpole_movement_T004.csv,vr driving simulator/ANTH08/S002/trackers/rmcardemo_usa_movement_T004.csv,vr driving simulator/ANTH08/S002/trackers/main_camera_movement_T004.csv
vr driving simulator,ANTH08,2,5,1,5,70.38648,81.26595,2,5,148.2908,True,vr driving simulator/ANTH08/S002/trackers/targetpole_movement_T005.csv,vr driving simulator/ANTH08/S002/trackers/rmcardemo_usa_movement_T005.csv,vr driving simulator/ANTH08/S002/trackers/main_camera_movement_T005.csv
vr driving simulator,ANTH08,2,6,1,6,81.26595,91.90144,2,4,104.9352,True,vr driving simulator/ANTH08/S002/trackers/targetpole_movement_T006.csv,vr driving simulator/ANTH08/S002/trackers/rmcardemo_usa_movement_T006.csv,vr driving simulator/ANTH08/S002/trackers/main_camera_movement_T006.csv
vr driving simulator,ANTH08,2,7,1,7,91.90144,102.6371,2,5,172.5019,True,vr driving simulator/ANTH08/S002/trackers/targetpole_movement_T007.csv,vr driving simulator/ANTH08/S002/trackers/rmcardemo_usa_movement_T007.csv,vr driving simulator/ANTH08/S002/trackers/main_camera_movement_T007.csv
vr driving simulator,ANTH08,2,8,1,8,102.6371,119.6388,2,6,93.41867,True,vr driving simulator/ANTH08/S002/trackers/targetpole_movement_T008.csv,vr driving simulator/ANTH08/S002/trackers/rmcardemo_usa_movement_T008.csv,vr driving simulator/ANTH08/S002/trackers/main_camera_movement_T008.csv
vr driving simulator,ANTH08,2,9,1,9,119.6388,133.1187,2,6,91.7019,True,vr driving simulator/ANTH08/S002/trackers/targetpole_movement_T009.csv,vr driving simulator/ANTH08/S002/trackers/rmcardemo_usa_movement_T009.csv,vr driving simulator/ANTH08/S002/trackers/main_camera_movement_T009.csv
vr driving simulator,ANTH08,2,10,1,10,133.1187,149.4297,2,6,192.6469,True,vr driving simulator/ANTH08/S002/trackers/targetpole_movement_T010.csv,vr driving simulator/ANTH08/S002/trackers/rmcardemo_usa_movement_T010.csv,vr driving simulator/ANTH08/S002/trackers/main_camera_movement_T010.csv
vr driving simulator,ANTH08,2,11,1,11,149.4297,161.0423,2,4,245.4856,True,vr driving simulator/ANTH08/S002/trackers/targetpole_movement_T011.csv,vr driving simulator/ANTH08/S002/trackers/rmcardemo_usa_movement_T011.csv,vr driving simulator/ANTH08/S002/trackers/main_camera_movement_T011.csv
vr driving simulator,ANTH08,2,12,1,12,161.0423,181.1105,2,5,182.7078,True,vr driving simulator/ANTH08/S002/trackers/targetpole_movement_T012.csv,vr driving simulator/ANTH08/S002/trackers/rmcardemo_usa_movement_T012.csv,vr driving simulator/ANTH08/S002/trackers/main_camera_movement_T012.csv
vr driving simulator,ANTH08,2,13,1,13,181.1105,191.9676,2,4,160.3942,True,vr driving simulator/ANTH08/S002/trackers/targetpole_movement_T013.csv,vr driving simulator/ANTH08/S002/trackers/rmcardemo_usa_movement_T013.csv,vr driving simulator/ANTH08/S002/trackers/main_camera_movement_T013.csv
vr driving simulator,ANTH08,2,14,1,14,191.9676,201.7591,2,4,194.7839,True,vr driving simulator/ANTH08/S002/trackers/targetpole_movement_T014.csv,vr driving simulator/ANTH08/S002/trackers/rmcardemo_usa_movement_T014.csv,vr driving simulator/ANTH08/S002/trackers/main_camera_movement_T014.csv
vr driving simulator,ANTH08,2,15,1,15,201.7591,212.897,2,5,110.5993,True,vr driving simulator/ANTH08/S002/trackers/targetpole_movement_T015.csv,vr driving simulator/ANTH08/S002/trackers/rmcardemo_usa_movement_T015.csv,vr driving simulator/ANTH08/S002/trackers/main_camera_movement_T015.csv
vr driving simulator,ANTH08,2,16,1,16,212.897,223.3769,2,4,266.6801,True,vr driving simulator/ANTH08/S002/trackers/targetpole_movement_T016.csv,vr driving simulator/ANTH08/S002/trackers/rmcardemo_usa_movement_T016.csv,vr driving simulator/ANTH08/S002/trackers/main_camera_movement_T016.csv
vr driving simulator,ANTH08,2,17,1,17,223.3769,253.3793,2,6,265.9365,False,vr driving simulator/ANTH08/S002/trackers/targetpole_movement_T017.csv,vr driving simulator/ANTH08/S002/trackers/rmcardemo_usa_movement_T017.csv,vr driving simulator/ANTH08/S002/trackers/main_camera_movement_T017.csv
vr driving simulator,ANTH08,2,18,1,18,253.3793,283.3815,2,6,102.304,False,vr driving simulator/ANTH08/S002/trackers/targetpole_movement_T018.csv,vr driving simulator/ANTH08/S002/trackers/rmcardemo_usa_movement_T018.csv,vr driving simulator/ANTH08/S002/trackers/main_camera_movement_T018.csv
vr driving simulator,ANTH08,2,19,1,19,283.3815,293.4382,2,4,212.7081,True,vr driving simulator/ANTH08/S002/trackers/targetpole_movement_T019.csv,vr driving simulator/ANTH08/S002/trackers/rmcardemo_usa_movement_T019.csv,vr driving simulator/ANTH08/S002/trackers/main_camera_movement_T019.csv
vr driving simulator,ANTH08,2,20,1,20,293.4382,307.4068,2,6,92.79594,True,vr driving simulator/ANTH08/S002/trackers/targetpole_movement_T020.csv,vr driving simulator/ANTH08/S002/trackers/rmcardemo_usa_movement_T020.csv,vr driving simulator/ANTH08/S002/trackers/main_camera_movement_T020.csv
vr driving simulator,ANTH08,2,21,1,21,307.4068,317.7198,2,4,144.853,True,vr driving simulator/ANTH08/S002/trackers/targetpole_movement_T021.csv,vr driving simulator/ANTH08/S002/trackers/rmcardemo_usa_movement_T021.csv,vr driving simulator/ANTH08/S002/trackers/main_camera_movement_T021.csv
vr driving simulator,ANTH08,2,22,1,22,317.7198,340.426,2,6,192.9833,True,vr driving simulator/ANTH08/S002/trackers/targetpole_movement_T022.csv,vr driving simulator/ANTH08/S002/trackers/rmcardemo_usa_movement_T022.csv,vr driving simulator/ANTH08/S002/trackers/main_camera_movement_T022.csv
vr driving simulator,ANTH08,2,23,1,23,340.426,350.8282,2,4,120.6071,True,vr driving simulator/ANTH08/S002/trackers/targetpole_movement_T023.csv,vr driving simulator/ANTH08/S002/trackers/rmcardemo_usa_movement_T023.csv,vr driving simulator/ANTH08/S002/trackers/main_camera_movement_T023.csv
vr driving simulator,ANTH08,2,24,1,24,350.8282,366.4198,2,6,175.0133,True,vr driving simulator/ANTH08/S002/trackers/targetpole_movement_T024.csv,vr driving simulator/ANTH08/S002/trackers/rmcardemo_usa_movement_T024.csv,vr driving simulator/ANTH08/S002/trackers/main_camera_movement_T024.csv
vr driving simulator,ANTH08,2,25,1,25,366.4198,377.6108,2,4,261.6233,True,vr driving simulator/ANTH08/S002/trackers/targetpole_movement_T025.csv,vr driving simulator/ANTH08/S002/trackers/rmcardemo_usa_movement_T025.csv,vr driving simulator/ANTH08/S002/trackers/main_camera_movement_T025.csv
vr driving simulator,ANTH08,2,26,1,26,377.6108,388.5917,2,4,263.4163,True,vr driving simulator/ANTH08/S002/trackers/targetpole_movement_T026.csv,vr driving simulator/ANTH08/S002/trackers/rmcardemo_usa_movement_T026.csv,vr driving simulator/ANTH08/S002/trackers/main_camera_movement_T026.csv
vr driving simulator,ANTH08,2,27,1,27,388.5917,409.2133,2,6,247.5561,False,vr driving simulator/ANTH08/S002/trackers/targetpole_movement_T027.csv,vr driving simulator/ANTH08/S002/trackers/rmcardemo_usa_movement_T027.csv,vr driving simulator/ANTH08/S002/trackers/main_camera_movement_T027.csv
vr driving simulator,ANTH08,2,28,1,28,409.2133,420.9416,2,5,166.9335,True,vr driving simulator/ANTH08/S002/trackers/targetpole_movement_T028.csv,vr driving simulator/ANTH08/S002/trackers/rmcardemo_usa_movement_T028.csv,vr driving simulator/ANTH08/S002/trackers/main_camera_movement_T028.csv
