time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,forward_direction
354.3913,-0.343188,1.143273,0.165333,2.125205,359.312,7.043775,(0.0_ 0.0_ 1.0)
354.3913,-0.343208,1.143794,0.164719,1.712706,359.131,7.123305,(0.0_ 0.0_ 1.0)
354.3913,-0.343551,1.144179,0.164431,1.281668,358.9919,7.194658,(0.0_ 0.0_ 1.0)
354.3913,-0.343536,1.144245,0.164385,1.214281,358.9778,7.193552,(0.0_ 0.0_ 1.0)
354.3913,-0.343495,1.144273,0.164319,1.091914,358.9128,7.185102,(0.0_ 0.0_ 1.0)
354.3913,-0.343523,1.144263,0.16428,0.989746,358.9216,7.184217,(0.0_ 0.0_ 1.0)
354.3913,-0.343409,1.144315,0.164182,1.020609,358.851,7.153141,(0.0_ 0.0_ 1.0)
354.3913,-0.343402,1.144325,0.164123,0.960501,358.8554,7.130457,(0.0_ 0.0_ 1.0)
354.3913,-0.34331,1.144367,0.164057,0.95755,358.8404,7.143705,(0.0_ 0.0_ 1.0)
354.3913,-0.343255,1.144426,0.163987,0.939884,358.808,7.116465,(0.0_ 0.0_ 1.0)
354.3913,-0.343247,1.144471,0.163914,0.886275,358.7842,7.095306,(0.0_ 0.0_ 1.0)
354.3913,-0.343224,1.144516,0.163856,0.843403,358.7987,7.067122,(0.0_ 0.0_ 1.0)
354.3913,-0.343185,1.144542,0.163808,0.806155,358.8127,7.063363,(0.0_ 0.0_ 1.0)
354.3913,-0.343128,1.144559,0.163737,0.758779,358.816,7.041747,(0.0_ 0.0_ 1.0)
354.3913,-0.34311,1.144568,0.163662,0.732648,358.8567,7.02085,(0.0_ 0.0_ 1.0)
354.3913,-0.343073,1.144572,0.163595,0.711154,358.8773,7.000423,(0.0_ 0.0_ 1.0)
354.3913,-0.342985,1.144579,0.163526,0.700764,358.8844,6.990321,(0.0_ 0.0_ 1.0)
354.3913,-0.343012,1.144565,0.163421,0.692803,358.9571,6.974632,(0.0_ 0.0_ 1.0)
354.3913,-0.343003,1.144531,0.163317,0.684967,359.0068,6.95383,(0.0_ 0.0_ 1.0)
354.3913,-0.342972,1.144521,0.163209,0.711619,359.0299,6.977092,(0.0_ 0.0_ 1.0)
354.3913,-0.34298,1.144477,0.163118,0.704862,359.0701,6.965315,(0.0_ 0.0_ 1.0)
354.3913,-0.342872,1.144493,0.163046,0.726363,359.0617,6.97726,(0.0_ 0.0_ 1.0)
354.3913,-0.342888,1.144451,0.162926,0.740178,359.1074,6.992395,(0.0_ 0.0_ 1.0)
354.3913,-0.342889,1.144432,0.162788,0.775932,359.1422,6.991097,(0.0_ 0.0_ 1.0)
354.3913,-0.342899,1.144394,0.162686,0.78965,359.1839,7.008584,(0.0_ 0.0_ 1.0)
354.3913,-0.342859,1.1444,0.162624,0.796051,359.1871,6.998691,(0.0_ 0.0_ 1.0)
354.3913,-0.342822,1.144402,0.162498,0.822459,359.197,7.011493,(0.0_ 0.0_ 1.0)
354.3913,-0.342791,1.144393,0.162429,0.821511,359.1959,7.02394,(0.0_ 0.0_ 1.0)
354.3913,-0.34275,1.144408,0.162365,0.829094,359.1866,7.016067,(0.0_ 0.0_ 1.0)
354.3913,-0.342736,1.144413,0.162252,0.838387,359.1872,7.030881,(0.0_ 0.0_ 1.0)
354.3913,-0.342728,1.14444,0.162156,0.854564,359.1823,7.028057,(0.0_ 0.0_ 1.0)
354.3913,-0.342699,1.144459,0.162081,0.847352,359.1685,7.028286,(0.0_ 0.0_ 1.0)
354.3913,-0.342699,1.144479,0.161994,0.833236,359.1533,7.03905,(0.0_ 0.0_ 1.0)
