time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,forward_direction
562.1285,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
562.1285,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
562.1285,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
562.1285,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
562.1285,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
562.1285,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
562.1285,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
562.1285,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
562.1285,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
562.1285,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
562.1285,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
562.1285,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
562.1285,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
562.1285,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
562.1285,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
562.1285,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
562.1285,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
562.1285,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
562.1285,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
562.1285,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
562.1285,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
562.1285,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
562.1285,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
562.1285,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
562.1285,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
562.1285,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
562.1285,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
562.1285,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
562.1285,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
562.1285,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
562.1285,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
562.1285,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
562.1285,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
562.1285,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
562.1285,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
562.1285,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
562.1285,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
562.1285,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
562.1285,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
562.1285,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
562.1285,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
562.1285,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
562.1285,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
562.1285,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
562.1285,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
562.1285,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
562.1285,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
562.1285,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
562.1285,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
562.1285,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
562.1285,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
562.1285,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
562.1285,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
562.1285,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
562.1285,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
562.14,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
562.1512,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
562.1649,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
562.1758,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
562.1862,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
