time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,forward_direction
513.2819,-0.312264,1.146991,0.164548,10.22587,353.4694,354.2896,(-0.1_ -0.2_ 1.0)
513.2819,-0.311228,1.14734,0.164648,9.847106,354.1866,354.1578,(-0.1_ -0.2_ 1.0)
513.2819,-0.310503,1.147572,0.164893,9.489552,354.7346,354.1024,(-0.1_ -0.2_ 1.0)
513.2819,-0.310337,1.147646,0.164946,9.381609,354.9304,354.0986,(-0.1_ -0.2_ 1.0)
513.2819,-0.310253,1.147681,0.164922,9.353721,354.9431,354.0936,(-0.1_ -0.2_ 1.0)
513.2819,-0.310119,1.147718,0.164955,9.269828,355.0715,354.0951,(-0.1_ -0.2_ 1.0)
513.2819,-0.309974,1.147783,0.164974,9.216852,355.1615,354.0656,(-0.1_ -0.2_ 1.0)
513.2819,-0.309826,1.147856,0.164945,9.185744,355.2351,354.0249,(-0.1_ -0.2_ 1.0)
513.2819,-0.309706,1.147863,0.164946,9.118481,355.3385,354.0183,(-0.1_ -0.2_ 1.0)
513.2819,-0.309682,1.147838,0.164886,9.097016,355.277,353.9691,(-0.1_ -0.2_ 1.0)
513.2819,-0.309596,1.14789,0.164878,9.043809,355.3982,353.94,(-0.1_ -0.2_ 1.0)
513.2819,-0.309483,1.147949,0.164852,8.997108,355.4893,353.8908,(-0.1_ -0.2_ 1.0)
513.2819,-0.309353,1.148033,0.164803,8.952571,355.5495,353.8251,(-0.1_ -0.2_ 1.0)
513.2819,-0.309273,1.14805,0.164785,8.864542,355.6781,353.8333,(-0.1_ -0.2_ 1.0)
513.2819,-0.309181,1.148075,0.164753,8.780873,355.7763,353.8148,(-0.1_ -0.2_ 1.0)
513.2819,-0.309168,1.148179,0.164688,8.733975,355.8967,353.7411,(-0.1_ -0.2_ 1.0)
513.2819,-0.309093,1.148227,0.164636,8.662119,356.0034,353.766,(-0.1_ -0.2_ 1.0)
513.2819,-0.309106,1.148294,0.164617,8.570276,356.1497,353.7412,(-0.1_ -0.1_ 1.0)
513.2819,-0.30903,1.148408,0.164563,8.484351,356.217,353.7444,(-0.1_ -0.1_ 1.0)
513.2819,-0.309056,1.148446,0.164529,8.482171,356.2234,353.7549,(-0.1_ -0.1_ 1.0)
513.2819,-0.309037,1.14855,0.164496,8.383615,356.3357,353.7744,(-0.1_ -0.1_ 1.0)
513.2819,-0.308999,1.148653,0.164461,8.274935,356.3955,353.7566,(-0.1_ -0.1_ 1.0)
513.2819,-0.309005,1.14873,0.164445,8.162261,356.5002,353.7727,(-0.1_ -0.1_ 1.0)
513.2819,-0.30902,1.148834,0.164415,8.084175,356.6132,353.802,(-0.1_ -0.1_ 1.0)
513.2819,-0.309033,1.14889,0.164375,7.971719,356.7121,353.8192,(-0.1_ -0.1_ 1.0)
513.2819,-0.309054,1.148982,0.164331,7.891009,356.8005,353.8235,(-0.1_ -0.1_ 1.0)
513.2819,-0.309078,1.149051,0.16429,7.813565,356.8868,353.8342,(-0.1_ -0.1_ 1.0)
513.2819,-0.309121,1.149123,0.164249,7.756247,356.9899,353.8526,(-0.1_ -0.1_ 1.0)
513.2819,-0.309147,1.149203,0.16419,7.704392,357.0579,353.8493,(-0.1_ -0.1_ 1.0)
513.2819,-0.309186,1.149245,0.164139,7.643222,357.1508,353.8897,(0.0_ -0.1_ 1.0)
513.2819,-0.309241,1.149293,0.164098,7.571141,357.2194,353.873,(0.0_ -0.1_ 1.0)
513.2819,-0.309327,1.149333,0.164076,7.506175,357.3307,353.8962,(0.0_ -0.1_ 1.0)
513.2819,-0.309405,1.149365,0.164071,7.421327,357.4171,353.8923,(0.0_ -0.1_ 1.0)
513.2819,-0.309465,1.14941,0.164054,7.362985,357.4994,353.9205,(0.0_ -0.1_ 1.0)
513.2819,-0.309563,1.149456,0.164055,7.312177,357.605,353.951,(0.0_ -0.1_ 1.0)
513.2819,-0.309634,1.149504,0.164065,7.239264,357.6785,353.9738,(0.0_ -0.1_ 1.0)
513.2819,-0.309734,1.14957,0.164122,7.142251,357.7697,353.9992,(0.0_ -0.1_ 1.0)
513.2819,-0.309836,1.14964,0.164183,7.052354,357.8594,354.0245,(0.0_ -0.1_ 1.0)
513.2819,-0.309878,1.149778,0.16421,6.992376,357.8858,354.022,(0.0_ -0.1_ 1.0)
513.2819,-0.310007,1.149897,0.16429,6.917492,357.9818,354.0338,(0.0_ -0.1_ 1.0)
513.2819,-0.310112,1.149996,0.164367,6.833367,358.0615,354.0482,(0.0_ -0.1_ 1.0)
513.2819,-0.3102,1.150078,0.164462,6.751117,358.1273,354.1064,(0.0_ -0.1_ 1.0)
513.2819,-0.310314,1.150205,0.164546,6.708788,358.1885,354.138,(0.0_ -0.1_ 1.0)
513.2819,-0.310411,1.1503,0.164642,6.643433,358.2249,354.1628,(0.0_ -0.1_ 1.0)
513.2819,-0.31054,1.150358,0.164786,6.554633,358.2971,354.2196,(0.0_ -0.1_ 1.0)
513.2819,-0.31065,1.150459,0.164909,6.512406,358.329,354.2608,(0.0_ -0.1_ 1.0)
513.2819,-0.310783,1.150521,0.165055,6.458219,358.3983,354.3376,(0.0_ -0.1_ 1.0)
513.2819,-0.310885,1.150591,0.165176,6.42152,358.4269,354.4045,(0.0_ -0.1_ 1.0)
513.2819,-0.311001,1.15064,0.16534,6.367669,358.4596,354.4784,(0.0_ -0.1_ 1.0)
513.2819,-0.311111,1.150706,0.165484,6.342,358.4741,354.5307,(0.0_ -0.1_ 1.0)
513.2819,-0.311228,1.1508,0.165622,6.361856,358.4884,354.5846,(0.0_ -0.1_ 1.0)
513.2819,-0.311321,1.150816,0.165761,6.351844,358.494,354.6649,(0.0_ -0.1_ 1.0)
513.2934,-0.311446,1.150876,0.246174,6.387458,358.4944,354.6776,(0.0_ -0.1_ 1.0)
513.304,-0.31149,1.15246,0.320149,6.392038,358.453,354.7053,(0.0_ -0.1_ 1.0)
513.3155,-0.311621,1.152513,0.40116,6.459579,358.4408,354.7547,(0.0_ -0.1_ 1.0)
513.3267,-0.311705,1.154636,0.479505,6.466387,358.4465,354.7744,(0.0_ -0.1_ 1.0)
513.3381,-0.311828,1.154681,0.559398,6.558235,358.4064,354.8086,(0.0_ -0.1_ 1.0)
513.3493,-0.311928,1.156662,0.637996,6.601861,358.3617,354.8214,(0.0_ -0.1_ 1.0)
513.3626,-0.312052,1.156911,0.731351,6.602808,358.3786,354.8229,(0.0_ -0.1_ 1.0)
513.3725,-0.31219,1.156917,0.800635,6.660379,358.3167,354.7868,(0.0_ -0.1_ 1.0)
513.3816,-0.312305,1.157017,0.864689,6.687949,358.2705,354.7823,(0.0_ -0.1_ 1.0)
513.3926,-0.312455,1.156995,0.941904,6.75745,358.2667,354.7823,(0.0_ -0.1_ 1.0)
513.4041,-0.31257,1.157273,1.02198,6.791764,358.2344,354.7925,(0.0_ -0.1_ 1.0)
513.415,-0.312701,1.157197,1.098887,6.849822,358.2129,354.8,(0.0_ -0.1_ 1.0)
513.426,-0.312847,1.157551,1.176079,6.907784,358.1978,354.7993,(0.0_ -0.1_ 1.0)
