experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,condition,targetspeed,map_rotation,hit,targetpole_movement_location_0,rmcardemo_usa_movement_location_0,main_camera_movement_location_0
vr driving simulator,BIPE20,3,1,1,1,8.114525,18.57232,2,4,127.7468,True,vr driving simulator/BIPE20/S003/trackers/targetpole_movement_T001.csv,vr driving simulator/BIPE20/S003/trackers/rmcardemo_usa_movement_T001.csv,vr driving simulator/BIPE20/S003/trackers/main_camera_movement_T001.csv
vr driving simulator,BIPE20,3,2,1,2,18.57232,48.5758,2,6,121.2934,False,vr driving simulator/BIPE20/S003/trackers/targetpole_movement_T002.csv,vr driving simulator/BIPE20/S003/trackers/rmcardemo_usa_movement_T002.csv,vr driving simulator/BIPE20/S003/trackers/main_camera_movement_T002.csv
vr driving simulator,BIPE20,3,3,1,3,48.5758,60.14409,2,6,219.1315,True,vr driving simulator/BIPE20/S003/trackers/targetpole_movement_T003.csv,vr driving simulator/BIPE20/S003/trackers/rmcardemo_usa_movement_T003.csv,vr driving simulator/BIPE20/S003/trackers/main_camera_movement_T003.csv
vr driving simulator,BIPE20,3,4,1,4,60.14409,70.82515,2,5,269.8124,True,vr driving simulator/BIPE20/S003/trackers/targetpole_movement_T004.csv,vr driving simulator/BIPE20/S003/trackers/rmcardemo_usa_movement_T004.csv,vr driving simulator/BIPE20/S003/trackers/main_camera_movement_T004.csv
vr driving simulator,BIPE20,3,5,1,5,70.82515,80.96404,2,5,195.6432,True,vr driving simulator/BIPE20/S003/trackers/targetpole_movement_T005.csv,vr driving simulator/BIPE20/S003/trackers/rmcardemo_usa_movement_T005.csv,vr driving simulator/BIPE20/S003/trackers/main_camera_movement_T005.csv
vr driving simulator,BIPE20,3,6,1,6,80.96404,92.03358,2,4,224.3231,True,vr driving simulator/BIPE20/S003/trackers/targetpole_movement_T006.csv,vr driving simulator/BIPE20/S003/trackers/rmcardemo_usa_movement_T006.csv,vr driving simulator/BIPE20/S003/trackers/main_camera_movement_T006.csv
vr driving simulator,BIPE20,3,7,1,7,92.03358,122.037,2,6,172.1409,False,vr driving simulator/BIPE20/S003/trackers/targetpole_movement_T007.csv,vr driving simulator/BIPE20/S003/trackers/rmcardemo_usa_movement_T007.csv,vr driving simulator/BIPE20/S003/trackers/main_camera_movement_T007.csv
vr driving simulator,BIPE20,3,8,1,8,122.037,152.0398,2,5,269.979,False,vr driving simulator/BIPE20/S003/trackers/targetpole_movement_T008.csv,vr driving simulator/BIPE20/S003/trackers/rmcardemo_usa_movement_T008.csv,vr driving simulator/BIPE20/S003/trackers/main_camera_movement_T008.csv
vr driving simulator,BIPE20,3,9,1,9,152.0398,164.0418,2,6,258.0836,True,vr driving simulator/BIPE20/S003/trackers/targetpole_movement_T009.csv,vr driving simulator/BIPE20/S003/trackers/rmcardemo_usa_movement_T009.csv,vr driving simulator/BIPE20/S003/trackers/main_camera_movement_T009.csv
vr driving simulator,BIPE20,3,10,1,10,164.0418,174.4331,2,5,209.0464,True,vr driving simulator/BIPE20/S003/trackers/targetpole_movement_T010.csv,vr driving simulator/BIPE20/S003/trackers/rmcardemo_usa_movement_T010.csv,vr driving simulator/BIPE20/S003/trackers/main_camera_movement_T010.csv
