time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,forward_direction
525.4118,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
525.4118,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
525.4118,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
525.4118,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
525.4118,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
525.4118,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
525.4118,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
525.4118,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
525.4118,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
525.4118,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
525.4118,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
525.4118,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
525.4118,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
525.4118,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
525.4118,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
525.4118,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
525.4118,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
525.4118,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
525.4118,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
525.4118,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
525.4118,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
525.4118,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
525.4118,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
525.4118,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
525.4118,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
525.4118,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
525.4118,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
525.4118,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
525.4118,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
525.4118,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
525.4118,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
525.4118,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
525.4118,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
525.4118,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
525.4226,0,0.00104,0.075433,0,0.000006,-0.000052,(0.0_ 0.0_ 1.0)
525.4346,0,0.00104,0.159386,0,0.000006,-0.000052,(0.0_ 0.0_ 1.0)
525.4452,0,0.002848,0.233596,0.000002,0.000057,-0.000389,(0.0_ 0.0_ 1.0)
525.4565,0,0.002848,0.312656,0.000002,0.000057,-0.000389,(0.0_ 0.0_ 1.0)
525.4675,0,0.004771,0.389483,0.000002,0.000098,-0.000314,(0.0_ 0.0_ 1.0)
525.4785,0,0.004771,0.466526,0.000002,0.000098,-0.000314,(0.0_ 0.0_ 1.0)
525.4916,0,0.006648,0.558598,0.000001,0.000119,-0.000179,(0.0_ 0.0_ 1.0)
525.5009,0,0.006707,0.62333,0.000001,0.000124,-0.000125,(0.0_ 0.0_ 1.0)
525.5118,0,0.006707,0.700097,0.000001,0.000124,-0.000125,(0.0_ 0.0_ 1.0)
525.5234,0,0.006932,0.781569,0,0.000125,-0.000048,(0.0_ 0.0_ 1.0)
525.5366,0,0.006932,0.873653,0,0.000125,-0.000048,(0.0_ 0.0_ 1.0)
525.5469,0.000001,0.007299,0.945323,0,0.000129,-0.000045,(0.0_ 0.0_ 1.0)
525.5558,0.000001,0.007299,1.008358,0,0.000129,-0.000045,(0.0_ 0.0_ 1.0)
525.5663,0.000001,0.007521,1.081632,0,0.000132,-0.000039,(0.0_ 0.0_ 1.0)
525.5777,0.000001,0.007521,1.161067,0,0.000132,-0.000039,(0.0_ 0.0_ 1.0)
525.5885,0.000001,0.007725,1.236708,0,0.000136,-0.00003,(0.0_ 0.0_ 1.0)
525.6006,0.000001,0.007733,1.321408,0,0.000137,-0.000027,(0.0_ 0.0_ 1.0)
525.6114,0.000002,0.007733,1.39686,0,0.000137,-0.000027,(0.0_ 0.0_ 1.0)
525.6223,0.000002,0.007764,1.473375,0,0.000141,-0.000022,(0.0_ 0.0_ 1.0)
525.634,0.000002,0.007764,1.555231,0,0.000141,-0.000022,(0.0_ 0.0_ 1.0)
525.6447,0.000002,0.007819,1.630033,0,0.000145,-0.000012,(0.0_ 0.0_ 1.0)
525.6563,0.000002,0.007819,1.711591,0,0.000145,-0.000012,(0.0_ 0.0_ 1.0)
525.6669,0.000002,0.007881,1.785439,-0.000001,0.00015,-0.000012,(0.0_ 0.0_ 1.0)
525.6785,0.000003,0.007881,1.866769,-0.000001,0.00015,-0.000012,(0.0_ 0.0_ 1.0)
525.689,0.000003,0.007934,1.93992,0.000001,0.000154,-0.000011,(0.0_ 0.0_ 1.0)
525.7032,0.000003,0.007945,2.039747,0.000001,0.000156,-0.000008,(0.0_ 0.0_ 1.0)
525.7117,0.000003,0.007945,2.099252,0.000001,0.000156,-0.000008,(0.0_ 0.0_ 1.0)
525.7224,0.000003,0.007952,2.174116,0,0.000158,-0.000007,(0.0_ 0.0_ 1.0)
525.7339,0.000004,0.007952,2.255042,0,0.000158,-0.000007,(0.0_ 0.0_ 1.0)
525.7446,0.000004,0.007963,2.329496,0,0.000159,-0.000007,(0.0_ 0.0_ 1.0)
525.7563,0.000004,0.007963,2.411515,0,0.000159,-0.000007,(0.0_ 0.0_ 1.0)
525.7672,0.000004,0.007976,2.487355,0,0.000161,-0.000006,(0.0_ 0.0_ 1.0)
525.7783,0.000005,0.007976,2.565736,0,0.000161,-0.000006,(0.0_ 0.0_ 1.0)
525.7891,0.000005,0.007987,2.641275,0,0.000162,-0.000007,(0.0_ 0.0_ 1.0)
525.8007,0.000005,0.007987,2.722047,0,0.000163,-0.000007,(0.0_ 0.0_ 1.0)
525.8121,0.000005,0.007987,2.80232,0,0.000163,-0.000007,(0.0_ 0.0_ 1.0)
525.8227,0.000005,0.007989,2.876206,0,0.000164,-0.000008,(0.0_ 0.0_ 1.0)
525.8344,0.000006,0.007989,2.957938,0,0.000164,-0.000008,(0.0_ 0.0_ 1.0)
525.8449,0.000006,0.007992,3.031668,0,0.000165,-0.000008,(0.0_ 0.0_ 1.0)
525.8562,0.000006,0.007992,3.110518,0,0.000165,-0.000008,(0.0_ 0.0_ 1.0)
525.8675,0.000006,0.007995,3.189736,0,0.000166,-0.000007,(0.0_ 0.0_ 1.0)
525.8784,0.000007,0.007995,3.265866,0,0.000166,-0.000007,(0.0_ 0.0_ 1.0)
525.89,0.000007,0.007997,3.347145,0,0.000167,-0.000005,(0.0_ 0.0_ 1.0)
525.903,0.000007,0.007998,3.438201,0,0.000168,-0.000004,(0.0_ 0.0_ 1.0)
