time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,forward_direction
354.2675,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.2675,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.2675,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.2675,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.2675,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.2675,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.2675,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.2675,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.2675,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.2675,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.2675,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.2675,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.2675,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.2675,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.2675,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.2675,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.2675,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.2675,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.2675,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.2675,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.2675,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.2675,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.2675,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.2675,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.2675,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.2675,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.2675,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.2675,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.2675,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.2675,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.2785,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.2894,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.3011,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.3125,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.3231,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.3344,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.3452,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.3564,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.3692,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.3791,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.3896,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.4013,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.4122,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.4235,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.4368,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.4471,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.4557,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.4714,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.4781,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.4884,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.4997,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.5109,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.5222,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.5335,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.544,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.5558,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.5667,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.5804,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.5889,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.6003,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.6122,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.6221,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.6335,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.6448,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.6562,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.6669,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.6789,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.6897,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.7008,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.7127,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.7228,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.7347,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.7455,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.7563,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.7674,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.7807,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.7894,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.8007,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.8121,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.8228,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.8345,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.8453,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.8564,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.8674,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.8791,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.8898,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.901,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.9123,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.9231,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.9347,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.9455,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.9567,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.9675,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.9814,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
354.9899,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
355.001,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
355.0128,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
355.0234,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
355.0347,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
355.0464,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
355.0569,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
