time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,forward_direction
547.5661,-0.340638,1.157758,0.157677,4.157641,2.940036,3.464338,(0.1_ -0.1_ 1.0)
547.5661,-0.339505,1.158081,0.15624,4.058647,2.754566,3.494192,(0.0_ -0.1_ 1.0)
547.5661,-0.339075,1.158183,0.155658,3.968583,2.643944,3.529796,(0.0_ -0.1_ 1.0)
547.5661,-0.338914,1.158221,0.155456,3.965134,2.593986,3.54141,(0.0_ -0.1_ 1.0)
547.5661,-0.338842,1.15825,0.155344,3.977193,2.588304,3.515317,(0.0_ -0.1_ 1.0)
547.5661,-0.338749,1.158264,0.155228,3.970764,2.577034,3.519038,(0.0_ -0.1_ 1.0)
547.5661,-0.338566,1.158296,0.15501,3.959839,2.532235,3.508648,(0.0_ -0.1_ 1.0)
547.5661,-0.338417,1.158315,0.154818,3.950079,2.503643,3.497491,(0.0_ -0.1_ 1.0)
547.5661,-0.33835,1.15832,0.154684,3.937432,2.511626,3.458863,(0.0_ -0.1_ 1.0)
547.5661,-0.3382,1.158317,0.154455,3.919722,2.485329,3.423948,(0.0_ -0.1_ 1.0)
547.5661,-0.338116,1.158311,0.15428,3.91011,2.476535,3.39016,(0.0_ -0.1_ 1.0)
547.5661,-0.338053,1.158304,0.154124,3.888716,2.473341,3.377315,(0.0_ -0.1_ 1.0)
547.5661,-0.33797,1.158301,0.153928,3.856537,2.448715,3.366079,(0.0_ -0.1_ 1.0)
547.5661,-0.337945,1.158327,0.153782,3.857395,2.430408,3.332987,(0.0_ -0.1_ 1.0)
547.5661,-0.33794,1.158332,0.153622,3.828328,2.428644,3.311596,(0.0_ -0.1_ 1.0)
547.5661,-0.337936,1.158365,0.153418,3.806677,2.392097,3.279714,(0.0_ -0.1_ 1.0)
547.5661,-0.33796,1.158382,0.15334,3.801101,2.392635,3.284076,(0.0_ -0.1_ 1.0)
547.5661,-0.338042,1.158421,0.153166,3.765204,2.3732,3.262892,(0.0_ -0.1_ 1.0)
547.5661,-0.338135,1.158464,0.153083,3.748446,2.368086,3.25508,(0.0_ -0.1_ 1.0)
547.5661,-0.338293,1.158517,0.152938,3.708974,2.328682,3.261683,(0.0_ -0.1_ 1.0)
547.5661,-0.338464,1.158562,0.152841,3.671315,2.293481,3.292729,(0.0_ -0.1_ 1.0)
547.5661,-0.338729,1.158584,0.152754,3.608046,2.253598,3.372597,(0.0_ -0.1_ 1.0)
547.5661,-0.338917,1.158588,0.152735,3.558822,2.190725,3.431704,(0.0_ -0.1_ 1.0)
547.5661,-0.33911,1.158619,0.152709,3.525615,2.092184,3.4295,(0.0_ -0.1_ 1.0)
547.5661,-0.339287,1.158643,0.152709,3.48757,1.99473,3.469,(0.0_ -0.1_ 1.0)
547.5661,-0.339479,1.158646,0.15273,3.442866,1.92223,3.527156,(0.0_ -0.1_ 1.0)
547.5661,-0.339655,1.158615,0.152781,3.388954,1.828531,3.555733,(0.0_ -0.1_ 1.0)
547.5661,-0.339815,1.158644,0.152783,3.40623,1.710772,3.582748,(0.0_ -0.1_ 1.0)
547.5661,-0.339963,1.158582,0.152814,3.410479,1.613932,3.626778,(0.0_ -0.1_ 1.0)
547.5661,-0.34012,1.158517,0.152835,3.421521,1.504657,3.629952,(0.0_ -0.1_ 1.0)
547.5661,-0.340269,1.158462,0.152848,3.468993,1.411873,3.619381,(0.0_ -0.1_ 1.0)
547.5661,-0.340366,1.158376,0.15288,3.486218,1.32784,3.650396,(0.0_ -0.1_ 1.0)
547.5661,-0.34048,1.158322,0.152906,3.517982,1.237082,3.609204,(0.0_ -0.1_ 1.0)
547.5661,-0.340532,1.158279,0.152924,3.552114,1.124333,3.577886,(0.0_ -0.1_ 1.0)
547.5661,-0.340623,1.158223,0.152958,3.558155,1.054093,3.537424,(0.0_ -0.1_ 1.0)
547.5661,-0.340678,1.158148,0.153007,3.54408,0.986337,3.512056,(0.0_ -0.1_ 1.0)
547.5661,-0.340747,1.158141,0.153035,3.579818,0.932279,3.476887,(0.0_ -0.1_ 1.0)
547.5661,-0.340828,1.158113,0.15309,3.587183,0.90866,3.454874,(0.0_ -0.1_ 1.0)
547.5661,-0.340883,1.15808,0.153145,3.585728,0.854321,3.424619,(0.0_ -0.1_ 1.0)
547.5661,-0.340929,1.15805,0.153205,3.57373,0.85369,3.427285,(0.0_ -0.1_ 1.0)
547.5661,-0.341,1.158042,0.153266,3.58033,0.820666,3.412057,(0.0_ -0.1_ 1.0)
547.5661,-0.341068,1.158016,0.153344,3.562125,0.812259,3.412961,(0.0_ -0.1_ 1.0)
547.5661,-0.341153,1.158004,0.153442,3.556822,0.773854,3.420765,(0.0_ -0.1_ 1.0)
547.5661,-0.34123,1.157997,0.153547,3.536314,0.757692,3.415475,(0.0_ -0.1_ 1.0)
547.5661,-0.341325,1.157996,0.153695,3.508944,0.737946,3.417104,(0.0_ -0.1_ 1.0)
547.5661,-0.341392,1.157995,0.153813,3.497584,0.735,3.431386,(0.0_ -0.1_ 1.0)
547.5661,-0.34149,1.157982,0.153996,3.480827,0.714863,3.435893,(0.0_ -0.1_ 1.0)
547.5661,-0.341557,1.157981,0.154111,3.487964,0.719249,3.4444,(0.0_ -0.1_ 1.0)
547.5661,-0.341677,1.15796,0.154339,3.494401,0.702916,3.467019,(0.0_ -0.1_ 1.0)
547.5773,-0.341788,1.157954,0.232475,3.515601,0.693156,3.497155,(0.0_ -0.1_ 1.0)
547.5887,-0.341905,1.161425,0.312908,3.517619,0.701462,3.521838,(0.0_ -0.1_ 1.0)
547.6002,-0.341996,1.161478,0.393522,3.542397,0.68645,3.530471,(0.0_ -0.1_ 1.0)
547.6111,-0.342142,1.161471,0.470317,3.589983,0.650317,3.55735,(0.0_ -0.1_ 1.0)
547.6218,-0.342233,1.161818,0.545081,3.588049,0.626669,3.557468,(0.0_ -0.1_ 1.0)
547.6334,-0.342418,1.161812,0.626654,3.654029,0.598824,3.550867,(0.0_ -0.1_ 1.0)
547.6445,-0.342533,1.162708,0.70492,3.685766,0.537256,3.563105,(0.0_ -0.1_ 1.0)
547.6559,-0.342651,1.162685,0.785272,3.676305,0.524529,3.581232,(0.0_ -0.1_ 1.0)
547.6704,-0.342785,1.164303,0.886925,3.688046,0.472777,3.577261,(0.0_ -0.1_ 1.0)
547.6797,-0.342915,1.164229,0.9523,3.678239,0.428879,3.607714,(0.0_ -0.1_ 1.0)
547.6906,-0.343044,1.164973,1.028421,3.700452,0.36516,3.625404,(0.0_ -0.1_ 1.0)
547.6995,-0.343147,1.164945,1.091382,3.740718,0.306457,3.662899,(0.0_ -0.1_ 1.0)
547.7101,-0.343261,1.165218,1.166126,3.716519,0.263796,3.663752,(0.0_ -0.1_ 1.0)
547.7217,-0.343356,1.165204,1.247465,3.772842,0.228011,3.696469,(0.0_ -0.1_ 1.0)
547.7325,-0.343455,1.165129,1.323856,3.81163,0.198532,3.704232,(0.0_ -0.1_ 1.0)
547.7437,-0.343525,1.165091,1.402547,3.856071,0.170538,3.725703,(0.0_ -0.1_ 1.0)
547.7552,-0.343576,1.164983,1.483682,3.923006,0.146538,3.750757,(0.0_ -0.1_ 1.0)
547.7661,-0.343652,1.164926,1.559795,3.969607,0.154067,3.772993,(0.0_ -0.1_ 1.0)
547.7775,-0.3437,1.164844,1.640401,4.069643,0.144029,3.76443,(0.0_ -0.1_ 1.0)
547.7882,-0.343707,1.164806,1.715446,4.159446,0.125095,3.804997,(0.0_ -0.1_ 1.0)
547.8,-0.343765,1.164675,1.79882,4.237079,0.14772,3.808132,(0.0_ -0.1_ 1.0)
547.8109,-0.343812,1.164592,1.874721,4.361957,0.158303,3.803049,(0.0_ -0.1_ 1.0)
547.822,-0.343813,1.164497,1.952928,4.448234,0.141267,3.810864,(0.0_ -0.1_ 1.0)
547.8331,-0.343839,1.164447,2.030842,4.557321,0.148253,3.822891,(0.0_ -0.1_ 1.0)
547.8439,-0.343855,1.1644,2.107146,4.625163,0.123008,3.825797,(0.0_ -0.1_ 1.0)
547.8557,-0.343903,1.16433,2.189699,4.674052,0.124098,3.838908,(0.0_ -0.1_ 1.0)
547.8667,-0.343913,1.164301,2.266975,4.733407,0.077955,3.835883,(0.0_ -0.1_ 1.0)
547.8812,-0.34393,1.164247,2.368358,4.771992,0.045964,3.845304,(0.0_ -0.1_ 1.0)
547.8887,-0.343985,1.164214,2.421638,4.812255,0.052247,3.854442,(0.0_ -0.1_ 1.0)
547.8997,-0.34398,1.164192,2.498988,4.834689,0.011966,3.863072,(0.0_ -0.1_ 1.0)
547.9104,-0.34396,1.164213,2.57387,4.900693,359.9488,3.877638,(0.0_ -0.1_ 1.0)
547.922,-0.343971,1.164211,2.655314,4.926836,359.9161,3.848125,(0.0_ -0.1_ 1.0)
547.9335,-0.343944,1.164192,2.735757,4.947046,359.888,3.852493,(0.0_ -0.1_ 1.0)
547.944,-0.34397,1.164191,2.80904,4.956998,359.9101,3.84982,(0.0_ -0.1_ 1.0)
547.9558,-0.343902,1.164161,2.892025,4.984977,359.8642,3.856581,(0.0_ -0.1_ 1.0)
547.9668,-0.34392,1.16415,2.969138,4.9804,359.8887,3.859681,(0.0_ -0.1_ 1.0)
547.978,-0.343899,1.16411,3.047435,5.00217,359.8938,3.87953,(0.0_ -0.1_ 1.0)
547.9888,-0.343895,1.164075,3.123349,5.032295,359.9093,3.891639,(0.0_ -0.1_ 1.0)
548.0001,-0.343876,1.164028,3.203107,5.08074,359.9161,3.901664,(0.0_ -0.1_ 1.0)
548.0108,-0.343837,1.163952,3.278079,5.134256,359.9103,3.914986,(0.0_ -0.1_ 1.0)
548.0221,-0.343801,1.163877,3.356906,5.201938,359.8934,3.928398,(0.0_ -0.1_ 1.0)
548.0339,-0.343797,1.163783,3.439947,5.279542,359.8778,3.910494,(0.0_ -0.1_ 1.0)
548.0444,-0.343752,1.163694,3.513102,5.347934,359.8561,3.94464,(0.0_ -0.1_ 1.0)
548.0557,-0.343785,1.16362,3.592291,5.404077,359.8506,3.914226,(0.0_ -0.1_ 1.0)
548.067,-0.343783,1.163557,3.671184,5.465517,359.8272,3.914262,(0.0_ -0.1_ 1.0)
548.0809,-0.343785,1.163497,3.769146,5.487216,359.8022,3.910988,(0.0_ -0.1_ 1.0)
