experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,condition,targetspeed,map_rotation,hit,targetpole_movement_location_0,rmcardemo_usa_movement_location_0,main_camera_movement_location_0
vr driving simulator,CHHA11,3,1,1,1,15.74521,26.74556,2,5,254.1223,True,vr driving simulator/CHHA11/S003/trackers/targetpole_movement_T001.csv,vr driving simulator/CHHA11/S003/trackers/rmcardemo_usa_movement_T001.csv,vr driving simulator/CHHA11/S003/trackers/main_camera_movement_T001.csv
vr driving simulator,CHHA11,3,2,1,2,26.74556,41.74875,2,6,197.6205,True,vr driving simulator/CHHA11/S003/trackers/targetpole_movement_T002.csv,vr driving simulator/CHHA11/S003/trackers/rmcardemo_usa_movement_T002.csv,vr driving simulator/CHHA11/S003/trackers/main_camera_movement_T002.csv
vr driving simulator,CHHA11,3,3,1,3,41.74875,59.26191,2,5,188.832,True,vr driving simulator/CHHA11/S003/trackers/targetpole_movement_T003.csv,vr driving simulator/CHHA11/S003/trackers/rmcardemo_usa_movement_T003.csv,vr driving simulator/CHHA11/S003/trackers/main_camera_movement_T003.csv
vr driving simulator,CHHA11,3,4,1,4,59.26191,70.28586,2,4,232.844,True,vr driving simulator/CHHA11/S003/trackers/targetpole_movement_T004.csv,vr driving simulator/CHHA11/S003/trackers/rmcardemo_usa_movement_T004.csv,vr driving simulator/CHHA11/S003/trackers/main_camera_movement_T004.csv
vr driving simulator,CHHA11,3,5,1,5,70.28586,80.84359,2,4,158.6748,True,vr driving simulator/CHHA11/S003/trackers/targetpole_movement_T005.csv,vr driving simulator/CHHA11/S003/trackers/rmcardemo_usa_movement_T005.csv,vr driving simulator/CHHA11/S003/trackers/main_camera_movement_T005.csv
vr driving simulator,CHHA11,3,6,1,6,80.84359,93.87926,2,5,251.3453,True,vr driving simulator/CHHA11/S003/trackers/targetpole_movement_T006.csv,vr driving simulator/CHHA11/S003/trackers/rmcardemo_usa_movement_T006.csv,vr driving simulator/CHHA11/S003/trackers/main_camera_movement_T006.csv
vr driving simulator,CHHA11,3,7,1,7,93.87926,109.5484,2,5,179.7408,True,vr driving simulator/CHHA11/S003/trackers/targetpole_movement_T007.csv,vr driving simulator/CHHA11/S003/trackers/rmcardemo_usa_movement_T007.csv,vr driving simulator/CHHA11/S003/trackers/main_camera_movement_T007.csv
vr driving simulator,CHHA11,3,8,1,8,109.5484,139.5512,2,5,164.082,False,vr driving simulator/CHHA11/S003/trackers/targetpole_movement_T008.csv,vr driving simulator/CHHA11/S003/trackers/rmcardemo_usa_movement_T008.csv,vr driving simulator/CHHA11/S003/trackers/main_camera_movement_T008.csv
vr driving simulator,CHHA11,3,9,1,9,139.5512,155.5656,2,6,229.3234,True,vr driving simulator/CHHA11/S003/trackers/targetpole_movement_T009.csv,vr driving simulator/CHHA11/S003/trackers/rmcardemo_usa_movement_T009.csv,vr driving simulator/CHHA11/S003/trackers/main_camera_movement_T009.csv
vr driving simulator,CHHA11,3,10,1,10,155.5656,167.235,2,4,245.0726,True,vr driving simulator/CHHA11/S003/trackers/targetpole_movement_T010.csv,vr driving simulator/CHHA11/S003/trackers/rmcardemo_usa_movement_T010.csv,vr driving simulator/CHHA11/S003/trackers/main_camera_movement_T010.csv
vr driving simulator,CHHA11,3,11,1,11,167.235,177.8491,2,4,132.0448,True,vr driving simulator/CHHA11/S003/trackers/targetpole_movement_T011.csv,vr driving simulator/CHHA11/S003/trackers/rmcardemo_usa_movement_T011.csv,vr driving simulator/CHHA11/S003/trackers/main_camera_movement_T011.csv
vr driving simulator,CHHA11,3,12,1,12,177.8491,189.0096,2,5,209.0183,True,vr driving simulator/CHHA11/S003/trackers/targetpole_movement_T012.csv,vr driving simulator/CHHA11/S003/trackers/rmcardemo_usa_movement_T012.csv,vr driving simulator/CHHA11/S003/trackers/main_camera_movement_T012.csv
vr driving simulator,CHHA11,3,13,1,13,189.0096,200.9238,2,5,189.4187,True,vr driving simulator/CHHA11/S003/trackers/targetpole_movement_T013.csv,vr driving simulator/CHHA11/S003/trackers/rmcardemo_usa_movement_T013.csv,vr driving simulator/CHHA11/S003/trackers/main_camera_movement_T013.csv
vr driving simulator,CHHA11,3,14,1,14,200.9238,215.6159,2,5,207.503,True,vr driving simulator/CHHA11/S003/trackers/targetpole_movement_T014.csv,vr driving simulator/CHHA11/S003/trackers/rmcardemo_usa_movement_T014.csv,vr driving simulator/CHHA11/S003/trackers/main_camera_movement_T014.csv
vr driving simulator,CHHA11,3,15,1,15,215.6159,245.6198,2,6,108.4173,False,vr driving simulator/CHHA11/S003/trackers/targetpole_movement_T015.csv,vr driving simulator/CHHA11/S003/trackers/rmcardemo_usa_movement_T015.csv,vr driving simulator/CHHA11/S003/trackers/main_camera_movement_T015.csv
vr driving simulator,CHHA11,3,16,1,16,245.6198,258.6153,2,6,213.1257,True,vr driving simulator/CHHA11/S003/trackers/targetpole_movement_T016.csv,vr driving simulator/CHHA11/S003/trackers/rmcardemo_usa_movement_T016.csv,vr driving simulator/CHHA11/S003/trackers/main_camera_movement_T016.csv
vr driving simulator,CHHA11,3,17,1,17,258.6153,274.1258,2,5,146.6085,True,vr driving simulator/CHHA11/S003/trackers/targetpole_movement_T017.csv,vr driving simulator/CHHA11/S003/trackers/rmcardemo_usa_movement_T017.csv,vr driving simulator/CHHA11/S003/trackers/main_camera_movement_T017.csv
vr driving simulator,CHHA11,3,18,1,18,274.1258,285.1286,2,4,221.2469,True,vr driving simulator/CHHA11/S003/trackers/targetpole_movement_T018.csv,vr driving simulator/CHHA11/S003/trackers/rmcardemo_usa_movement_T018.csv,vr driving simulator/CHHA11/S003/trackers/main_camera_movement_T018.csv
vr driving simulator,CHHA11,3,19,1,19,285.1286,300.176,2,6,147.0777,True,vr driving simulator/CHHA11/S003/trackers/targetpole_movement_T019.csv,vr driving simulator/CHHA11/S003/trackers/rmcardemo_usa_movement_T019.csv,vr driving simulator/CHHA11/S003/trackers/main_camera_movement_T019.csv
vr driving simulator,CHHA11,3,20,1,20,300.176,312.9007,2,5,253.7043,True,vr driving simulator/CHHA11/S003/trackers/targetpole_movement_T020.csv,vr driving simulator/CHHA11/S003/trackers/rmcardemo_usa_movement_T020.csv,vr driving simulator/CHHA11/S003/trackers/main_camera_movement_T020.csv
vr driving simulator,CHHA11,3,21,1,21,312.9007,342.9033,2,6,261.7873,False,vr driving simulator/CHHA11/S003/trackers/targetpole_movement_T021.csv,vr driving simulator/CHHA11/S003/trackers/rmcardemo_usa_movement_T021.csv,vr driving simulator/CHHA11/S003/trackers/main_camera_movement_T021.csv
vr driving simulator,CHHA11,3,22,1,22,342.9033,368.6608,2,6,92.45916,True,vr driving simulator/CHHA11/S003/trackers/targetpole_movement_T022.csv,vr driving simulator/CHHA11/S003/trackers/rmcardemo_usa_movement_T022.csv,vr driving simulator/CHHA11/S003/trackers/main_camera_movement_T022.csv
vr driving simulator,CHHA11,3,23,1,23,368.6608,384.7511,2,6,138.0769,False,vr driving simulator/CHHA11/S003/trackers/targetpole_movement_T023.csv,vr driving simulator/CHHA11/S003/trackers/rmcardemo_usa_movement_T023.csv,vr driving simulator/CHHA11/S003/trackers/main_camera_movement_T023.csv
vr driving simulator,CHHA11,3,24,1,24,384.7511,399.7651,2,5,202.1056,True,vr driving simulator/CHHA11/S003/trackers/targetpole_movement_T024.csv,vr driving simulator/CHHA11/S003/trackers/rmcardemo_usa_movement_T024.csv,vr driving simulator/CHHA11/S003/trackers/main_camera_movement_T024.csv
vr driving simulator,CHHA11,3,25,1,25,399.7651,417.283,2,6,186.4468,False,vr driving simulator/CHHA11/S003/trackers/targetpole_movement_T025.csv,vr driving simulator/CHHA11/S003/trackers/rmcardemo_usa_movement_T025.csv,vr driving simulator/CHHA11/S003/trackers/main_camera_movement_T025.csv
vr driving simulator,CHHA11,3,26,1,26,417.283,429.4203,2,4,239.8798,True,vr driving simulator/CHHA11/S003/trackers/targetpole_movement_T026.csv,vr driving simulator/CHHA11/S003/trackers/rmcardemo_usa_movement_T026.csv,vr driving simulator/CHHA11/S003/trackers/main_camera_movement_T026.csv
vr driving simulator,CHHA11,3,27,1,27,429.4203,440.778,2,4,235.3969,True,vr driving simulator/CHHA11/S003/trackers/targetpole_movement_T027.csv,vr driving simulator/CHHA11/S003/trackers/rmcardemo_usa_movement_T027.csv,vr driving simulator/CHHA11/S003/trackers/main_camera_movement_T027.csv
vr driving simulator,CHHA11,3,28,1,28,440.778,459.9034,2,6,154.9517,False,vr driving simulator/CHHA11/S003/trackers/targetpole_movement_T028.csv,vr driving simulator/CHHA11/S003/trackers/rmcardemo_usa_movement_T028.csv,vr driving simulator/CHHA11/S003/trackers/main_camera_movement_T028.csv
vr driving simulator,CHHA11,3,29,1,29,459.9034,479.8395,2,5,162.6559,True,vr driving simulator/CHHA11/S003/trackers/targetpole_movement_T029.csv,vr driving simulator/CHHA11/S003/trackers/rmcardemo_usa_movement_T029.csv,vr driving simulator/CHHA11/S003/trackers/main_camera_movement_T029.csv
vr driving simulator,CHHA11,3,30,1,30,479.8395,494.9656,2,6,98.91902,True,vr driving simulator/CHHA11/S003/trackers/targetpole_movement_T030.csv,vr driving simulator/CHHA11/S003/trackers/rmcardemo_usa_movement_T030.csv,vr driving simulator/CHHA11/S003/trackers/main_camera_movement_T030.csv
vr driving simulator,CHHA11,3,31,1,31,494.9656,512.7239,2,6,140.9607,True,vr driving simulator/CHHA11/S003/trackers/targetpole_movement_T031.csv,vr driving simulator/CHHA11/S003/trackers/rmcardemo_usa_movement_T031.csv,vr driving simulator/CHHA11/S003/trackers/main_camera_movement_T031.csv
vr driving simulator,CHHA11,3,32,1,32,512.7239,522.8821,2,4,152.9846,True,vr driving simulator/CHHA11/S003/trackers/targetpole_movement_T032.csv,vr driving simulator/CHHA11/S003/trackers/rmcardemo_usa_movement_T032.csv,vr driving simulator/CHHA11/S003/trackers/main_camera_movement_T032.csv
vr driving simulator,CHHA11,3,33,1,33,522.8821,534.9522,2,4,91.96163,True,vr driving simulator/CHHA11/S003/trackers/targetpole_movement_T033.csv,vr driving simulator/CHHA11/S003/trackers/rmcardemo_usa_movement_T033.csv,vr driving simulator/CHHA11/S003/trackers/main_camera_movement_T033.csv
vr driving simulator,CHHA11,3,34,1,34,534.9522,547.5661,2,4,177.7758,True,vr driving simulator/CHHA11/S003/trackers/targetpole_movement_T034.csv,vr driving simulator/CHHA11/S003/trackers/rmcardemo_usa_movement_T034.csv,vr driving simulator/CHHA11/S003/trackers/main_camera_movement_T034.csv
