experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,condition,targetspeed,map_rotation,hit,targetpole_movement_location_0,rmcardemo_usa_movement_location_0,main_camera_movement_location_0
vr driving simulator,CHYI14,1,1,1,1,31.79521,51.36258,0,6,213.5103,True,vr driving simulator/CHYI14/S001/trackers/targetpole_movement_T001.csv,vr driving simulator/CHYI14/S001/trackers/rmcardemo_usa_movement_T001.csv,vr driving simulator/CHYI14/S001/trackers/main_camera_movement_T001.csv
vr driving simulator,CHYI14,1,2,1,2,51.36258,64.55351,0,6,147.4622,False,vr driving simulator/CHYI14/S001/trackers/targetpole_movement_T002.csv,vr driving simulator/CHYI14/S001/trackers/rmcardemo_usa_movement_T002.csv,vr driving simulator/CHYI14/S001/trackers/main_camera_movement_T002.csv
vr driving simulator,CHYI14,1,3,1,3,64.55351,75.43395,0,5,245.2622,True,vr driving simulator/CHYI14/S001/trackers/targetpole_movement_T003.csv,vr driving simulator/CHYI14/S001/trackers/rmcardemo_usa_movement_T003.csv,vr driving simulator/CHYI14/S001/trackers/main_camera_movement_T003.csv
vr driving simulator,CHYI14,1,4,1,4,75.43395,86.68151,0,5,99.63779,True,vr driving simulator/CHYI14/S001/trackers/targetpole_movement_T004.csv,vr driving simulator/CHYI14/S001/trackers/rmcardemo_usa_movement_T004.csv,vr driving simulator/CHYI14/S001/trackers/main_camera_movement_T004.csv
vr driving simulator,CHYI14,1,5,1,5,86.68151,98.8058,0,5,266.3282,True,vr driving simulator/CHYI14/S001/trackers/targetpole_movement_T005.csv,vr driving simulator/CHYI14/S001/trackers/rmcardemo_usa_movement_T005.csv,vr driving simulator/CHYI14/S001/trackers/main_camera_movement_T005.csv
vr driving simulator,CHYI14,1,6,1,6,98.8058,108.8525,0,4,206.6813,True,vr driving simulator/CHYI14/S001/trackers/targetpole_movement_T006.csv,vr driving simulator/CHYI14/S001/trackers/rmcardemo_usa_movement_T006.csv,vr driving simulator/CHYI14/S001/trackers/main_camera_movement_T006.csv
vr driving simulator,CHYI14,1,7,1,7,108.8525,124.4774,0,6,171.3848,True,vr driving simulator/CHYI14/S001/trackers/targetpole_movement_T007.csv,vr driving simulator/CHYI14/S001/trackers/rmcardemo_usa_movement_T007.csv,vr driving simulator/CHYI14/S001/trackers/main_camera_movement_T007.csv
vr driving simulator,CHYI14,1,8,1,8,124.4774,134.9016,0,4,158.2766,True,vr driving simulator/CHYI14/S001/trackers/targetpole_movement_T008.csv,vr driving simulator/CHYI14/S001/trackers/rmcardemo_usa_movement_T008.csv,vr driving simulator/CHYI14/S001/trackers/main_camera_movement_T008.csv
vr driving simulator,CHYI14,1,9,1,9,134.9016,144.804,0,4,199.5225,True,vr driving simulator/CHYI14/S001/trackers/targetpole_movement_T009.csv,vr driving simulator/CHYI14/S001/trackers/rmcardemo_usa_movement_T009.csv,vr driving simulator/CHYI14/S001/trackers/main_camera_movement_T009.csv
vr driving simulator,CHYI14,1,10,1,10,144.804,156.3067,0,5,151.6599,True,vr driving simulator/CHYI14/S001/trackers/targetpole_movement_T010.csv,vr driving simulator/CHYI14/S001/trackers/rmcardemo_usa_movement_T010.csv,vr driving simulator/CHYI14/S001/trackers/main_camera_movement_T010.csv
vr driving simulator,CHYI14,1,11,1,11,156.3067,166.4866,0,4,189.1806,True,vr driving simulator/CHYI14/S001/trackers/targetpole_movement_T011.csv,vr driving simulator/CHYI14/S001/trackers/rmcardemo_usa_movement_T011.csv,vr driving simulator/CHYI14/S001/trackers/main_camera_movement_T011.csv
vr driving simulator,CHYI14,1,12,1,12,166.4866,178.1451,0,5,269.8934,True,vr driving simulator/CHYI14/S001/trackers/targetpole_movement_T012.csv,vr driving simulator/CHYI14/S001/trackers/rmcardemo_usa_movement_T012.csv,vr driving simulator/CHYI14/S001/trackers/main_camera_movement_T012.csv
vr driving simulator,CHYI14,1,13,1,13,178.1451,188.6792,0,4,162.5473,True,vr driving simulator/CHYI14/S001/trackers/targetpole_movement_T013.csv,vr driving simulator/CHYI14/S001/trackers/rmcardemo_usa_movement_T013.csv,vr driving simulator/CHYI14/S001/trackers/main_camera_movement_T013.csv
vr driving simulator,CHYI14,1,14,1,14,188.6792,199.0989,0,4,252.6812,True,vr driving simulator/CHYI14/S001/trackers/targetpole_movement_T014.csv,vr driving simulator/CHYI14/S001/trackers/rmcardemo_usa_movement_T014.csv,vr driving simulator/CHYI14/S001/trackers/main_camera_movement_T014.csv
vr driving simulator,CHYI14,1,15,1,15,199.0989,210.4014,0,5,168.4966,True,vr driving simulator/CHYI14/S001/trackers/targetpole_movement_T015.csv,vr driving simulator/CHYI14/S001/trackers/rmcardemo_usa_movement_T015.csv,vr driving simulator/CHYI14/S001/trackers/main_camera_movement_T015.csv
vr driving simulator,CHYI14,1,16,1,16,210.4014,223.448,0,6,251.7602,True,vr driving simulator/CHYI14/S001/trackers/targetpole_movement_T016.csv,vr driving simulator/CHYI14/S001/trackers/rmcardemo_usa_movement_T016.csv,vr driving simulator/CHYI14/S001/trackers/main_camera_movement_T016.csv
vr driving simulator,CHYI14,1,17,1,17,223.448,233.5832,0,4,188.9824,True,vr driving simulator/CHYI14/S001/trackers/targetpole_movement_T017.csv,vr driving simulator/CHYI14/S001/trackers/rmcardemo_usa_movement_T017.csv,vr driving simulator/CHYI14/S001/trackers/main_camera_movement_T017.csv
vr driving simulator,CHYI14,1,18,1,18,233.5832,247.129,0,6,175.0643,True,vr driving simulator/CHYI14/S001/trackers/targetpole_movement_T018.csv,vr driving simulator/CHYI14/S001/trackers/rmcardemo_usa_movement_T018.csv,vr driving simulator/CHYI14/S001/trackers/main_camera_movement_T018.csv
vr driving simulator,CHYI14,1,19,1,19,247.129,264.0202,0,6,102.2853,True,vr driving simulator/CHYI14/S001/trackers/targetpole_movement_T019.csv,vr driving simulator/CHYI14/S001/trackers/rmcardemo_usa_movement_T019.csv,vr driving simulator/CHYI14/S001/trackers/main_camera_movement_T019.csv
vr driving simulator,CHYI14,1,20,1,20,264.0202,277.3084,0,6,104.2938,True,vr driving simulator/CHYI14/S001/trackers/targetpole_movement_T020.csv,vr driving simulator/CHYI14/S001/trackers/rmcardemo_usa_movement_T020.csv,vr driving simulator/CHYI14/S001/trackers/main_camera_movement_T020.csv
vr driving simulator,CHYI14,1,21,1,21,277.3084,288.9552,0,5,156.9452,True,vr driving simulator/CHYI14/S001/trackers/targetpole_movement_T021.csv,vr driving simulator/CHYI14/S001/trackers/rmcardemo_usa_movement_T021.csv,vr driving simulator/CHYI14/S001/trackers/main_camera_movement_T021.csv
vr driving simulator,CHYI14,1,22,1,22,288.9552,299.1685,0,4,187.5955,True,vr driving simulator/CHYI14/S001/trackers/targetpole_movement_T022.csv,vr driving simulator/CHYI14/S001/trackers/rmcardemo_usa_movement_T022.csv,vr driving simulator/CHYI14/S001/trackers/main_camera_movement_T022.csv
vr driving simulator,CHYI14,1,23,1,23,299.1685,312.2931,0,6,222.5654,True,vr driving simulator/CHYI14/S001/trackers/targetpole_movement_T023.csv,vr driving simulator/CHYI14/S001/trackers/rmcardemo_usa_movement_T023.csv,vr driving simulator/CHYI14/S001/trackers/main_camera_movement_T023.csv
vr driving simulator,CHYI14,1,24,1,24,312.2931,323.9286,0,5,117.784,True,vr driving simulator/CHYI14/S001/trackers/targetpole_movement_T024.csv,vr driving simulator/CHYI14/S001/trackers/rmcardemo_usa_movement_T024.csv,vr driving simulator/CHYI14/S001/trackers/main_camera_movement_T024.csv
