time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,forward_direction
368.0641,-0.325874,1.132393,0.179991,3.365114,351.0913,359.2209,(-0.2_ -0.1_ 1.0)
368.0641,-0.325749,1.132623,0.179702,3.314417,351.2323,359.3755,(-0.2_ -0.1_ 1.0)
368.0641,-0.325739,1.13265,0.179655,3.320847,351.2531,359.3904,(-0.2_ -0.1_ 1.0)
368.0641,-0.325737,1.132704,0.179639,3.332437,351.2673,359.3871,(-0.2_ -0.1_ 1.0)
368.0641,-0.325734,1.132732,0.179659,3.317034,351.2672,359.3829,(-0.2_ -0.1_ 1.0)
368.0641,-0.325729,1.132777,0.179653,3.312417,351.2773,359.3638,(-0.2_ -0.1_ 1.0)
368.0641,-0.325709,1.13282,0.179647,3.309936,351.2834,359.3365,(-0.2_ -0.1_ 1.0)
368.0641,-0.325679,1.132857,0.179638,3.311659,351.2958,359.3074,(-0.2_ -0.1_ 1.0)
368.0641,-0.325634,1.132872,0.179639,3.280291,351.3541,359.247,(-0.2_ -0.1_ 1.0)
368.0641,-0.325546,1.132928,0.179619,3.296789,351.4312,359.1858,(-0.1_ -0.1_ 1.0)
368.0641,-0.325447,1.132924,0.179628,3.257528,351.5536,359.1042,(-0.1_ -0.1_ 1.0)
368.0641,-0.325281,1.132991,0.179613,3.286584,351.7059,359.0112,(-0.1_ -0.1_ 1.0)
368.0641,-0.325099,1.13301,0.179603,3.325586,351.8628,359.0244,(-0.1_ -0.1_ 1.0)
368.0641,-0.324985,1.132997,0.179598,3.327542,352.0189,358.9853,(-0.1_ -0.1_ 1.0)
368.0641,-0.324824,1.133006,0.179597,3.342572,352.1674,358.9586,(-0.1_ -0.1_ 1.0)
368.0641,-0.324607,1.133027,0.179606,3.342805,352.2765,358.9567,(-0.1_ -0.1_ 1.0)
368.0641,-0.324479,1.133083,0.179629,3.358551,352.4828,358.9228,(-0.1_ -0.1_ 1.0)
368.0641,-0.324395,1.13311,0.179647,3.349314,352.4518,358.9422,(-0.1_ -0.1_ 1.0)
368.0641,-0.324226,1.13317,0.17966,3.348996,352.6067,358.8906,(-0.1_ -0.1_ 1.0)
368.0641,-0.324043,1.133203,0.179722,3.296168,352.7766,358.8755,(-0.1_ -0.1_ 1.0)
368.0641,-0.32391,1.133275,0.17979,3.257439,352.9656,358.8282,(-0.1_ -0.1_ 1.0)
368.0641,-0.323661,1.133396,0.179836,3.241588,353.054,358.7812,(-0.1_ -0.1_ 1.0)
368.0641,-0.323525,1.13347,0.17992,3.175983,353.2355,358.7224,(-0.1_ -0.1_ 1.0)
368.0641,-0.323335,1.133575,0.179981,3.152299,353.3785,358.6821,(-0.1_ -0.1_ 1.0)
368.0641,-0.323174,1.133637,0.180059,3.09157,353.5473,358.6568,(-0.1_ -0.1_ 1.0)
368.0641,-0.322971,1.133724,0.180103,3.064488,353.6831,358.6271,(-0.1_ -0.1_ 1.0)
368.0641,-0.322787,1.133807,0.180144,3.051978,353.8202,358.5829,(-0.1_ -0.1_ 1.0)
368.0641,-0.322611,1.133841,0.180211,3.013022,353.983,358.5745,(-0.1_ -0.1_ 1.0)
368.0641,-0.322449,1.133887,0.18025,3.011785,354.132,358.5386,(-0.1_ -0.1_ 1.0)
368.0641,-0.3223,1.133897,0.180301,2.982179,354.2903,358.5145,(-0.1_ -0.1_ 1.0)
368.0641,-0.322124,1.133912,0.180332,2.980945,354.4158,358.49,(-0.1_ -0.1_ 1.0)
368.0641,-0.321994,1.133915,0.180377,2.95606,354.5751,358.4607,(-0.1_ -0.1_ 1.0)
368.0641,-0.321842,1.13393,0.180379,2.964383,354.7141,358.4435,(-0.1_ -0.1_ 1.0)
368.0641,-0.32171,1.133938,0.180382,2.964379,354.8782,358.4432,(-0.1_ -0.1_ 1.0)
368.0641,-0.321539,1.133992,0.18036,2.993595,354.9903,358.4236,(-0.1_ -0.1_ 1.0)
368.0641,-0.321419,1.133988,0.180366,2.951206,355.1331,358.4054,(-0.1_ -0.1_ 1.0)
368.0641,-0.321296,1.13403,0.180361,2.931642,355.2706,358.3986,(-0.1_ -0.1_ 1.0)
368.0641,-0.321201,1.134089,0.180344,2.922631,355.4037,358.3721,(-0.1_ -0.1_ 1.0)
368.0641,-0.321046,1.134103,0.180355,2.872131,355.5109,358.4041,(-0.1_ -0.1_ 1.0)
368.0641,-0.320937,1.134163,0.180373,2.822745,355.6202,358.3799,(-0.1_ 0.0_ 1.0)
368.0641,-0.320818,1.134159,0.180403,2.727455,355.7314,358.4102,(-0.1_ 0.0_ 1.0)
368.0641,-0.320719,1.13426,0.180381,2.723134,355.8241,358.4003,(-0.1_ 0.0_ 1.0)
368.0641,-0.320604,1.134319,0.180395,2.669898,355.9104,358.4082,(-0.1_ 0.0_ 1.0)
368.0641,-0.320505,1.13437,0.180418,2.624272,356.0086,358.4214,(-0.1_ 0.0_ 1.0)
368.0641,-0.320379,1.134431,0.180419,2.596758,356.0726,358.4158,(-0.1_ 0.0_ 1.0)
368.0641,-0.32029,1.134445,0.180421,2.553804,356.1583,358.4229,(-0.1_ 0.0_ 1.0)
368.0641,-0.320207,1.134465,0.180415,2.525404,356.2445,358.4398,(-0.1_ 0.0_ 1.0)
368.0641,-0.320118,1.134491,0.180375,2.518928,356.2995,358.4379,(-0.1_ 0.0_ 1.0)
368.0641,-0.320051,1.134465,0.180357,2.491475,356.3849,358.4677,(-0.1_ 0.0_ 1.0)
368.0641,-0.319963,1.134488,0.18031,2.517612,356.4056,358.467,(-0.1_ 0.0_ 1.0)
368.0641,-0.3199,1.134443,0.18031,2.486813,356.4517,358.4863,(-0.1_ 0.0_ 1.0)
368.0641,-0.319849,1.134426,0.180309,2.473147,356.5274,358.5133,(-0.1_ 0.0_ 1.0)
368.0641,-0.319785,1.134414,0.180291,2.47565,356.5432,358.5248,(-0.1_ 0.0_ 1.0)
368.0641,-0.319765,1.134393,0.180303,2.463262,356.6119,358.5141,(-0.1_ 0.0_ 1.0)
368.0641,-0.319731,1.134376,0.180292,2.457991,356.633,358.5063,(-0.1_ 0.0_ 1.0)
368.0641,-0.319667,1.134369,0.180265,2.471219,356.6301,358.5373,(-0.1_ 0.0_ 1.0)
368.0641,-0.319631,1.134345,0.180242,2.458097,356.6397,358.5381,(-0.1_ 0.0_ 1.0)
368.0641,-0.3196,1.134295,0.18024,2.446211,356.6832,358.5568,(-0.1_ 0.0_ 1.0)
