time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,forward_direction
633.9157,-0.316657,1.174138,0.182965,1.468257,13.4278,1.59863,(0.2_ 0.0_ 1.0)
633.9157,-0.315005,1.17413,0.179817,1.268487,14.43529,1.393518,(0.2_ 0.0_ 1.0)
633.9157,-0.314983,1.174351,0.178862,1.057614,14.60775,1.379782,(0.3_ 0.0_ 1.0)
633.9157,-0.314977,1.174396,0.178451,0.999301,14.61664,1.338655,(0.3_ 0.0_ 1.0)
633.9157,-0.314937,1.174498,0.178014,0.916478,14.61761,1.314578,(0.3_ 0.0_ 1.0)
633.9157,-0.314923,1.174659,0.177499,0.678872,14.66004,1.287292,(0.3_ 0.0_ 1.0)
633.9157,-0.314928,1.174912,0.176977,0.381188,14.74585,1.24307,(0.3_ 0.0_ 1.0)
633.9157,-0.314828,1.174977,0.17676,0.327265,14.75264,1.216168,(0.3_ 0.0_ 1.0)
633.9157,-0.314762,1.175101,0.176371,0.155786,14.76776,1.173908,(0.3_ 0.0_ 1.0)
633.9157,-0.314726,1.175249,0.176024,0.021236,14.78399,1.135873,(0.3_ 0.0_ 1.0)
633.9157,-0.314676,1.175349,0.175676,359.8621,14.83105,1.095456,(0.3_ 0.0_ 1.0)
633.9157,-0.314622,1.175516,0.175318,359.7442,14.84189,1.054687,(0.3_ 0.0_ 1.0)
633.9157,-0.314582,1.17566,0.175022,359.599,14.8763,1.047166,(0.3_ 0.0_ 1.0)
633.9157,-0.314542,1.175833,0.174772,359.4567,14.874,1.023498,(0.3_ 0.0_ 1.0)
633.9157,-0.314498,1.176005,0.174513,359.3114,14.87454,1.012739,(0.3_ 0.0_ 1.0)
633.9157,-0.314446,1.176224,0.174236,359.1969,14.85581,1.021258,(0.3_ 0.0_ 1.0)
633.9157,-0.314439,1.176436,0.174025,359.0547,14.86583,1.009951,(0.3_ 0.0_ 1.0)
633.9157,-0.31437,1.176448,0.173906,359.055,14.85117,1.019049,(0.3_ 0.0_ 1.0)
633.9157,-0.314371,1.176611,0.173728,358.8943,14.82611,1.029316,(0.3_ 0.0_ 1.0)
633.9157,-0.314392,1.176826,0.173533,358.7831,14.73944,0.992661,(0.3_ 0.0_ 1.0)
633.9157,-0.314461,1.176985,0.173353,358.6551,14.69327,0.965129,(0.3_ 0.0_ 1.0)
633.9157,-0.314528,1.177144,0.173201,358.5376,14.59598,0.953692,(0.3_ 0.0_ 1.0)
633.9157,-0.314652,1.177298,0.173073,358.4193,14.49505,0.916956,(0.3_ 0.0_ 1.0)
633.9157,-0.314771,1.177446,0.172923,358.3007,14.39995,0.935946,(0.2_ 0.0_ 1.0)
633.9157,-0.314925,1.177608,0.172796,358.1946,14.31425,0.937495,(0.2_ 0.0_ 1.0)
633.9157,-0.315019,1.177769,0.17261,358.0799,14.17049,0.933607,(0.2_ 0.0_ 1.0)
633.9157,-0.315206,1.17793,0.172505,357.9489,14.07612,0.908601,(0.2_ 0.0_ 1.0)
633.9157,-0.315397,1.178099,0.172379,357.8317,13.97171,0.916222,(0.2_ 0.0_ 1.0)
633.9157,-0.315607,1.178242,0.172269,357.7186,13.84499,0.909345,(0.2_ 0.0_ 1.0)
633.9157,-0.315853,1.178413,0.172116,357.628,13.73246,0.920357,(0.2_ 0.0_ 1.0)
633.9157,-0.316148,1.178551,0.172033,357.5076,13.59151,0.950227,(0.2_ 0.0_ 1.0)
633.9157,-0.316463,1.178718,0.171934,357.4113,13.46357,0.989315,(0.2_ 0.0_ 1.0)
633.9157,-0.316742,1.178866,0.171783,357.2887,13.25832,1.015946,(0.2_ 0.0_ 1.0)
633.9157,-0.317067,1.179044,0.171655,357.2059,13.08838,1.08744,(0.2_ 0.0_ 1.0)
633.9157,-0.31743,1.179181,0.171517,357.0843,12.94099,1.127203,(0.2_ 0.1_ 1.0)
633.9157,-0.317794,1.179303,0.171408,356.9747,12.76101,1.176261,(0.2_ 0.1_ 1.0)
633.9157,-0.318153,1.17942,0.171259,356.867,12.59085,1.23329,(0.2_ 0.1_ 1.0)
633.9157,-0.318545,1.179549,0.171145,356.773,12.42535,1.275733,(0.2_ 0.1_ 1.0)
633.9157,-0.318941,1.179645,0.171008,356.6678,12.2693,1.319927,(0.2_ 0.1_ 1.0)
633.9157,-0.319323,1.179722,0.170915,356.5737,12.04181,1.378886,(0.2_ 0.1_ 1.0)
633.9157,-0.319717,1.179824,0.170746,356.5285,11.85826,1.47013,(0.2_ 0.1_ 1.0)
633.9157,-0.320095,1.179888,0.170569,356.4587,11.64763,1.519857,(0.2_ 0.1_ 1.0)
633.9157,-0.320502,1.179983,0.170404,356.4299,11.46038,1.581411,(0.2_ 0.1_ 1.0)
633.9157,-0.32087,1.180057,0.17021,356.3617,11.26382,1.61513,(0.2_ 0.1_ 1.0)
633.9157,-0.321265,1.180158,0.17004,356.3279,11.08656,1.654122,(0.2_ 0.1_ 1.0)
633.9157,-0.321608,1.180251,0.169842,356.2762,10.92872,1.713816,(0.2_ 0.1_ 1.0)
633.9157,-0.321958,1.180339,0.169668,356.2089,10.77208,1.733554,(0.2_ 0.1_ 1.0)
633.9157,-0.322274,1.180457,0.169487,356.1649,10.61338,1.783192,(0.2_ 0.1_ 1.0)
633.9157,-0.322568,1.180539,0.169313,356.0762,10.49678,1.846026,(0.2_ 0.1_ 1.0)
633.9157,-0.322876,1.180673,0.169113,356.0106,10.35471,1.839158,(0.2_ 0.1_ 1.0)
633.9157,-0.323188,1.180797,0.16893,355.9607,10.2194,1.844829,(0.2_ 0.1_ 1.0)
633.9157,-0.323491,1.180857,0.168741,355.8848,10.07962,1.832123,(0.2_ 0.1_ 1.0)
633.9157,-0.323815,1.180973,0.168528,355.8946,9.899007,1.77019,(0.2_ 0.1_ 1.0)
633.9157,-0.324189,1.180998,0.168374,355.8665,9.772606,1.715007,(0.2_ 0.1_ 1.0)
633.9157,-0.324568,1.181042,0.168213,355.8459,9.637061,1.657747,(0.2_ 0.1_ 1.0)
633.9157,-0.324993,1.181068,0.168056,355.811,9.53467,1.582583,(0.2_ 0.1_ 1.0)
633.9157,-0.325383,1.181102,0.167903,355.7593,9.361612,1.509989,(0.2_ 0.1_ 1.0)
633.9157,-0.325819,1.181168,0.167762,355.7364,9.190885,1.422621,(0.2_ 0.1_ 1.0)
633.9157,-0.326305,1.181219,0.167662,355.6989,9.040392,1.320225,(0.2_ 0.1_ 1.0)
633.9157,-0.326825,1.181264,0.167603,355.6494,8.90521,1.209051,(0.2_ 0.1_ 1.0)
633.9157,-0.327342,1.181351,0.167508,355.6218,8.755833,1.113215,(0.2_ 0.1_ 1.0)
633.9157,-0.327905,1.18139,0.167511,355.5603,8.592253,1.018365,(0.1_ 0.1_ 1.0)
633.9157,-0.32848,1.181442,0.167466,355.5344,8.398625,0.950989,(0.1_ 0.1_ 1.0)
633.9157,-0.329097,1.181458,0.167492,355.4778,8.228957,0.885505,(0.1_ 0.1_ 1.0)
633.9157,-0.329731,1.181487,0.167525,355.4468,8.060787,0.846936,(0.1_ 0.1_ 1.0)
633.9157,-0.330384,1.181508,0.167573,355.4156,7.846379,0.762205,(0.1_ 0.1_ 1.0)
633.9157,-0.331107,1.181487,0.167663,355.3929,7.694529,0.722657,(0.1_ 0.1_ 1.0)
633.9157,-0.331822,1.181441,0.167743,355.3693,7.525018,0.682713,(0.1_ 0.1_ 1.0)
633.9157,-0.332605,1.181378,0.167846,355.364,7.388961,0.650603,(0.1_ 0.1_ 1.0)
633.9157,-0.333361,1.181312,0.167895,355.3981,7.197479,0.640706,(0.1_ 0.1_ 1.0)
633.9157,-0.334196,1.181206,0.16802,355.4194,7.04126,0.614807,(0.1_ 0.1_ 1.0)
633.9157,-0.335021,1.181092,0.168121,355.4276,6.894965,0.598768,(0.1_ 0.1_ 1.0)
633.9157,-0.335808,1.18106,0.168198,355.467,6.723814,0.595611,(0.1_ 0.1_ 1.0)
633.9157,-0.336631,1.180993,0.168337,355.4616,6.569765,0.581043,(0.1_ 0.1_ 1.0)
633.9157,-0.337495,1.180961,0.168464,355.4576,6.448927,0.531333,(0.1_ 0.1_ 1.0)
633.9157,-0.338312,1.180897,0.168593,355.4589,6.301523,0.536219,(0.1_ 0.1_ 1.0)
633.9157,-0.339177,1.180807,0.168742,355.4414,6.198841,0.524113,(0.1_ 0.1_ 1.0)
633.9157,-0.34007,1.180753,0.168886,355.4615,6.101023,0.516143,(0.1_ 0.1_ 1.0)
633.9157,-0.340933,1.180677,0.16903,355.4863,5.973504,0.520691,(0.1_ 0.1_ 1.0)
633.9157,-0.341755,1.180611,0.169117,355.5394,5.840112,0.533775,(0.1_ 0.1_ 1.0)
633.9157,-0.342569,1.180487,0.169229,355.5631,5.711676,0.561631,(0.1_ 0.1_ 1.0)
633.9157,-0.343405,1.180347,0.169303,355.614,5.623555,0.585208,(0.1_ 0.1_ 1.0)
633.9157,-0.344215,1.180177,0.169398,355.6602,5.501879,0.627537,(0.1_ 0.1_ 1.0)
633.9157,-0.344971,1.179995,0.16943,355.7305,5.36322,0.663912,(0.1_ 0.1_ 1.0)
633.9157,-0.345753,1.17977,0.169505,355.7728,5.277787,0.713191,(0.1_ 0.1_ 1.0)
633.9157,-0.346429,1.179518,0.16953,355.8116,5.128535,0.763341,(0.1_ 0.1_ 1.0)
633.9157,-0.347111,1.179273,0.169564,355.8441,4.993006,0.776776,(0.1_ 0.1_ 1.0)
633.9157,-0.34776,1.178971,0.169621,355.84,4.870954,0.797561,(0.1_ 0.1_ 1.0)
633.9266,-0.348335,1.181339,0.246328,355.8868,4.72042,0.808612,(0.1_ 0.1_ 1.0)
633.9382,-0.348878,1.180966,0.326841,355.908,4.569243,0.822375,(0.1_ 0.1_ 1.0)
633.9487,-0.349372,1.182854,0.400274,355.9296,4.424963,0.817811,(0.1_ 0.1_ 1.0)
633.9605,-0.349836,1.18248,0.483367,355.9562,4.280454,0.85343,(0.1_ 0.1_ 1.0)
633.9716,-0.350273,1.181967,0.560759,355.975,4.177122,0.831263,(0.1_ 0.1_ 1.0)
633.9822,-0.350618,1.181728,0.635468,355.9715,4.033442,0.818792,(0.1_ 0.1_ 1.0)
633.9937,-0.35095,1.181154,0.71583,356.0191,3.946018,0.767309,(0.1_ 0.1_ 1.0)
634.0082,-0.351234,1.18164,0.817177,356.0724,3.857661,0.724098,(0.1_ 0.1_ 1.0)
634.0161,-0.351455,1.18105,0.872496,356.1058,3.788335,0.667251,(0.1_ 0.1_ 1.0)
634.0267,-0.351648,1.181043,0.946584,356.182,3.764026,0.628886,(0.1_ 0.1_ 1.0)
634.038,-0.351799,1.180547,1.026164,356.2628,3.724952,0.58471,(0.1_ 0.1_ 1.0)
634.0491,-0.351899,1.180558,1.104034,356.402,3.696353,0.573282,(0.1_ 0.1_ 1.0)
634.0626,-0.352012,1.180184,1.197796,356.58,3.672286,0.52607,(0.1_ 0.1_ 1.0)
634.0731,-0.352082,1.179726,1.271892,356.8047,3.673251,0.503942,(0.1_ 0.1_ 1.0)
634.0817,-0.352106,1.179324,1.33166,357.0787,3.628697,0.464074,(0.1_ 0.1_ 1.0)
634.0932,-0.35213,1.178892,1.41202,357.3917,3.630739,0.412278,(0.1_ 0.0_ 1.0)
634.1038,-0.352177,1.17861,1.485433,357.7502,3.648095,0.349464,(0.1_ 0.0_ 1.0)
634.1155,-0.352213,1.178266,1.567384,358.0587,3.70052,0.292235,(0.1_ 0.0_ 1.0)
634.1259,-0.352242,1.178122,1.639777,358.3757,3.711685,0.192661,(0.1_ 0.0_ 1.0)
634.1374,-0.352258,1.177953,1.719187,358.6277,3.742255,0.142264,(0.1_ 0.0_ 1.0)
634.1489,-0.352272,1.178027,1.79938,358.8111,3.773266,0.127407,(0.1_ 0.0_ 1.0)
634.1602,-0.352312,1.178112,1.877449,358.9467,3.78095,0.072352,(0.1_ 0.0_ 1.0)
634.1708,-0.352308,1.178275,1.951717,358.9604,3.78622,0.093873,(0.1_ 0.0_ 1.0)
634.1821,-0.352346,1.178479,2.029984,358.9399,3.813885,0.088678,(0.1_ 0.0_ 1.0)
634.1934,-0.352307,1.178588,2.108384,358.8611,3.785858,0.104102,(0.1_ 0.0_ 1.0)
634.2043,-0.352297,1.178767,2.183915,358.7562,3.785804,0.123056,(0.1_ 0.0_ 1.0)
634.2191,-0.352307,1.178811,2.286457,358.6271,3.81519,0.114811,(0.1_ 0.0_ 1.0)
634.2264,-0.352277,1.178856,2.336748,358.4943,3.817539,0.079065,(0.1_ 0.0_ 1.0)
634.2376,-0.352276,1.178881,2.414791,358.3418,3.856659,0.047158,(0.1_ 0.0_ 1.0)
634.249,-0.35228,1.178959,2.49431,358.1143,3.935183,0.027884,(0.1_ 0.0_ 1.0)
634.2597,-0.352216,1.179081,2.568436,357.8775,3.967277,0.03067,(0.1_ 0.0_ 1.0)
634.2708,-0.352161,1.179272,2.645367,357.6523,4.030372,0.070009,(0.1_ 0.0_ 1.0)
634.2827,-0.352094,1.179499,2.728691,357.4002,4.085353,0.104461,(0.1_ 0.0_ 1.0)
634.2937,-0.351994,1.179747,2.805614,357.1624,4.126343,0.187697,(0.1_ 0.0_ 1.0)
634.3046,-0.351871,1.180022,2.881962,356.9503,4.147825,0.276848,(0.1_ 0.1_ 1.0)
634.3156,-0.351734,1.180303,2.958831,356.7761,4.154028,0.35439,(0.1_ 0.1_ 1.0)
634.3261,-0.351568,1.180538,3.032404,356.5887,4.160439,0.459694,(0.1_ 0.1_ 1.0)
634.3378,-0.351434,1.180751,3.114365,356.4194,4.192964,0.522715,(0.1_ 0.1_ 1.0)
634.3491,-0.351224,1.180968,3.193256,356.3033,4.171187,0.596334,(0.1_ 0.1_ 1.0)
634.3605,-0.351001,1.181134,3.273588,356.1786,4.150409,0.644347,(0.1_ 0.1_ 1.0)
634.3713,-0.35075,1.181375,3.349493,356.0999,4.095683,0.67361,(0.1_ 0.1_ 1.0)
634.3821,-0.350459,1.18156,3.425088,355.9859,4.052079,0.748187,(0.1_ 0.1_ 1.0)
634.3935,-0.350164,1.181776,3.505481,355.9077,4.009897,0.792214,(0.1_ 0.1_ 1.0)
634.4104,-0.34984,1.181955,3.623881,355.8213,3.947662,0.821184,(0.1_ 0.1_ 1.0)
634.4204,-0.349461,1.18212,3.694554,355.7645,3.866708,0.827669,(0.1_ 0.1_ 1.0)
634.4276,-0.349077,1.18226,3.745343,355.7275,3.794112,0.806704,(0.1_ 0.1_ 1.0)
634.4392,-0.348733,1.182363,3.827416,355.6959,3.7727,0.781834,(0.1_ 0.1_ 1.0)
634.4498,-0.348265,1.182442,3.901509,355.6775,3.676656,0.767659,(0.1_ 0.1_ 1.0)
634.4609,-0.347878,1.182564,3.980211,355.6778,3.645578,0.728263,(0.1_ 0.1_ 1.0)
634.472,-0.34736,1.182619,4.05847,355.6169,3.573682,0.769965,(0.1_ 0.1_ 1.0)
634.483,-0.346851,1.18273,4.13635,355.5907,3.509763,0.794751,(0.1_ 0.1_ 1.0)
634.494,-0.346333,1.182831,4.213763,355.54,3.465687,0.816197,(0.1_ 0.1_ 1.0)
634.5049,-0.345758,1.182901,4.291556,355.4799,3.412697,0.889964,(0.1_ 0.1_ 1.0)
634.5165,-0.345186,1.183019,4.373457,355.4707,3.382005,0.941933,(0.1_ 0.1_ 1.0)
634.527,-0.344556,1.183081,4.447597,355.4666,3.328919,1.029454,(0.1_ 0.1_ 1.0)
634.5381,-0.343952,1.183121,4.526712,355.5034,3.313869,1.066545,(0.1_ 0.1_ 1.0)
634.5491,-0.343283,1.183117,4.604327,355.572,3.270294,1.136156,(0.1_ 0.1_ 1.0)
634.5607,-0.342619,1.183046,4.686074,355.6524,3.248659,1.183875,(0.1_ 0.1_ 1.0)
634.5717,-0.341923,1.182985,4.763702,355.7807,3.21026,1.240502,(0.1_ 0.1_ 1.0)
634.5823,-0.341246,1.182812,4.838791,355.869,3.219097,1.287297,(0.1_ 0.1_ 1.0)
634.5938,-0.3406,1.182603,4.920383,355.9701,3.267485,1.322257,(0.1_ 0.1_ 1.0)
634.6045,-0.33992,1.182381,4.996203,356.0725,3.26019,1.315669,(0.1_ 0.1_ 1.0)
634.6163,-0.339286,1.182128,5.079739,356.1674,3.314195,1.296127,(0.1_ 0.1_ 1.0)
634.6311,-0.33865,1.181862,5.184576,356.2629,3.342183,1.26423,(0.1_ 0.1_ 1.0)
634.6382,-0.338083,1.181624,5.235088,356.4002,3.407594,1.219141,(0.1_ 0.1_ 1.0)
634.6497,-0.337466,1.181341,5.316903,356.5359,3.435676,1.243881,(0.1_ 0.1_ 1.0)
634.6607,-0.336915,1.181075,5.395135,356.7074,3.476963,1.255754,(0.1_ 0.1_ 1.0)
634.6718,-0.33639,1.180817,5.473163,356.9051,3.51128,1.256181,(0.1_ 0.1_ 1.0)
634.6824,-0.335894,1.180533,5.548994,357.0951,3.507927,1.303354,(0.1_ 0.1_ 1.0)
634.6937,-0.335422,1.180263,5.628987,357.2568,3.555151,1.352887,(0.1_ 0.0_ 1.0)
634.7047,-0.334889,1.180075,5.706723,357.4427,3.56161,1.368401,(0.1_ 0.0_ 1.0)
634.7163,-0.334429,1.179903,5.789401,357.6133,3.595299,1.46689,(0.1_ 0.0_ 1.0)
634.7272,-0.333999,1.179734,5.866524,357.7641,3.601964,1.510366,(0.1_ 0.0_ 1.0)
634.7384,-0.333552,1.179617,5.946218,357.9091,3.60341,1.597574,(0.1_ 0.0_ 1.0)
634.749,-0.33304,1.179502,6.021084,358.0527,3.560961,1.697878,(0.1_ 0.0_ 1.0)
634.7604,-0.332655,1.179367,6.10225,358.1768,3.587361,1.811814,(0.1_ 0.0_ 1.0)
634.7718,-0.332189,1.179238,6.18278,358.2963,3.567122,1.92049,(0.1_ 0.0_ 1.0)
634.7827,-0.331644,1.179137,6.259859,358.419,3.544224,2.035743,(0.1_ 0.0_ 1.0)
634.7941,-0.331148,1.178992,6.340865,358.4916,3.513247,2.122023,(0.1_ 0.0_ 1.0)
634.8044,-0.330705,1.178906,6.414254,358.6186,3.483642,2.198133,(0.1_ 0.0_ 1.0)
634.8163,-0.330217,1.178779,6.498471,358.6866,3.470607,2.253066,(0.1_ 0.0_ 1.0)
634.8312,-0.329703,1.178695,6.60324,358.7956,3.438576,2.285278,(0.1_ 0.0_ 1.0)
634.8383,-0.329215,1.178581,6.653574,358.8853,3.413121,2.318567,(0.1_ 0.0_ 1.0)
634.8492,-0.328762,1.178475,6.730879,358.9897,3.397453,2.310159,(0.1_ 0.0_ 1.0)
634.861,-0.328233,1.178373,6.814349,359.1004,3.332273,2.294854,(0.1_ 0.0_ 1.0)
634.8716,-0.327768,1.178286,6.889695,359.2556,3.276794,2.283631,(0.1_ 0.0_ 1.0)
634.883,-0.327414,1.178097,6.969806,359.3579,3.229558,2.261366,(0.1_ 0.0_ 1.0)
634.8942,-0.326983,1.177968,7.048902,359.5165,3.167556,2.255437,(0.1_ 0.0_ 1.0)
634.905,-0.326531,1.177851,7.125578,359.6641,3.098359,2.219843,(0.1_ 0.0_ 1.0)
634.9164,-0.326149,1.177697,7.205894,359.8041,3.018037,2.184993,(0.1_ 0.0_ 1.0)
634.9271,-0.325851,1.177536,7.281481,359.9308,2.953527,2.123753,(0.1_ 0.0_ 1.0)
634.939,-0.325545,1.1774,7.365427,0.053593,2.897417,2.10071,(0.1_ 0.0_ 1.0)
634.9495,-0.325184,1.177304,7.439275,0.197317,2.763401,2.04374,(0.0_ 0.0_ 1.0)
634.9604,-0.324914,1.177155,7.516976,0.296625,2.651294,2.028139,(0.0_ 0.0_ 1.0)
634.9718,-0.324687,1.177012,7.596848,0.396323,2.581563,1.971796,(0.0_ 0.0_ 1.0)
634.9829,-0.324317,1.176885,7.675004,0.503947,2.436529,1.954351,(0.0_ 0.0_ 1.0)
634.9944,-0.324066,1.176749,7.756429,0.619349,2.334526,1.938919,(0.0_ 0.0_ 1.0)
635.0051,-0.323883,1.176597,7.831182,0.723745,2.224463,1.923459,(0.0_ 0.0_ 1.0)
635.0168,-0.323666,1.176436,7.913682,0.797433,2.135063,1.904619,(0.0_ 0.0_ 1.0)
635.0311,-0.323429,1.176342,8.014368,0.89226,2.042677,1.877361,(0.0_ 0.0_ 1.0)
635.0384,-0.323219,1.176226,8.065506,0.961411,1.962098,1.859672,(0.0_ 0.0_ 1.0)
635.0499,-0.323013,1.176159,8.146224,1.036072,1.856255,1.796772,(0.0_ 0.0_ 1.0)
635.0615,-0.322797,1.176085,8.228089,1.102875,1.787275,1.764194,(0.0_ 0.0_ 1.0)
635.0723,-0.322592,1.176004,8.303974,1.161213,1.708757,1.782396,(0.0_ 0.0_ 1.0)
635.0828,-0.322456,1.175974,8.377789,1.246532,1.60984,1.762471,(0.0_ 0.0_ 1.0)
635.094,-0.322324,1.175944,8.455872,1.324122,1.582754,1.744157,(0.0_ 0.0_ 1.0)
635.1046,-0.322069,1.175893,8.53069,1.363209,1.516559,1.730149,(0.0_ 0.0_ 1.0)
635.1161,-0.321881,1.175856,8.611679,1.42942,1.462641,1.714071,(0.0_ 0.0_ 1.0)
635.1273,-0.321758,1.175798,8.689302,1.475046,1.445945,1.670245,(0.0_ 0.0_ 1.0)
635.1387,-0.321544,1.175778,8.769559,1.547364,1.397943,1.648832,(0.0_ 0.0_ 1.0)
635.1498,-0.321387,1.175759,8.847378,1.587066,1.411534,1.605487,(0.0_ 0.0_ 1.0)
635.1611,-0.321316,1.175761,8.927124,1.602528,1.409539,1.533033,(0.0_ 0.0_ 1.0)
635.1718,-0.32123,1.175833,9.001419,1.642295,1.402642,1.462079,(0.0_ 0.0_ 1.0)
635.1826,-0.321061,1.175879,9.077774,1.612498,1.341688,1.403513,(0.0_ 0.0_ 1.0)
635.1943,-0.32102,1.175895,9.159575,1.602776,1.316455,1.366269,(0.0_ 0.0_ 1.0)
635.2049,-0.321054,1.175909,9.233592,1.624174,1.29074,1.338561,(0.0_ 0.0_ 1.0)
635.2166,-0.321029,1.175909,9.315955,1.627173,1.264061,1.332944,(0.0_ 0.0_ 1.0)
635.2271,-0.320979,1.175915,9.389193,1.634095,1.254547,1.332267,(0.0_ 0.0_ 1.0)
635.2427,-0.321003,1.175919,9.498238,1.636403,1.210694,1.307333,(0.0_ 0.0_ 1.0)
635.2497,-0.321021,1.175965,9.547729,1.661985,1.198725,1.287184,(0.0_ 0.0_ 1.0)
635.2604,-0.320959,1.175972,9.622414,1.651006,1.200623,1.287017,(0.0_ 0.0_ 1.0)
635.272,-0.321003,1.175993,9.703495,1.671116,1.193425,1.26596,(0.0_ 0.0_ 1.0)
635.2831,-0.321114,1.175962,9.781812,1.681098,1.193,1.256217,(0.0_ 0.0_ 1.0)
635.2943,-0.321166,1.175966,9.859794,1.701972,1.176529,1.235312,(0.0_ 0.0_ 1.0)
635.3052,-0.321177,1.175975,9.93652,1.705353,1.194651,1.239035,(0.0_ 0.0_ 1.0)
635.317,-0.321245,1.175978,10.01829,1.706092,1.20138,1.243683,(0.0_ 0.0_ 1.0)
635.3273,-0.321392,1.175986,10.09063,1.701184,1.206854,1.25053,(0.0_ 0.0_ 1.0)
635.3389,-0.321514,1.175997,10.17177,1.688543,1.205725,1.27141,(0.0_ 0.0_ 1.0)
635.3499,-0.321563,1.176032,10.24901,1.690475,1.198499,1.278579,(0.0_ 0.0_ 1.0)
635.3612,-0.321716,1.176045,10.32774,1.68103,1.19668,1.30097,(0.0_ 0.0_ 1.0)
635.3721,-0.321834,1.176026,10.40399,1.670497,1.186431,1.317126,(0.0_ 0.0_ 1.0)
635.3829,-0.321916,1.176022,10.47955,1.685421,1.177095,1.307968,(0.0_ 0.0_ 1.0)
635.3941,-0.32204,1.176021,10.55787,1.705724,1.164932,1.298649,(0.0_ 0.0_ 1.0)
635.4053,-0.322172,1.17601,10.63618,1.713154,1.145995,1.274853,(0.0_ 0.0_ 1.0)
635.4172,-0.322248,1.176014,10.71854,1.717528,1.119689,1.249563,(0.0_ 0.0_ 1.0)
635.4274,-0.322271,1.176011,10.79,1.712313,1.114465,1.195509,(0.0_ 0.0_ 1.0)
635.4425,-0.322109,1.17597,10.89466,1.692685,1.122482,1.124037,(0.0_ 0.0_ 1.0)
635.4502,-0.321941,1.175979,10.94793,1.661742,1.193346,0.9483,(0.0_ 0.0_ 1.0)
635.4608,-0.321664,1.176077,11.022,1.581525,1.327031,0.680699,(0.0_ 0.0_ 1.0)
635.4725,-0.321293,1.176239,11.10298,1.4275,1.449301,0.350429,(0.0_ 0.0_ 1.0)
635.4829,-0.320968,1.176502,11.17521,1.173047,1.722927,359.9679,(0.0_ 0.0_ 1.0)
635.4946,-0.320594,1.17681,11.25654,0.875313,1.963487,359.6044,(0.0_ 0.0_ 1.0)
635.5052,-0.320275,1.177195,11.33039,0.51672,2.245798,359.2449,(0.0_ 0.0_ 1.0)
635.5168,-0.319997,1.177548,11.41075,0.13091,2.510201,358.938,(0.0_ 0.0_ 1.0)
635.5273,-0.319794,1.177966,11.4838,359.7509,2.762722,358.6786,(0.0_ 0.0_ 1.0)
635.5389,-0.319643,1.178389,11.56411,359.3846,2.992114,358.4779,(0.1_ 0.0_ 1.0)
635.5499,-0.319532,1.178776,11.64025,359.0117,3.206458,358.3115,(0.1_ 0.0_ 1.0)
635.561,-0.31958,1.179191,11.71772,358.7048,3.459478,358.1542,(0.1_ 0.0_ 1.0)
635.5723,-0.319674,1.179513,11.79656,358.3411,3.699482,358.023,(0.1_ 0.0_ 1.0)
635.5834,-0.319858,1.179863,11.8734,358.0691,3.908047,357.9438,(0.1_ 0.0_ 1.0)
635.5944,-0.320046,1.18023,11.95012,357.8278,4.070232,357.895,(0.1_ 0.0_ 1.0)
635.6054,-0.320349,1.180551,12.0266,357.5732,4.236472,357.8814,(0.1_ 0.0_ 1.0)
635.617,-0.320714,1.180862,12.10721,357.3593,4.366004,357.8865,(0.1_ 0.0_ 1.0)
635.6276,-0.321042,1.181148,12.18117,357.1257,4.409069,357.9155,(0.1_ 0.1_ 1.0)
635.643,-0.321517,1.181424,12.28841,356.8969,4.45021,357.9151,(0.1_ 0.1_ 1.0)
635.6501,-0.321976,1.181647,12.33738,356.6698,4.473553,357.9702,(0.1_ 0.1_ 1.0)
635.661,-0.322455,1.18187,12.41337,356.4841,4.439452,358.0218,(0.1_ 0.1_ 1.0)
635.6726,-0.322979,1.182081,12.49425,356.3099,4.408795,358.0768,(0.1_ 0.1_ 1.0)
635.6835,-0.323486,1.182235,12.57022,356.1476,4.318306,358.15,(0.1_ 0.1_ 1.0)
635.6946,-0.324021,1.18237,12.6479,356.0612,4.220048,358.2105,(0.1_ 0.1_ 1.0)
635.7056,-0.324545,1.182432,12.72447,355.9694,4.085855,358.2682,(0.1_ 0.1_ 1.0)
635.7176,-0.325035,1.182511,12.80808,355.9597,3.912878,358.3427,(0.1_ 0.1_ 1.0)
635.7276,-0.325591,1.182551,12.87756,355.9361,3.789908,358.4078,(0.1_ 0.1_ 1.0)
635.7391,-0.32614,1.182587,12.95825,355.9464,3.648813,358.4709,(0.1_ 0.1_ 1.0)
