experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,condition,targetspeed,map_rotation,hit,targetpole_movement_location_0,rmcardemo_usa_movement_location_0,main_camera_movement_location_0
vr driving simulator,COFR25,2,1,1,1,8.577151,19.07762,2,6,105.9602,True,vr driving simulator/COFR25/S002/trackers/targetpole_movement_T001.csv,vr driving simulator/COFR25/S002/trackers/rmcardemo_usa_movement_T001.csv,vr driving simulator/COFR25/S002/trackers/main_camera_movement_T001.csv
vr driving simulator,COFR25,2,2,1,2,19.07762,31.35895,2,6,190.5998,True,vr driving simulator/COFR25/S002/trackers/targetpole_movement_T002.csv,vr driving simulator/COFR25/S002/trackers/rmcardemo_usa_movement_T002.csv,vr driving simulator/COFR25/S002/trackers/main_camera_movement_T002.csv
vr driving simulator,COFR25,2,3,1,3,31.35895,41.60572,2,4,269.5437,True,vr driving simulator/COFR25/S002/trackers/targetpole_movement_T003.csv,vr driving simulator/COFR25/S002/trackers/rmcardemo_usa_movement_T003.csv,vr driving simulator/COFR25/S002/trackers/main_camera_movement_T003.csv
vr driving simulator,COFR25,2,4,1,4,41.60572,51.33089,2,4,256.2201,True,vr driving simulator/COFR25/S002/trackers/targetpole_movement_T004.csv,vr driving simulator/COFR25/S002/trackers/rmcardemo_usa_movement_T004.csv,vr driving simulator/COFR25/S002/trackers/main_camera_movement_T004.csv
vr driving simulator,COFR25,2,5,1,5,51.33089,63.59861,2,5,214.6335,True,vr driving simulator/COFR25/S002/trackers/targetpole_movement_T005.csv,vr driving simulator/COFR25/S002/trackers/rmcardemo_usa_movement_T005.csv,vr driving simulator/COFR25/S002/trackers/main_camera_movement_T005.csv
vr driving simulator,COFR25,2,6,1,6,63.59861,73.88995,2,4,258.4441,True,vr driving simulator/COFR25/S002/trackers/targetpole_movement_T006.csv,vr driving simulator/COFR25/S002/trackers/rmcardemo_usa_movement_T006.csv,vr driving simulator/COFR25/S002/trackers/main_camera_movement_T006.csv
vr driving simulator,COFR25,2,7,1,7,73.88995,85.77107,2,5,94.57209,True,vr driving simulator/COFR25/S002/trackers/targetpole_movement_T007.csv,vr driving simulator/COFR25/S002/trackers/rmcardemo_usa_movement_T007.csv,vr driving simulator/COFR25/S002/trackers/main_camera_movement_T007.csv
vr driving simulator,COFR25,2,8,1,8,85.77107,95.61908,2,4,224.9406,True,vr driving simulator/COFR25/S002/trackers/targetpole_movement_T008.csv,vr driving simulator/COFR25/S002/trackers/rmcardemo_usa_movement_T008.csv,vr driving simulator/COFR25/S002/trackers/main_camera_movement_T008.csv
vr driving simulator,COFR25,2,9,1,9,95.61908,111.0888,2,6,199.0509,True,vr driving simulator/COFR25/S002/trackers/targetpole_movement_T009.csv,vr driving simulator/COFR25/S002/trackers/rmcardemo_usa_movement_T009.csv,vr driving simulator/COFR25/S002/trackers/main_camera_movement_T009.csv
vr driving simulator,COFR25,2,10,1,10,111.0888,123.7947,2,6,267.4133,True,vr driving simulator/COFR25/S002/trackers/targetpole_movement_T010.csv,vr driving simulator/COFR25/S002/trackers/rmcardemo_usa_movement_T010.csv,vr driving simulator/COFR25/S002/trackers/main_camera_movement_T010.csv
vr driving simulator,COFR25,2,11,1,11,123.7947,133.7974,2,4,165.7628,True,vr driving simulator/COFR25/S002/trackers/targetpole_movement_T011.csv,vr driving simulator/COFR25/S002/trackers/rmcardemo_usa_movement_T011.csv,vr driving simulator/COFR25/S002/trackers/main_camera_movement_T011.csv
vr driving simulator,COFR25,2,12,1,12,133.7974,152.1344,2,6,227.0394,True,vr driving simulator/COFR25/S002/trackers/targetpole_movement_T012.csv,vr driving simulator/COFR25/S002/trackers/rmcardemo_usa_movement_T012.csv,vr driving simulator/COFR25/S002/trackers/main_camera_movement_T012.csv
vr driving simulator,COFR25,2,13,1,13,152.1344,162.5377,2,4,266.7318,True,vr driving simulator/COFR25/S002/trackers/targetpole_movement_T013.csv,vr driving simulator/COFR25/S002/trackers/rmcardemo_usa_movement_T013.csv,vr driving simulator/COFR25/S002/trackers/main_camera_movement_T013.csv
vr driving simulator,COFR25,2,14,1,14,162.5377,173.1066,2,5,122.2961,True,vr driving simulator/COFR25/S002/trackers/targetpole_movement_T014.csv,vr driving simulator/COFR25/S002/trackers/rmcardemo_usa_movement_T014.csv,vr driving simulator/COFR25/S002/trackers/main_camera_movement_T014.csv
vr driving simulator,COFR25,2,15,1,15,173.1066,183.1541,2,4,172.963,True,vr driving simulator/COFR25/S002/trackers/targetpole_movement_T015.csv,vr driving simulator/COFR25/S002/trackers/rmcardemo_usa_movement_T015.csv,vr driving simulator/COFR25/S002/trackers/main_camera_movement_T015.csv
vr driving simulator,COFR25,2,16,1,16,183.1541,211.0461,2,6,224.8186,False,vr driving simulator/COFR25/S002/trackers/targetpole_movement_T016.csv,vr driving simulator/COFR25/S002/trackers/rmcardemo_usa_movement_T016.csv,vr driving simulator/COFR25/S002/trackers/main_camera_movement_T016.csv
vr driving simulator,COFR25,2,17,1,17,211.0461,221.5374,2,4,210.9528,True,vr driving simulator/COFR25/S002/trackers/targetpole_movement_T017.csv,vr driving simulator/COFR25/S002/trackers/rmcardemo_usa_movement_T017.csv,vr driving simulator/COFR25/S002/trackers/main_camera_movement_T017.csv
vr driving simulator,COFR25,2,18,1,18,221.5374,232.7406,2,5,181.9322,True,vr driving simulator/COFR25/S002/trackers/targetpole_movement_T018.csv,vr driving simulator/COFR25/S002/trackers/rmcardemo_usa_movement_T018.csv,vr driving simulator/COFR25/S002/trackers/main_camera_movement_T018.csv
vr driving simulator,COFR25,2,19,1,19,232.7406,243.7886,2,5,190.5955,True,vr driving simulator/COFR25/S002/trackers/targetpole_movement_T019.csv,vr driving simulator/COFR25/S002/trackers/rmcardemo_usa_movement_T019.csv,vr driving simulator/COFR25/S002/trackers/main_camera_movement_T019.csv
vr driving simulator,COFR25,2,20,1,20,243.7886,257.8685,2,5,110.1503,True,vr driving simulator/COFR25/S002/trackers/targetpole_movement_T020.csv,vr driving simulator/COFR25/S002/trackers/rmcardemo_usa_movement_T020.csv,vr driving simulator/COFR25/S002/trackers/main_camera_movement_T020.csv
vr driving simulator,COFR25,2,21,1,21,257.8685,273.4607,2,6,123.9291,True,vr driving simulator/COFR25/S002/trackers/targetpole_movement_T021.csv,vr driving simulator/COFR25/S002/trackers/rmcardemo_usa_movement_T021.csv,vr driving simulator/COFR25/S002/trackers/main_camera_movement_T021.csv
vr driving simulator,COFR25,2,22,1,22,273.4607,286.4742,2,5,162.8398,True,vr driving simulator/COFR25/S002/trackers/targetpole_movement_T022.csv,vr driving simulator/COFR25/S002/trackers/rmcardemo_usa_movement_T022.csv,vr driving simulator/COFR25/S002/trackers/main_camera_movement_T022.csv
vr driving simulator,COFR25,2,23,1,23,286.4742,297.3998,2,5,254.3497,True,vr driving simulator/COFR25/S002/trackers/targetpole_movement_T023.csv,vr driving simulator/COFR25/S002/trackers/rmcardemo_usa_movement_T023.csv,vr driving simulator/COFR25/S002/trackers/main_camera_movement_T023.csv
vr driving simulator,COFR25,2,24,1,24,297.3998,308.281,2,4,244.1711,True,vr driving simulator/COFR25/S002/trackers/targetpole_movement_T024.csv,vr driving simulator/COFR25/S002/trackers/rmcardemo_usa_movement_T024.csv,vr driving simulator/COFR25/S002/trackers/main_camera_movement_T024.csv
vr driving simulator,COFR25,2,25,1,25,308.281,338.2842,2,6,114.838,False,vr driving simulator/COFR25/S002/trackers/targetpole_movement_T025.csv,vr driving simulator/COFR25/S002/trackers/rmcardemo_usa_movement_T025.csv,vr driving simulator/COFR25/S002/trackers/main_camera_movement_T025.csv
vr driving simulator,COFR25,2,26,1,26,338.2842,348.1985,2,4,173.8034,True,vr driving simulator/COFR25/S002/trackers/targetpole_movement_T026.csv,vr driving simulator/COFR25/S002/trackers/rmcardemo_usa_movement_T026.csv,vr driving simulator/COFR25/S002/trackers/main_camera_movement_T026.csv
