time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,forward_direction
139.8245,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
139.8245,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
139.8245,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
139.8245,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
139.8245,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
139.8245,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
139.8245,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
139.8245,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
139.8245,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
139.8245,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
139.8245,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
139.8245,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
139.8245,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
139.8245,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
139.8245,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
139.8245,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
139.8245,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
139.8245,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
139.8245,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
139.8245,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
139.8245,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
139.8245,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
139.8245,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
139.8245,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
139.8245,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
139.8245,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
139.8245,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
139.8245,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
139.8245,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
139.8245,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
139.8245,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
139.8245,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
139.8245,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
139.8245,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
139.8245,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
139.8245,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
139.8245,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
139.8245,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
139.8245,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
139.8245,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
139.8245,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
139.8363,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
139.8467,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
139.8585,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
139.872,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
139.8825,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
139.8913,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
139.9018,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
139.9132,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
139.9241,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
139.9356,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
139.9464,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
139.9579,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
139.969,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
139.9801,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
139.9954,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
140.0049,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
140.0135,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
140.0244,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
140.0356,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
140.0462,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
140.0574,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
140.0686,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
140.08,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
140.0908,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
140.1023,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
140.1133,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
140.1243,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
140.1357,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
140.1464,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
140.1584,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
140.1692,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
140.1803,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
140.1914,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
140.2028,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
140.2163,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
140.2246,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
140.2363,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
140.2467,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
140.2581,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
140.2695,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
140.2804,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
140.2917,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
140.3025,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
140.3135,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
140.3248,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
140.3363,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
140.3468,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
140.3584,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
140.3697,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
140.3806,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
140.3919,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
140.4029,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
140.4168,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
140.4249,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
140.4362,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
140.4471,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
140.4588,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
140.4695,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
140.4813,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
