time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,forward_direction
379.3466,-0.328022,1.122013,0.193396,14.49125,352.1314,353.2408,(-0.1_ -0.3_ 1.0)
379.3466,-0.327164,1.122098,0.193881,14.49662,352.5701,353.1934,(-0.1_ -0.3_ 1.0)
379.3594,-0.326641,1.122039,0.283321,14.58678,352.8965,353.2127,(-0.1_ -0.3_ 1.0)
379.367,-0.326543,1.124789,0.336652,14.59823,352.9827,353.1992,(-0.1_ -0.3_ 1.0)
379.3789,-0.326406,1.12475,0.420048,14.63545,353.043,353.2236,(-0.1_ -0.3_ 1.0)
379.3925,-0.326301,1.127964,0.515635,14.65621,353.1354,353.1953,(-0.1_ -0.3_ 1.0)
379.4044,-0.3262,1.128375,0.598724,14.67457,353.1554,353.1952,(-0.1_ -0.3_ 1.0)
379.4136,-0.326145,1.12833,0.663839,14.66856,353.2064,353.1967,(-0.1_ -0.3_ 1.0)
379.4251,-0.326084,1.128681,0.74394,14.6718,353.2411,353.1868,(-0.1_ -0.3_ 1.0)
379.437,-0.326029,1.12862,0.82763,14.7,353.342,353.1721,(-0.1_ -0.3_ 1.0)
379.4476,-0.325977,1.128986,0.901722,14.71916,353.3545,353.1961,(-0.1_ -0.3_ 1.0)
379.4598,-0.325935,1.128904,0.987416,14.82417,353.4469,353.1855,(-0.1_ -0.3_ 1.0)
379.4705,-0.3259,1.129172,1.062086,14.87257,353.4576,353.2033,(-0.1_ -0.3_ 1.0)
379.4823,-0.325901,1.12908,1.144839,14.94823,353.5464,353.2216,(-0.1_ -0.3_ 1.0)
379.4939,-0.325841,1.129005,1.226512,14.98557,353.5282,353.2309,(-0.1_ -0.3_ 1.0)
379.5044,-0.325891,1.128904,1.299989,15.02132,353.692,353.2876,(-0.1_ -0.3_ 1.0)
379.5163,-0.325832,1.128924,1.383207,15.07903,353.69,353.2734,(-0.1_ -0.3_ 1.0)
379.5276,-0.325778,1.128955,1.461825,15.08048,353.7135,353.3035,(-0.1_ -0.3_ 1.0)
379.5383,-0.32576,1.12886,1.536844,15.10115,353.8254,353.3729,(-0.1_ -0.3_ 1.0)
379.5493,-0.325737,1.128891,1.614418,15.15057,353.9245,353.4164,(-0.1_ -0.3_ 1.0)
379.5644,-0.325724,1.128863,1.719415,15.17752,354.0388,353.4643,(-0.1_ -0.3_ 1.0)
379.5718,-0.32569,1.128829,1.771465,15.18353,354.1433,353.4857,(-0.1_ -0.3_ 1.0)
379.5825,-0.325636,1.12887,1.846323,15.21449,354.2478,353.5244,(-0.1_ -0.3_ 1.0)
