experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,condition,targetspeed,map_rotation,hit,targetpole_movement_location_0,rmcardemo_usa_movement_location_0,main_camera_movement_location_0
vr driving simulator,EBNI14,3,1,1,1,12.18895,22.25699,1,4,267.9724,True,vr driving simulator/EBNI14/S003/trackers/targetpole_movement_T001.csv,vr driving simulator/EBNI14/S003/trackers/rmcardemo_usa_movement_T001.csv,vr driving simulator/EBNI14/S003/trackers/main_camera_movement_T001.csv
vr driving simulator,EBNI14,3,2,1,2,22.25699,33.02549,1,5,97.23003,True,vr driving simulator/EBNI14/S003/trackers/targetpole_movement_T002.csv,vr driving simulator/EBNI14/S003/trackers/rmcardemo_usa_movement_T002.csv,vr driving simulator/EBNI14/S003/trackers/main_camera_movement_T002.csv
vr driving simulator,EBNI14,3,3,1,3,33.02549,45.72866,1,6,100.1976,True,vr driving simulator/EBNI14/S003/trackers/targetpole_movement_T003.csv,vr driving simulator/EBNI14/S003/trackers/rmcardemo_usa_movement_T003.csv,vr driving simulator/EBNI14/S003/trackers/main_camera_movement_T003.csv
vr driving simulator,EBNI14,3,4,1,4,45.72866,58.82484,1,6,156.5602,True,vr driving simulator/EBNI14/S003/trackers/targetpole_movement_T004.csv,vr driving simulator/EBNI14/S003/trackers/rmcardemo_usa_movement_T004.csv,vr driving simulator/EBNI14/S003/trackers/main_camera_movement_T004.csv
vr driving simulator,EBNI14,3,5,1,5,58.82484,71.09454,1,6,210.3862,True,vr driving simulator/EBNI14/S003/trackers/targetpole_movement_T005.csv,vr driving simulator/EBNI14/S003/trackers/rmcardemo_usa_movement_T005.csv,vr driving simulator/EBNI14/S003/trackers/main_camera_movement_T005.csv
vr driving simulator,EBNI14,3,6,1,6,71.09454,83.39781,1,6,141.9127,True,vr driving simulator/EBNI14/S003/trackers/targetpole_movement_T006.csv,vr driving simulator/EBNI14/S003/trackers/rmcardemo_usa_movement_T006.csv,vr driving simulator/EBNI14/S003/trackers/main_camera_movement_T006.csv
vr driving simulator,EBNI14,3,7,1,7,83.39781,95.56538,1,6,108.5724,True,vr driving simulator/EBNI14/S003/trackers/targetpole_movement_T007.csv,vr driving simulator/EBNI14/S003/trackers/rmcardemo_usa_movement_T007.csv,vr driving simulator/EBNI14/S003/trackers/main_camera_movement_T007.csv
vr driving simulator,EBNI14,3,8,1,8,95.56538,106.3157,1,5,146.0931,True,vr driving simulator/EBNI14/S003/trackers/targetpole_movement_T008.csv,vr driving simulator/EBNI14/S003/trackers/rmcardemo_usa_movement_T008.csv,vr driving simulator/EBNI14/S003/trackers/main_camera_movement_T008.csv
vr driving simulator,EBNI14,3,9,1,9,106.3157,117.0136,1,5,178.5123,True,vr driving simulator/EBNI14/S003/trackers/targetpole_movement_T009.csv,vr driving simulator/EBNI14/S003/trackers/rmcardemo_usa_movement_T009.csv,vr driving simulator/EBNI14/S003/trackers/main_camera_movement_T009.csv
vr driving simulator,EBNI14,3,10,1,10,117.0136,127.6946,1,5,181.4799,True,vr driving simulator/EBNI14/S003/trackers/targetpole_movement_T010.csv,vr driving simulator/EBNI14/S003/trackers/rmcardemo_usa_movement_T010.csv,vr driving simulator/EBNI14/S003/trackers/main_camera_movement_T010.csv
vr driving simulator,EBNI14,3,11,1,11,127.6946,138.3761,1,5,242.7565,True,vr driving simulator/EBNI14/S003/trackers/targetpole_movement_T011.csv,vr driving simulator/EBNI14/S003/trackers/rmcardemo_usa_movement_T011.csv,vr driving simulator/EBNI14/S003/trackers/main_camera_movement_T011.csv
vr driving simulator,EBNI14,3,12,1,12,138.3761,150.8502,1,6,124.0331,True,vr driving simulator/EBNI14/S003/trackers/targetpole_movement_T012.csv,vr driving simulator/EBNI14/S003/trackers/rmcardemo_usa_movement_T012.csv,vr driving simulator/EBNI14/S003/trackers/main_camera_movement_T012.csv
