time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,forward_direction
40.84144,-0.298412,1.129045,0.16471,12.55724,2.53119,359.132,(0.0_ -0.2_ 1.0)
40.84144,-0.301737,1.129291,0.165386,12.38533,1.964815,359.3012,(0.0_ -0.2_ 1.0)
40.84144,-0.303615,1.129241,0.16596,12.19078,1.970945,359.6944,(0.0_ -0.2_ 1.0)
40.84144,-0.303745,1.129216,0.165987,12.19003,1.952869,359.619,(0.0_ -0.2_ 1.0)
40.84144,-0.304089,1.129144,0.166083,12.16111,1.975255,359.6251,(0.0_ -0.2_ 1.0)
40.84144,-0.304151,1.129146,0.166071,12.21165,1.972257,359.6181,(0.0_ -0.2_ 1.0)
40.84144,-0.304501,1.129051,0.166154,12.21847,1.973626,359.6315,(0.0_ -0.2_ 1.0)
40.84144,-0.305031,1.128933,0.166293,12.25218,1.983707,359.6587,(0.0_ -0.2_ 1.0)
40.84144,-0.30575,1.128868,0.166449,12.35771,1.990385,359.6313,(0.0_ -0.2_ 1.0)
40.84144,-0.306266,1.128787,0.166555,12.39533,2.019649,359.6438,(0.0_ -0.2_ 1.0)
40.84144,-0.306914,1.128745,0.166693,12.48441,2.036002,359.6526,(0.0_ -0.2_ 1.0)
40.84144,-0.307569,1.128695,0.166821,12.56197,2.003257,359.6465,(0.0_ -0.2_ 1.0)
40.84144,-0.308212,1.128638,0.166958,12.60984,1.99869,359.6745,(0.0_ -0.2_ 1.0)
40.84144,-0.309122,1.128627,0.167144,12.71358,1.936517,359.7143,(0.0_ -0.2_ 1.0)
40.84144,-0.309781,1.128578,0.167298,12.73772,1.904192,359.8548,(0.0_ -0.2_ 1.0)
40.84144,-0.310432,1.128589,0.16747,12.74679,1.879834,359.9881,(0.0_ -0.2_ 1.0)
40.84144,-0.310451,1.128622,0.167493,12.72125,1.875575,0.073061,(0.0_ -0.2_ 1.0)
40.84144,-0.311047,1.128654,0.167658,12.74136,1.834708,0.214523,(0.0_ -0.2_ 1.0)
40.84144,-0.311635,1.128616,0.167845,12.71544,1.836882,0.417244,(0.0_ -0.2_ 1.0)
40.84144,-0.312191,1.128631,0.167994,12.74755,1.813714,0.595482,(0.0_ -0.2_ 1.0)
40.84144,-0.312732,1.128572,0.168151,12.74597,1.805348,0.782215,(0.0_ -0.2_ 1.0)
40.84144,-0.313203,1.128527,0.168279,12.79075,1.781763,0.970698,(0.0_ -0.2_ 1.0)
40.84144,-0.313656,1.128413,0.168395,12.82115,1.788411,1.128486,(0.0_ -0.2_ 1.0)
40.84144,-0.314048,1.128294,0.168493,12.87895,1.793018,1.2833,(0.0_ -0.2_ 1.0)
40.84144,-0.314446,1.128158,0.168596,12.9144,1.831395,1.419604,(0.0_ -0.2_ 1.0)
40.84144,-0.314715,1.128057,0.168669,12.97297,1.841318,1.540483,(0.0_ -0.2_ 1.0)
40.84144,-0.314949,1.127986,0.16873,13.04693,1.835846,1.617886,(0.0_ -0.2_ 1.0)
40.84144,-0.315143,1.127901,0.168797,13.09389,1.88497,1.705341,(0.0_ -0.2_ 1.0)
40.84144,-0.315303,1.127848,0.168852,13.14775,1.905795,1.75946,(0.0_ -0.2_ 1.0)
40.84144,-0.315381,1.127788,0.168902,13.17781,1.909779,1.811074,(0.0_ -0.2_ 1.0)
40.84144,-0.315428,1.127796,0.168933,13.248,1.904246,1.846056,(0.0_ -0.2_ 1.0)
