experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,condition,targetspeed,map_rotation,hit,targetpole_movement_location_0,rmcardemo_usa_movement_location_0,main_camera_movement_location_0
vr driving simulator,EBSU21,2,1,1,1,6.400413,21.91194,2,5,124.475,True,vr driving simulator/EBSU21/S002/trackers/targetpole_movement_T001.csv,vr driving simulator/EBSU21/S002/trackers/rmcardemo_usa_movement_T001.csv,vr driving simulator/EBSU21/S002/trackers/main_camera_movement_T001.csv
vr driving simulator,EBSU21,2,2,1,2,21.91194,38.12464,2,6,196.1698,False,vr driving simulator/EBSU21/S002/trackers/targetpole_movement_T002.csv,vr driving simulator/EBSU21/S002/trackers/rmcardemo_usa_movement_T002.csv,vr driving simulator/EBSU21/S002/trackers/main_camera_movement_T002.csv
vr driving simulator,EBSU21,2,3,1,3,38.12464,49.47203,2,5,137.9271,True,vr driving simulator/EBSU21/S002/trackers/targetpole_movement_T003.csv,vr driving simulator/EBSU21/S002/trackers/rmcardemo_usa_movement_T003.csv,vr driving simulator/EBSU21/S002/trackers/main_camera_movement_T003.csv
vr driving simulator,EBSU21,2,4,1,4,49.47203,69.16254,2,6,162.3015,True,vr driving simulator/EBSU21/S002/trackers/targetpole_movement_T004.csv,vr driving simulator/EBSU21/S002/trackers/rmcardemo_usa_movement_T004.csv,vr driving simulator/EBSU21/S002/trackers/main_camera_movement_T004.csv
vr driving simulator,EBSU21,2,5,1,5,69.16254,83.73159,2,6,104.2461,False,vr driving simulator/EBSU21/S002/trackers/targetpole_movement_T005.csv,vr driving simulator/EBSU21/S002/trackers/rmcardemo_usa_movement_T005.csv,vr driving simulator/EBSU21/S002/trackers/main_camera_movement_T005.csv
vr driving simulator,EBSU21,2,6,1,6,83.73159,99.13288,2,6,117.4446,True,vr driving simulator/EBSU21/S002/trackers/targetpole_movement_T006.csv,vr driving simulator/EBSU21/S002/trackers/rmcardemo_usa_movement_T006.csv,vr driving simulator/EBSU21/S002/trackers/main_camera_movement_T006.csv
vr driving simulator,EBSU21,2,7,1,7,99.13288,110.1562,2,5,126.3235,True,vr driving simulator/EBSU21/S002/trackers/targetpole_movement_T007.csv,vr driving simulator/EBSU21/S002/trackers/rmcardemo_usa_movement_T007.csv,vr driving simulator/EBSU21/S002/trackers/main_camera_movement_T007.csv
vr driving simulator,EBSU21,2,8,1,8,110.1562,121.592,2,4,104.9548,True,vr driving simulator/EBSU21/S002/trackers/targetpole_movement_T008.csv,vr driving simulator/EBSU21/S002/trackers/rmcardemo_usa_movement_T008.csv,vr driving simulator/EBSU21/S002/trackers/main_camera_movement_T008.csv
vr driving simulator,EBSU21,2,9,1,9,121.592,131.9942,2,4,158.7808,True,vr driving simulator/EBSU21/S002/trackers/targetpole_movement_T009.csv,vr driving simulator/EBSU21/S002/trackers/rmcardemo_usa_movement_T009.csv,vr driving simulator/EBSU21/S002/trackers/main_camera_movement_T009.csv
vr driving simulator,EBSU21,2,10,1,10,131.9942,142.2287,2,4,212.5927,True,vr driving simulator/EBSU21/S002/trackers/targetpole_movement_T010.csv,vr driving simulator/EBSU21/S002/trackers/rmcardemo_usa_movement_T010.csv,vr driving simulator/EBSU21/S002/trackers/main_camera_movement_T010.csv
vr driving simulator,EBSU21,2,11,1,11,142.2287,154.2861,2,5,140.9742,True,vr driving simulator/EBSU21/S002/trackers/targetpole_movement_T011.csv,vr driving simulator/EBSU21/S002/trackers/rmcardemo_usa_movement_T011.csv,vr driving simulator/EBSU21/S002/trackers/main_camera_movement_T011.csv
vr driving simulator,EBSU21,2,12,1,12,154.2861,170.2888,2,5,216.7872,False,vr driving simulator/EBSU21/S002/trackers/targetpole_movement_T012.csv,vr driving simulator/EBSU21/S002/trackers/rmcardemo_usa_movement_T012.csv,vr driving simulator/EBSU21/S002/trackers/main_camera_movement_T012.csv
vr driving simulator,EBSU21,2,13,1,13,170.2888,186.3132,2,6,96.49622,False,vr driving simulator/EBSU21/S002/trackers/targetpole_movement_T013.csv,vr driving simulator/EBSU21/S002/trackers/rmcardemo_usa_movement_T013.csv,vr driving simulator/EBSU21/S002/trackers/main_camera_movement_T013.csv
vr driving simulator,EBSU21,2,14,1,14,186.3132,197.782,2,5,246.5165,True,vr driving simulator/EBSU21/S002/trackers/targetpole_movement_T014.csv,vr driving simulator/EBSU21/S002/trackers/rmcardemo_usa_movement_T014.csv,vr driving simulator/EBSU21/S002/trackers/main_camera_movement_T014.csv
vr driving simulator,EBSU21,2,15,1,15,197.782,214.8389,2,6,176.8684,False,vr driving simulator/EBSU21/S002/trackers/targetpole_movement_T015.csv,vr driving simulator/EBSU21/S002/trackers/rmcardemo_usa_movement_T015.csv,vr driving simulator/EBSU21/S002/trackers/main_camera_movement_T015.csv
