experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,condition,targetspeed,map_rotation,hit,targetpole_movement_location_0,rmcardemo_usa_movement_location_0,main_camera_movement_location_0
vr driving simulator,EVTH19,2,1,1,1,12.9209,22.99878,1,4,203.4688,True,vr driving simulator/EVTH19/S002/trackers/targetpole_movement_T001.csv,vr driving simulator/EVTH19/S002/trackers/rmcardemo_usa_movement_T001.csv,vr driving simulator/EVTH19/S002/trackers/main_camera_movement_T001.csv
vr driving simulator,EVTH19,2,2,1,2,22.99878,37.98912,1,6,101.8184,True,vr driving simulator/EVTH19/S002/trackers/targetpole_movement_T002.csv,vr driving simulator/EVTH19/S002/trackers/rmcardemo_usa_movement_T002.csv,vr driving simulator/EVTH19/S002/trackers/main_camera_movement_T002.csv
vr driving simulator,EVTH19,2,3,1,3,37.98912,48.04671,1,4,140.1348,True,vr driving simulator/EVTH19/S002/trackers/targetpole_movement_T003.csv,vr driving simulator/EVTH19/S002/trackers/rmcardemo_usa_movement_T003.csv,vr driving simulator/EVTH19/S002/trackers/main_camera_movement_T003.csv
vr driving simulator,EVTH19,2,4,1,4,48.04671,58.19385,1,4,104.8382,True,vr driving simulator/EVTH19/S002/trackers/targetpole_movement_T004.csv,vr driving simulator/EVTH19/S002/trackers/rmcardemo_usa_movement_T004.csv,vr driving simulator/EVTH19/S002/trackers/main_camera_movement_T004.csv
vr driving simulator,EVTH19,2,5,1,5,58.19385,68.35193,1,4,181.2173,True,vr driving simulator/EVTH19/S002/trackers/targetpole_movement_T005.csv,vr driving simulator/EVTH19/S002/trackers/rmcardemo_usa_movement_T005.csv,vr driving simulator/EVTH19/S002/trackers/main_camera_movement_T005.csv
vr driving simulator,EVTH19,2,6,1,6,68.35193,79.23231,1,5,232.4786,True,vr driving simulator/EVTH19/S002/trackers/targetpole_movement_T006.csv,vr driving simulator/EVTH19/S002/trackers/rmcardemo_usa_movement_T006.csv,vr driving simulator/EVTH19/S002/trackers/main_camera_movement_T006.csv
vr driving simulator,EVTH19,2,7,1,7,79.23231,93.75639,1,6,264.3176,True,vr driving simulator/EVTH19/S002/trackers/targetpole_movement_T007.csv,vr driving simulator/EVTH19/S002/trackers/rmcardemo_usa_movement_T007.csv,vr driving simulator/EVTH19/S002/trackers/main_camera_movement_T007.csv
vr driving simulator,EVTH19,2,8,1,8,93.75639,107.3597,1,6,183.4795,True,vr driving simulator/EVTH19/S002/trackers/targetpole_movement_T008.csv,vr driving simulator/EVTH19/S002/trackers/rmcardemo_usa_movement_T008.csv,vr driving simulator/EVTH19/S002/trackers/main_camera_movement_T008.csv
vr driving simulator,EVTH19,2,9,1,9,107.3597,117.4933,1,4,91.85847,True,vr driving simulator/EVTH19/S002/trackers/targetpole_movement_T009.csv,vr driving simulator/EVTH19/S002/trackers/rmcardemo_usa_movement_T009.csv,vr driving simulator/EVTH19/S002/trackers/main_camera_movement_T009.csv
vr driving simulator,EVTH19,2,10,1,10,117.4933,128.4074,1,5,213.3862,True,vr driving simulator/EVTH19/S002/trackers/targetpole_movement_T010.csv,vr driving simulator/EVTH19/S002/trackers/rmcardemo_usa_movement_T010.csv,vr driving simulator/EVTH19/S002/trackers/main_camera_movement_T010.csv
vr driving simulator,EVTH19,2,11,1,11,128.4074,139.2211,1,5,258.3715,True,vr driving simulator/EVTH19/S002/trackers/targetpole_movement_T011.csv,vr driving simulator/EVTH19/S002/trackers/rmcardemo_usa_movement_T011.csv,vr driving simulator/EVTH19/S002/trackers/main_camera_movement_T011.csv
vr driving simulator,EVTH19,2,12,1,12,139.2211,150.1348,1,5,193.0289,True,vr driving simulator/EVTH19/S002/trackers/targetpole_movement_T012.csv,vr driving simulator/EVTH19/S002/trackers/rmcardemo_usa_movement_T012.csv,vr driving simulator/EVTH19/S002/trackers/main_camera_movement_T012.csv
vr driving simulator,EVTH19,2,13,1,13,150.1348,161.0918,1,5,105.7135,True,vr driving simulator/EVTH19/S002/trackers/targetpole_movement_T013.csv,vr driving simulator/EVTH19/S002/trackers/rmcardemo_usa_movement_T013.csv,vr driving simulator/EVTH19/S002/trackers/main_camera_movement_T013.csv
vr driving simulator,EVTH19,2,14,1,14,161.0918,174.505,1,6,175.8307,True,vr driving simulator/EVTH19/S002/trackers/targetpole_movement_T014.csv,vr driving simulator/EVTH19/S002/trackers/rmcardemo_usa_movement_T014.csv,vr driving simulator/EVTH19/S002/trackers/main_camera_movement_T014.csv
vr driving simulator,EVTH19,2,15,1,15,174.505,184.5964,1,4,244.179,True,vr driving simulator/EVTH19/S002/trackers/targetpole_movement_T015.csv,vr driving simulator/EVTH19/S002/trackers/rmcardemo_usa_movement_T015.csv,vr driving simulator/EVTH19/S002/trackers/main_camera_movement_T015.csv
vr driving simulator,EVTH19,2,16,1,16,184.5964,195.5537,1,5,140.5582,True,vr driving simulator/EVTH19/S002/trackers/targetpole_movement_T016.csv,vr driving simulator/EVTH19/S002/trackers/rmcardemo_usa_movement_T016.csv,vr driving simulator/EVTH19/S002/trackers/main_camera_movement_T016.csv
vr driving simulator,EVTH19,2,17,1,17,195.5537,209.4114,1,6,156.1059,True,vr driving simulator/EVTH19/S002/trackers/targetpole_movement_T017.csv,vr driving simulator/EVTH19/S002/trackers/rmcardemo_usa_movement_T017.csv,vr driving simulator/EVTH19/S002/trackers/main_camera_movement_T017.csv
vr driving simulator,EVTH19,2,18,1,18,209.4114,219.4684,1,4,114.7207,True,vr driving simulator/EVTH19/S002/trackers/targetpole_movement_T018.csv,vr driving simulator/EVTH19/S002/trackers/rmcardemo_usa_movement_T018.csv,vr driving simulator/EVTH19/S002/trackers/main_camera_movement_T018.csv
vr driving simulator,EVTH19,2,19,1,19,219.4684,230.3604,1,5,204.2602,True,vr driving simulator/EVTH19/S002/trackers/targetpole_movement_T019.csv,vr driving simulator/EVTH19/S002/trackers/rmcardemo_usa_movement_T019.csv,vr driving simulator/EVTH19/S002/trackers/main_camera_movement_T019.csv
vr driving simulator,EVTH19,2,20,1,20,230.3604,241.1966,1,5,268.0875,True,vr driving simulator/EVTH19/S002/trackers/targetpole_movement_T020.csv,vr driving simulator/EVTH19/S002/trackers/rmcardemo_usa_movement_T020.csv,vr driving simulator/EVTH19/S002/trackers/main_camera_movement_T020.csv
vr driving simulator,EVTH19,2,21,1,21,241.1966,254.9523,1,6,215.9053,True,vr driving simulator/EVTH19/S002/trackers/targetpole_movement_T021.csv,vr driving simulator/EVTH19/S002/trackers/rmcardemo_usa_movement_T021.csv,vr driving simulator/EVTH19/S002/trackers/main_camera_movement_T021.csv
vr driving simulator,EVTH19,2,22,1,22,254.9523,268.4765,1,6,106.8042,True,vr driving simulator/EVTH19/S002/trackers/targetpole_movement_T022.csv,vr driving simulator/EVTH19/S002/trackers/rmcardemo_usa_movement_T022.csv,vr driving simulator/EVTH19/S002/trackers/main_camera_movement_T022.csv
