time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,forward_direction
284.5373,-0.328862,1.152033,0.182643,0.803896,356.747,0.217886,(-0.1_ 0.0_ 1.0)
284.5373,-0.327121,1.151892,0.183061,0.967216,358.2601,0.278685,(0.0_ 0.0_ 1.0)
284.5373,-0.326639,1.151926,0.183559,1.010989,358.868,0.385713,(0.0_ 0.0_ 1.0)
284.5373,-0.326583,1.15188,0.183651,0.920696,358.8658,0.434775,(0.0_ 0.0_ 1.0)
284.5373,-0.326584,1.151955,0.183654,0.949283,358.8483,0.407199,(0.0_ 0.0_ 1.0)
284.5373,-0.326555,1.151981,0.183608,0.946854,358.806,0.390073,(0.0_ 0.0_ 1.0)
284.5373,-0.326542,1.152013,0.183654,0.935805,358.8318,0.379942,(0.0_ 0.0_ 1.0)
284.5373,-0.326516,1.152028,0.183711,0.909258,358.8364,0.33615,(0.0_ 0.0_ 1.0)
284.5373,-0.326488,1.152045,0.183753,0.904876,358.863,0.347003,(0.0_ 0.0_ 1.0)
284.5373,-0.326528,1.152086,0.183892,0.887505,358.9442,0.321235,(0.0_ 0.0_ 1.0)
284.5373,-0.32656,1.152103,0.183983,0.862878,358.9841,0.316804,(0.0_ 0.0_ 1.0)
284.5373,-0.326609,1.152132,0.184048,0.846829,359.018,0.321995,(0.0_ 0.0_ 1.0)
284.5373,-0.32674,1.152163,0.184198,0.80037,359.0851,0.338851,(0.0_ 0.0_ 1.0)
284.5373,-0.326783,1.152212,0.184214,0.78606,359.0809,0.343611,(0.0_ 0.0_ 1.0)
284.5373,-0.326956,1.152286,0.18434,0.723442,359.1138,0.357459,(0.0_ 0.0_ 1.0)
284.5373,-0.327205,1.152339,0.184554,0.618367,359.1502,0.394398,(0.0_ 0.0_ 1.0)
284.5373,-0.327426,1.152425,0.184648,0.566361,359.1887,0.428833,(0.0_ 0.0_ 1.0)
284.5373,-0.327558,1.152473,0.18469,0.519361,359.1789,0.428048,(0.0_ 0.0_ 1.0)
284.5373,-0.327948,1.152541,0.184924,0.353213,359.2231,0.491593,(0.0_ 0.0_ 1.0)
284.5373,-0.328238,1.152625,0.185034,0.261166,359.2549,0.497406,(0.0_ 0.0_ 1.0)
284.5373,-0.328227,1.152647,0.184935,0.233255,359.238,0.504266,(0.0_ 0.0_ 1.0)
284.5373,-0.328497,1.152752,0.184997,0.161529,359.2621,0.533404,(0.0_ 0.0_ 1.0)
284.5373,-0.328738,1.152815,0.185058,0.052627,359.2656,0.606535,(0.0_ 0.0_ 1.0)
284.5373,-0.32901,1.152899,0.185121,359.9701,359.3008,0.711756,(0.0_ 0.0_ 1.0)
284.5373,-0.32929,1.152984,0.185189,359.8796,359.3,0.800221,(0.0_ 0.0_ 1.0)
284.5373,-0.329556,1.153058,0.185253,359.7855,359.299,0.902253,(0.0_ 0.0_ 1.0)
284.5373,-0.329859,1.153138,0.185289,359.6995,359.3213,0.978114,(0.0_ 0.0_ 1.0)
284.5373,-0.330165,1.153208,0.185344,359.6261,359.3622,1.081471,(0.0_ 0.0_ 1.0)
284.5373,-0.330433,1.153253,0.185403,359.5465,359.3826,1.205842,(0.0_ 0.0_ 1.0)
284.5373,-0.330689,1.153301,0.185466,359.4736,359.3919,1.34303,(0.0_ 0.0_ 1.0)
284.5373,-0.330927,1.153355,0.185505,359.399,359.3844,1.471662,(0.0_ 0.0_ 1.0)
284.5373,-0.331156,1.153437,0.185512,359.3634,359.382,1.619019,(0.0_ 0.0_ 1.0)
284.5373,-0.331398,1.153434,0.185565,359.2857,359.3931,1.780697,(0.0_ 0.0_ 1.0)
284.5373,-0.331623,1.153466,0.185609,359.2585,359.3769,1.892933,(0.0_ 0.0_ 1.0)
284.5373,-0.331858,1.153467,0.185684,359.2018,359.4227,2.045983,(0.0_ 0.0_ 1.0)
