time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,forward_direction
279.5984,-0.295839,1.160157,0.3026,6.469933,321.222,0.668005,(-0.6_ -0.1_ 0.8)
279.5984,-0.304985,1.159653,0.298401,5.920535,314.3215,1.13894,(-0.7_ -0.1_ 0.7)
279.5984,-0.308418,1.158462,0.295613,6.2514,310.6318,1.064354,(-0.8_ -0.1_ 0.6)
279.5984,-0.308794,1.158227,0.295522,6.43394,310.1962,1.012005,(-0.8_ -0.1_ 0.6)
279.5984,-0.309186,1.157997,0.295441,6.520817,309.8352,0.861474,(-0.8_ -0.1_ 0.6)
279.5984,-0.30939,1.157769,0.29558,6.586195,309.6181,0.853809,(-0.8_ -0.1_ 0.6)
279.5984,-0.309449,1.157706,0.295654,6.752553,309.3486,0.678001,(-0.8_ -0.1_ 0.6)
279.5984,-0.309351,1.157744,0.296053,6.703161,309.755,0.642803,(-0.8_ -0.1_ 0.6)
279.5984,-0.309346,1.157568,0.296252,6.75421,309.7171,0.554898,(-0.8_ -0.1_ 0.6)
279.5984,-0.309211,1.15749,0.296545,6.858862,309.7198,0.491374,(-0.8_ -0.1_ 0.6)
279.5984,-0.309011,1.157356,0.296843,6.88895,309.8173,0.397575,(-0.8_ -0.1_ 0.6)
279.5984,-0.308757,1.157246,0.297149,6.920733,309.9618,0.389794,(-0.8_ -0.1_ 0.6)
279.5984,-0.308411,1.157193,0.297514,6.948542,310.1967,0.339431,(-0.8_ -0.1_ 0.6)
279.5984,-0.30806,1.157112,0.297962,6.926709,310.5126,0.352191,(-0.8_ -0.1_ 0.6)
279.5984,-0.307627,1.157098,0.298411,6.951279,310.8001,0.350949,(-0.8_ -0.1_ 0.6)
279.5984,-0.307141,1.157162,0.298898,7.007257,311.1691,0.286259,(-0.7_ -0.1_ 0.7)
279.5984,-0.306601,1.157177,0.299471,7.01041,311.5367,0.236038,(-0.7_ -0.1_ 0.7)
279.5984,-0.306732,1.157245,0.299766,6.991417,311.6566,0.256175,(-0.7_ -0.1_ 0.7)
279.5984,-0.306254,1.15725,0.300358,6.938925,312.0308,0.19257,(-0.7_ -0.1_ 0.7)
279.5984,-0.305675,1.157326,0.300864,6.924176,312.4135,0.124181,(-0.7_ -0.1_ 0.7)
279.5984,-0.305142,1.157436,0.301464,6.849521,312.8036,0.012382,(-0.7_ -0.1_ 0.7)
279.5984,-0.304533,1.157526,0.302074,6.773641,313.1836,359.9179,(-0.7_ -0.1_ 0.7)
279.5984,-0.303856,1.1576,0.302649,6.734588,313.5763,359.8073,(-0.7_ -0.1_ 0.7)
