experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,condition,targetspeed,map_rotation,hit,targetpole_movement_location_0,rmcardemo_usa_movement_location_0,main_camera_movement_location_0
vr driving simulator,FRSU12,2,1,1,1,7.041539,17.15318,1,4,238.6366,True,vr driving simulator/FRSU12/S002/trackers/targetpole_movement_T001.csv,vr driving simulator/FRSU12/S002/trackers/rmcardemo_usa_movement_T001.csv,vr driving simulator/FRSU12/S002/trackers/main_camera_movement_T001.csv
vr driving simulator,FRSU12,2,2,1,2,17.15318,32.03487,1,6,207.2668,True,vr driving simulator/FRSU12/S002/trackers/targetpole_movement_T002.csv,vr driving simulator/FRSU12/S002/trackers/rmcardemo_usa_movement_T002.csv,vr driving simulator/FRSU12/S002/trackers/main_camera_movement_T002.csv
vr driving simulator,FRSU12,2,3,1,3,32.03487,45.49186,1,6,231.8425,True,vr driving simulator/FRSU12/S002/trackers/targetpole_movement_T003.csv,vr driving simulator/FRSU12/S002/trackers/rmcardemo_usa_movement_T003.csv,vr driving simulator/FRSU12/S002/trackers/main_camera_movement_T003.csv
vr driving simulator,FRSU12,2,4,1,4,45.49186,60.33921,1,6,213.633,True,vr driving simulator/FRSU12/S002/trackers/targetpole_movement_T004.csv,vr driving simulator/FRSU12/S002/trackers/rmcardemo_usa_movement_T004.csv,vr driving simulator/FRSU12/S002/trackers/main_camera_movement_T004.csv
vr driving simulator,FRSU12,2,5,1,5,60.33921,74.40891,1,6,213.0768,True,vr driving simulator/FRSU12/S002/trackers/targetpole_movement_T005.csv,vr driving simulator/FRSU12/S002/trackers/rmcardemo_usa_movement_T005.csv,vr driving simulator/FRSU12/S002/trackers/main_camera_movement_T005.csv
vr driving simulator,FRSU12,2,6,1,6,74.40891,84.55513,1,4,101.4251,True,vr driving simulator/FRSU12/S002/trackers/targetpole_movement_T006.csv,vr driving simulator/FRSU12/S002/trackers/rmcardemo_usa_movement_T006.csv,vr driving simulator/FRSU12/S002/trackers/main_camera_movement_T006.csv
vr driving simulator,FRSU12,2,7,1,7,84.55513,95.45818,1,5,116.3785,True,vr driving simulator/FRSU12/S002/trackers/targetpole_movement_T007.csv,vr driving simulator/FRSU12/S002/trackers/rmcardemo_usa_movement_T007.csv,vr driving simulator/FRSU12/S002/trackers/main_camera_movement_T007.csv
vr driving simulator,FRSU12,2,8,1,8,95.45818,110.2171,1,6,96.77885,True,vr driving simulator/FRSU12/S002/trackers/targetpole_movement_T008.csv,vr driving simulator/FRSU12/S002/trackers/rmcardemo_usa_movement_T008.csv,vr driving simulator/FRSU12/S002/trackers/main_camera_movement_T008.csv
vr driving simulator,FRSU12,2,9,1,9,110.2171,120.3668,1,4,248.554,True,vr driving simulator/FRSU12/S002/trackers/targetpole_movement_T009.csv,vr driving simulator/FRSU12/S002/trackers/rmcardemo_usa_movement_T009.csv,vr driving simulator/FRSU12/S002/trackers/main_camera_movement_T009.csv
vr driving simulator,FRSU12,2,10,1,10,120.3668,135.4368,1,6,245.84,True,vr driving simulator/FRSU12/S002/trackers/targetpole_movement_T010.csv,vr driving simulator/FRSU12/S002/trackers/rmcardemo_usa_movement_T010.csv,vr driving simulator/FRSU12/S002/trackers/main_camera_movement_T010.csv
