experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,condition,targetspeed,map_rotation,hit,targetpole_movement_location_0,rmcardemo_usa_movement_location_0,main_camera_movement_location_0
vr driving simulator,GUWI03,1,1,1,1,11.41497,28.01537,0,6,249.7821,True,vr driving simulator/GUWI03/S001/trackers/targetpole_movement_T001.csv,vr driving simulator/GUWI03/S001/trackers/rmcardemo_usa_movement_T001.csv,vr driving simulator/GUWI03/S001/trackers/main_camera_movement_T001.csv
vr driving simulator,GUWI03,1,2,1,2,28.01537,41.78243,0,6,184.8706,True,vr driving simulator/GUWI03/S001/trackers/targetpole_movement_T002.csv,vr driving simulator/GUWI03/S001/trackers/rmcardemo_usa_movement_T002.csv,vr driving simulator/GUWI03/S001/trackers/main_camera_movement_T002.csv
vr driving simulator,GUWI03,1,3,1,3,41.78243,51.8982,0,4,196.8944,True,vr driving simulator/GUWI03/S001/trackers/targetpole_movement_T003.csv,vr driving simulator/GUWI03/S001/trackers/rmcardemo_usa_movement_T003.csv,vr driving simulator/GUWI03/S001/trackers/main_camera_movement_T003.csv
vr driving simulator,GUWI03,1,4,1,4,51.8982,65.94398,0,6,163.5542,True,vr driving simulator/GUWI03/S001/trackers/targetpole_movement_T004.csv,vr driving simulator/GUWI03/S001/trackers/rmcardemo_usa_movement_T004.csv,vr driving simulator/GUWI03/S001/trackers/main_camera_movement_T004.csv
vr driving simulator,GUWI03,1,5,1,5,65.94398,91.23372,0,5,263.3105,True,vr driving simulator/GUWI03/S001/trackers/targetpole_movement_T005.csv,vr driving simulator/GUWI03/S001/trackers/rmcardemo_usa_movement_T005.csv,vr driving simulator/GUWI03/S001/trackers/main_camera_movement_T005.csv
vr driving simulator,GUWI03,1,6,1,6,91.23372,101.3459,0,4,198.6004,True,vr driving simulator/GUWI03/S001/trackers/targetpole_movement_T006.csv,vr driving simulator/GUWI03/S001/trackers/rmcardemo_usa_movement_T006.csv,vr driving simulator/GUWI03/S001/trackers/main_camera_movement_T006.csv
vr driving simulator,GUWI03,1,7,1,7,101.3459,111.7245,0,4,182.1458,True,vr driving simulator/GUWI03/S001/trackers/targetpole_movement_T007.csv,vr driving simulator/GUWI03/S001/trackers/rmcardemo_usa_movement_T007.csv,vr driving simulator/GUWI03/S001/trackers/main_camera_movement_T007.csv
vr driving simulator,GUWI03,1,8,1,8,111.7245,122.693,0,5,168.2418,True,vr driving simulator/GUWI03/S001/trackers/targetpole_movement_T008.csv,vr driving simulator/GUWI03/S001/trackers/rmcardemo_usa_movement_T008.csv,vr driving simulator/GUWI03/S001/trackers/main_camera_movement_T008.csv
vr driving simulator,GUWI03,1,9,1,9,122.693,135.4154,0,6,108.609,True,vr driving simulator/GUWI03/S001/trackers/targetpole_movement_T009.csv,vr driving simulator/GUWI03/S001/trackers/rmcardemo_usa_movement_T009.csv,vr driving simulator/GUWI03/S001/trackers/main_camera_movement_T009.csv
vr driving simulator,GUWI03,1,10,1,10,135.4154,147.9067,0,6,128.299,True,vr driving simulator/GUWI03/S001/trackers/targetpole_movement_T010.csv,vr driving simulator/GUWI03/S001/trackers/rmcardemo_usa_movement_T010.csv,vr driving simulator/GUWI03/S001/trackers/main_camera_movement_T010.csv
vr driving simulator,GUWI03,1,11,1,11,147.9067,157.8563,0,4,209.7936,True,vr driving simulator/GUWI03/S001/trackers/targetpole_movement_T011.csv,vr driving simulator/GUWI03/S001/trackers/rmcardemo_usa_movement_T011.csv,vr driving simulator/GUWI03/S001/trackers/main_camera_movement_T011.csv
vr driving simulator,GUWI03,1,12,1,12,157.8563,168.29,0,4,215.3119,True,vr driving simulator/GUWI03/S001/trackers/targetpole_movement_T012.csv,vr driving simulator/GUWI03/S001/trackers/rmcardemo_usa_movement_T012.csv,vr driving simulator/GUWI03/S001/trackers/main_camera_movement_T012.csv
