time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,forward_direction
65.03684,-0.33552,1.145487,0.21804,5.228462,341.2089,356.451,(-0.3_ -0.1_ 0.9)
65.03684,-0.335008,1.145463,0.218369,5.429055,341.8898,356.5132,(-0.3_ -0.1_ 0.9)
65.03684,-0.334915,1.145437,0.218523,5.472489,342.1539,356.5613,(-0.3_ -0.1_ 0.9)
65.03684,-0.334939,1.145466,0.218542,5.502304,342.225,356.5896,(-0.3_ -0.1_ 0.9)
65.03684,-0.334919,1.145439,0.21858,5.483122,342.242,356.6467,(-0.3_ -0.1_ 0.9)
65.03684,-0.334903,1.145445,0.218589,5.508155,342.2563,356.6713,(-0.3_ -0.1_ 0.9)
65.03684,-0.334896,1.14541,0.218615,5.50381,342.282,356.6982,(-0.3_ -0.1_ 0.9)
65.03684,-0.334908,1.145383,0.218613,5.526829,342.3165,356.7085,(-0.3_ -0.1_ 0.9)
65.03684,-0.334917,1.145348,0.218607,5.550042,342.3521,356.7224,(-0.3_ -0.1_ 0.9)
65.03684,-0.33491,1.145304,0.218572,5.607029,342.3976,356.7578,(-0.3_ -0.1_ 0.9)
65.03684,-0.334893,1.145239,0.218518,5.658192,342.4447,356.8008,(-0.3_ -0.1_ 0.9)
65.03684,-0.334885,1.145211,0.218459,5.685536,342.4816,356.7909,(-0.3_ -0.1_ 0.9)
65.03684,-0.334852,1.145208,0.218381,5.73326,342.5297,356.8241,(-0.3_ -0.1_ 0.9)
65.03684,-0.334814,1.14522,0.218302,5.749829,342.5586,356.8268,(-0.3_ -0.1_ 0.9)
65.03684,-0.334773,1.145189,0.218204,5.747012,342.6703,356.8995,(-0.3_ -0.1_ 0.9)
65.03684,-0.334718,1.145206,0.218119,5.745865,342.7319,356.9296,(-0.3_ -0.1_ 1.0)
65.03684,-0.334639,1.145252,0.218002,5.739433,342.8302,356.9533,(-0.3_ -0.1_ 1.0)
65.03684,-0.334521,1.145321,0.21792,5.741277,342.8907,357.0074,(-0.3_ -0.1_ 1.0)
65.03684,-0.334449,1.145339,0.217843,5.675206,343.0187,357.04,(-0.3_ -0.1_ 1.0)
65.03684,-0.334325,1.145381,0.217737,5.644951,343.1463,357.0838,(-0.3_ -0.1_ 1.0)
