experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,condition,targetspeed,map_rotation,hit,targetpole_movement_location_0,rmcardemo_usa_movement_location_0,main_camera_movement_location_0
vr driving simulator,HEGE31,2,1,1,1,8.748068,26.62776,2,6,188.1129,True,vr driving simulator/HEGE31/S002/trackers/targetpole_movement_T001.csv,vr driving simulator/HEGE31/S002/trackers/rmcardemo_usa_movement_T001.csv,vr driving simulator/HEGE31/S002/trackers/main_camera_movement_T001.csv
vr driving simulator,HEGE31,2,2,1,2,26.62776,36.94387,2,4,169.5105,True,vr driving simulator/HEGE31/S002/trackers/targetpole_movement_T002.csv,vr driving simulator/HEGE31/S002/trackers/rmcardemo_usa_movement_T002.csv,vr driving simulator/HEGE31/S002/trackers/main_camera_movement_T002.csv
vr driving simulator,HEGE31,2,3,1,3,36.94387,47.50174,2,5,224.5111,True,vr driving simulator/HEGE31/S002/trackers/targetpole_movement_T003.csv,vr driving simulator/HEGE31/S002/trackers/rmcardemo_usa_movement_T003.csv,vr driving simulator/HEGE31/S002/trackers/main_camera_movement_T003.csv
vr driving simulator,HEGE31,2,4,1,4,47.50174,57.40368,2,4,165.4586,True,vr driving simulator/HEGE31/S002/trackers/targetpole_movement_T004.csv,vr driving simulator/HEGE31/S002/trackers/rmcardemo_usa_movement_T004.csv,vr driving simulator/HEGE31/S002/trackers/main_camera_movement_T004.csv
vr driving simulator,HEGE31,2,5,1,5,57.40368,69.6609,2,5,126.4226,True,vr driving simulator/HEGE31/S002/trackers/targetpole_movement_T005.csv,vr driving simulator/HEGE31/S002/trackers/rmcardemo_usa_movement_T005.csv,vr driving simulator/HEGE31/S002/trackers/main_camera_movement_T005.csv
vr driving simulator,HEGE31,2,6,1,6,69.6609,83.65229,2,6,98.77806,True,vr driving simulator/HEGE31/S002/trackers/targetpole_movement_T006.csv,vr driving simulator/HEGE31/S002/trackers/rmcardemo_usa_movement_T006.csv,vr driving simulator/HEGE31/S002/trackers/main_camera_movement_T006.csv
vr driving simulator,HEGE31,2,7,1,7,83.65229,95.42098,2,6,135.1381,True,vr driving simulator/HEGE31/S002/trackers/targetpole_movement_T007.csv,vr driving simulator/HEGE31/S002/trackers/rmcardemo_usa_movement_T007.csv,vr driving simulator/HEGE31/S002/trackers/main_camera_movement_T007.csv
vr driving simulator,HEGE31,2,8,1,8,95.42098,105.6184,2,4,268.6516,True,vr driving simulator/HEGE31/S002/trackers/targetpole_movement_T008.csv,vr driving simulator/HEGE31/S002/trackers/rmcardemo_usa_movement_T008.csv,vr driving simulator/HEGE31/S002/trackers/main_camera_movement_T008.csv
vr driving simulator,HEGE31,2,9,1,9,105.6184,115.4894,2,4,207.0343,True,vr driving simulator/HEGE31/S002/trackers/targetpole_movement_T009.csv,vr driving simulator/HEGE31/S002/trackers/rmcardemo_usa_movement_T009.csv,vr driving simulator/HEGE31/S002/trackers/main_camera_movement_T009.csv
vr driving simulator,HEGE31,2,10,1,10,115.4894,125.316,2,4,123.4442,True,vr driving simulator/HEGE31/S002/trackers/targetpole_movement_T010.csv,vr driving simulator/HEGE31/S002/trackers/rmcardemo_usa_movement_T010.csv,vr driving simulator/HEGE31/S002/trackers/main_camera_movement_T010.csv
