time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,forward_direction
163.8022,-0.347395,1.151883,0.165155,357.0231,348.3956,0.864126,(-0.2_ 0.1_ 1.0)
163.8022,-0.347709,1.151908,0.164749,357.0043,348.4823,0.975449,(-0.2_ 0.1_ 1.0)
163.8022,-0.347764,1.151905,0.164694,357.0001,348.4848,0.992591,(-0.2_ 0.1_ 1.0)
163.8022,-0.347806,1.151906,0.164635,357.0101,348.483,1.009425,(-0.2_ 0.1_ 1.0)
163.8022,-0.347824,1.151909,0.164599,357.0081,348.4822,1.012589,(-0.2_ 0.1_ 1.0)
163.8022,-0.34786,1.151906,0.164548,357.0107,348.482,1.030235,(-0.2_ 0.1_ 1.0)
163.8022,-0.347886,1.151911,0.164507,357.0129,348.4852,1.037708,(-0.2_ 0.1_ 1.0)
163.8022,-0.347915,1.151915,0.164461,357.0069,348.4881,1.0487,(-0.2_ 0.1_ 1.0)
163.8022,-0.347956,1.15192,0.164422,357.0018,348.498,1.060425,(-0.2_ 0.1_ 1.0)
163.8022,-0.347971,1.151933,0.164376,357.0024,348.4931,1.065636,(-0.2_ 0.1_ 1.0)
163.8022,-0.348005,1.151926,0.164347,356.9874,348.4926,1.077229,(-0.2_ 0.1_ 1.0)
163.8022,-0.348041,1.151929,0.164312,356.9837,348.5001,1.078727,(-0.2_ 0.1_ 1.0)
163.8022,-0.348065,1.151928,0.164285,356.9836,348.4979,1.084896,(-0.2_ 0.1_ 1.0)
163.8022,-0.348106,1.151922,0.164246,356.9883,348.5026,1.09339,(-0.2_ 0.1_ 1.0)
163.8022,-0.348136,1.151906,0.164222,356.9888,348.5023,1.101665,(-0.2_ 0.1_ 1.0)
163.8022,-0.348165,1.151886,0.164192,356.9904,348.494,1.111749,(-0.2_ 0.1_ 1.0)
163.8022,-0.348188,1.151868,0.164169,356.9928,348.4896,1.119009,(-0.2_ 0.1_ 1.0)
163.8022,-0.348213,1.151849,0.16414,357.0034,348.4758,1.123366,(-0.2_ 0.1_ 1.0)
163.8022,-0.348233,1.151845,0.16412,357.0092,348.4822,1.121121,(-0.2_ 0.1_ 1.0)
163.8022,-0.348259,1.151817,0.164099,357.0158,348.4758,1.12654,(-0.2_ 0.1_ 1.0)
163.8022,-0.348279,1.151807,0.164082,357.0222,348.4764,1.126703,(-0.2_ 0.1_ 1.0)
163.8022,-0.348302,1.151786,0.164064,357.0295,348.4723,1.129281,(-0.2_ 0.1_ 1.0)
163.8022,-0.348317,1.151773,0.164049,357.0334,348.4676,1.12822,(-0.2_ 0.1_ 1.0)
163.8022,-0.34834,1.15176,0.164032,357.0373,348.4652,1.127711,(-0.2_ 0.1_ 1.0)
163.8022,-0.348351,1.15174,0.164027,357.0313,348.4628,1.137175,(-0.2_ 0.1_ 1.0)
163.8022,-0.348367,1.151739,0.16401,357.037,348.4616,1.132107,(-0.2_ 0.1_ 1.0)
163.8022,-0.348381,1.151724,0.164003,357.0394,348.4541,1.132095,(-0.2_ 0.1_ 1.0)
163.8022,-0.348409,1.151713,0.163991,357.0591,348.4505,1.13735,(-0.2_ 0.1_ 1.0)
163.8022,-0.348415,1.151696,0.163992,357.0692,348.4393,1.146838,(-0.2_ 0.1_ 1.0)
163.8022,-0.348429,1.151681,0.16399,357.0816,348.4305,1.151351,(-0.2_ 0.1_ 1.0)
163.8022,-0.348438,1.151666,0.163989,357.1067,348.4146,1.154509,(-0.2_ 0.1_ 1.0)
163.8022,-0.348419,1.151654,0.163988,357.1447,348.3737,1.158083,(-0.2_ 0.0_ 1.0)
163.8022,-0.348419,1.151644,0.164004,357.1538,348.3744,1.157857,(-0.2_ 0.0_ 1.0)
163.8022,-0.348411,1.151637,0.164018,357.1576,348.3625,1.155978,(-0.2_ 0.0_ 1.0)
163.8022,-0.3484,1.151628,0.164031,357.1713,348.3661,1.163677,(-0.2_ 0.0_ 1.0)
163.8022,-0.348381,1.151615,0.164044,357.1907,348.3602,1.161691,(-0.2_ 0.0_ 1.0)
163.8022,-0.348344,1.151601,0.164055,357.2089,348.3508,1.157668,(-0.2_ 0.0_ 1.0)
163.8022,-0.348303,1.151579,0.164068,357.2445,348.351,1.148686,(-0.2_ 0.0_ 1.0)
163.8022,-0.348282,1.151544,0.164082,357.2542,348.3762,1.14398,(-0.2_ 0.0_ 1.0)
163.8022,-0.348223,1.151513,0.164079,357.2896,348.3901,1.13589,(-0.2_ 0.0_ 1.0)
163.8022,-0.348192,1.151476,0.164078,357.2946,348.4037,1.131333,(-0.2_ 0.0_ 1.0)
163.8022,-0.34814,1.151405,0.164073,357.3423,348.4688,1.120499,(-0.2_ 0.0_ 1.0)
163.8022,-0.34809,1.151373,0.164064,357.3544,348.4688,1.118002,(-0.2_ 0.0_ 1.0)
163.8022,-0.348017,1.151304,0.164047,357.3944,348.5222,1.136682,(-0.2_ 0.0_ 1.0)
163.8022,-0.347978,1.151271,0.164021,357.4142,348.5449,1.127546,(-0.2_ 0.0_ 1.0)
163.8022,-0.347922,1.151191,0.163989,357.438,348.6229,1.131276,(-0.2_ 0.0_ 1.0)
163.8022,-0.347851,1.151147,0.163951,357.4592,348.6504,1.13808,(-0.2_ 0.0_ 1.0)
163.8022,-0.34778,1.151105,0.163903,357.4796,348.6977,1.128315,(-0.2_ 0.0_ 1.0)
163.8022,-0.347697,1.15104,0.163831,357.5162,348.7892,1.129903,(-0.2_ 0.0_ 1.0)
163.8022,-0.347653,1.150987,0.163778,357.5349,348.8694,1.115303,(-0.2_ 0.0_ 1.0)
163.8022,-0.347577,1.150911,0.163715,357.5522,348.9277,1.118109,(-0.2_ 0.0_ 1.0)
163.8022,-0.347536,1.150892,0.163623,357.6204,349.0276,1.12836,(-0.2_ 0.0_ 1.0)
163.8022,-0.347438,1.150821,0.163541,357.6486,349.0692,1.146284,(-0.2_ 0.0_ 1.0)
163.8022,-0.347416,1.150764,0.163447,357.701,349.1912,1.161687,(-0.2_ 0.0_ 1.0)
163.8022,-0.347333,1.150672,0.163357,357.7286,349.2508,1.182458,(-0.2_ 0.0_ 1.0)
163.8022,-0.347261,1.150594,0.163258,357.7711,349.335,1.210942,(-0.2_ 0.0_ 1.0)
163.8022,-0.347204,1.150524,0.163148,357.8062,349.4106,1.204133,(-0.2_ 0.0_ 1.0)
163.8022,-0.347154,1.150446,0.163034,357.8347,349.4967,1.210561,(-0.2_ 0.0_ 1.0)
163.8022,-0.347111,1.150379,0.162902,357.8694,349.575,1.195308,(-0.2_ 0.0_ 1.0)
163.8022,-0.347083,1.150292,0.162774,357.9041,349.6676,1.204531,(-0.2_ 0.0_ 1.0)
163.8022,-0.347027,1.150226,0.162614,357.9649,349.7231,1.20377,(-0.2_ 0.0_ 1.0)
163.8022,-0.34702,1.150102,0.162466,357.9904,349.8059,1.204484,(-0.2_ 0.0_ 1.0)
163.8022,-0.347,1.149974,0.162311,358.0338,349.8698,1.212906,(-0.2_ 0.0_ 1.0)
163.8022,-0.347002,1.149846,0.162119,358.1201,349.9612,1.246337,(-0.2_ 0.0_ 1.0)
163.8022,-0.34703,1.149675,0.161922,358.185,350.0485,1.26013,(-0.2_ 0.0_ 1.0)
163.8022,-0.347034,1.149533,0.16171,358.2711,350.1346,1.290777,(-0.2_ 0.0_ 1.0)
163.8022,-0.347024,1.149387,0.161482,358.3711,350.2016,1.332872,(-0.2_ 0.0_ 1.0)
163.8022,-0.347067,1.149239,0.16127,358.4499,350.2807,1.348598,(-0.2_ 0.0_ 1.0)
