time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,forward_direction
234.2162,-0.322435,1.133981,0.144047,4.652573,0.130191,359.45,(0.0_ -0.1_ 1.0)
234.2162,-0.320197,1.133694,0.143712,5.473392,1.184239,359.2358,(0.0_ -0.1_ 1.0)
234.2162,-0.318725,1.133375,0.143292,6.113505,2.171481,359.1006,(0.0_ -0.1_ 1.0)
234.2162,-0.31856,1.133332,0.143225,6.259629,2.307997,359.043,(0.0_ -0.1_ 1.0)
234.2162,-0.318365,1.133329,0.143164,6.441909,2.449827,359.0594,(0.0_ -0.1_ 1.0)
234.2162,-0.318209,1.133301,0.143137,6.59551,2.642938,359.1252,(0.0_ -0.1_ 1.0)
234.2162,-0.318273,1.133351,0.143187,6.620583,2.604364,359.0982,(0.0_ -0.1_ 1.0)
234.2162,-0.318148,1.133265,0.143253,6.70196,2.793201,359.1253,(0.0_ -0.1_ 1.0)
234.2162,-0.31797,1.133203,0.14327,6.831709,2.883057,359.1235,(0.0_ -0.1_ 1.0)
234.2162,-0.317821,1.13313,0.143329,7.006386,2.991273,359.1438,(0.1_ -0.1_ 1.0)
234.2162,-0.31769,1.13304,0.143376,7.186448,3.108371,359.1532,(0.1_ -0.1_ 1.0)
234.2162,-0.317663,1.132984,0.143428,7.159481,3.072034,359.1849,(0.1_ -0.1_ 1.0)
234.2162,-0.317541,1.132925,0.14349,7.293981,3.202278,359.2001,(0.1_ -0.1_ 1.0)
234.2162,-0.317361,1.132889,0.143553,7.407965,3.297889,359.2349,(0.1_ -0.1_ 1.0)
234.2162,-0.317278,1.132945,0.143587,7.489372,3.408623,359.2977,(0.1_ -0.1_ 1.0)
234.2162,-0.317051,1.132799,0.143732,7.525366,3.479774,359.3557,(0.1_ -0.1_ 1.0)
234.2162,-0.316986,1.132761,0.14371,7.626297,3.649838,359.4032,(0.1_ -0.1_ 1.0)
234.2162,-0.316871,1.132674,0.143678,7.737263,3.720863,359.418,(0.1_ -0.1_ 1.0)
234.2162,-0.316789,1.13256,0.143737,7.833936,3.780878,359.4025,(0.1_ -0.1_ 1.0)
234.2162,-0.316676,1.132493,0.143827,7.927279,3.833579,359.4211,(0.1_ -0.1_ 1.0)
234.2162,-0.316544,1.13247,0.143866,8.034617,3.833725,359.4254,(0.1_ -0.1_ 1.0)
234.2162,-0.316563,1.132461,0.143868,8.004546,3.829046,359.4503,(0.1_ -0.1_ 1.0)
234.2162,-0.316541,1.132504,0.143905,8.081708,3.86716,359.5346,(0.1_ -0.1_ 1.0)
234.2162,-0.316438,1.132298,0.143986,8.019615,3.861284,359.5877,(0.1_ -0.1_ 1.0)
234.2162,-0.316506,1.13248,0.144065,8.048073,3.889483,359.6544,(0.1_ -0.1_ 1.0)
234.2162,-0.316534,1.132546,0.144104,7.971387,3.814555,359.6483,(0.1_ -0.1_ 1.0)
234.2162,-0.316559,1.132623,0.144215,7.89215,3.742321,359.6707,(0.1_ -0.1_ 1.0)
234.2162,-0.316561,1.132652,0.144296,7.860131,3.702737,359.6333,(0.1_ -0.1_ 1.0)
234.2162,-0.31653,1.132699,0.144352,7.875253,3.66967,359.6274,(0.1_ -0.1_ 1.0)
234.2162,-0.316514,1.132764,0.144398,7.890445,3.668991,359.6443,(0.1_ -0.1_ 1.0)
234.2162,-0.316485,1.132809,0.144473,7.891953,3.62766,359.6465,(0.1_ -0.1_ 1.0)
234.2162,-0.316429,1.132877,0.144576,7.968434,3.591102,359.6738,(0.1_ -0.1_ 1.0)
234.2162,-0.316299,1.132835,0.144676,8.042295,3.537002,359.6746,(0.1_ -0.1_ 1.0)
234.2162,-0.31623,1.132715,0.144781,8.174819,3.668915,359.7525,(0.1_ -0.1_ 1.0)
234.2162,-0.316138,1.132737,0.144831,8.394653,3.787117,359.8123,(0.1_ -0.1_ 1.0)
234.2162,-0.315937,1.13254,0.144906,8.528306,3.948391,359.8944,(0.1_ -0.1_ 1.0)
234.2162,-0.315682,1.13238,0.144973,8.783423,4.123898,0.006681,(0.1_ -0.2_ 1.0)
234.2162,-0.315477,1.132149,0.145036,9.048999,4.375469,0.079753,(0.1_ -0.2_ 1.0)
234.2162,-0.315233,1.131926,0.145052,9.402443,4.673455,0.198159,(0.1_ -0.2_ 1.0)
234.2162,-0.314995,1.131782,0.145059,9.760324,4.927333,0.270901,(0.1_ -0.2_ 1.0)
234.2162,-0.314797,1.131568,0.145085,10.08841,5.245308,0.41692,(0.1_ -0.2_ 1.0)
234.2162,-0.314658,1.131238,0.145101,10.40723,5.545682,0.495555,(0.1_ -0.2_ 1.0)
234.2162,-0.314539,1.130886,0.145087,10.88836,5.803055,0.490007,(0.1_ -0.2_ 1.0)
234.2162,-0.314362,1.130277,0.145077,11.27959,6.082195,0.562463,(0.1_ -0.2_ 1.0)
234.2162,-0.314082,1.129711,0.145065,11.81499,6.355832,0.654649,(0.1_ -0.2_ 1.0)
234.2162,-0.313825,1.129272,0.145064,12.29859,6.690886,0.81599,(0.1_ -0.2_ 1.0)
234.2162,-0.313536,1.129017,0.145136,12.71511,6.982707,1.003395,(0.1_ -0.2_ 1.0)
234.2162,-0.31321,1.128778,0.145235,12.98226,7.192467,1.159653,(0.1_ -0.2_ 1.0)
234.2162,-0.313082,1.128679,0.145325,13.24528,7.416733,1.250459,(0.1_ -0.2_ 1.0)
234.2162,-0.313053,1.128613,0.145385,13.34001,7.564789,1.280925,(0.1_ -0.2_ 1.0)
234.2162,-0.313078,1.128636,0.145492,13.46305,7.668354,1.23621,(0.1_ -0.2_ 1.0)
234.2162,-0.313079,1.128782,0.145601,13.51761,7.682417,1.212062,(0.1_ -0.2_ 1.0)
234.2162,-0.313105,1.128853,0.145722,13.49786,7.706577,1.19842,(0.1_ -0.2_ 1.0)
234.2162,-0.313137,1.128866,0.145863,13.4876,7.713066,1.178703,(0.1_ -0.2_ 1.0)
234.2162,-0.313155,1.128844,0.145913,13.45318,7.651673,1.144176,(0.1_ -0.2_ 1.0)
234.2162,-0.313203,1.12894,0.146109,13.48398,7.594369,1.116475,(0.1_ -0.2_ 1.0)
234.2162,-0.313296,1.129232,0.14641,13.49492,7.476799,1.2023,(0.1_ -0.2_ 1.0)
234.2162,-0.313336,1.1295,0.146595,13.4882,7.361481,1.342119,(0.1_ -0.2_ 1.0)
234.2162,-0.313447,1.129695,0.146782,13.42624,7.279741,1.466851,(0.1_ -0.2_ 1.0)
234.2162,-0.313491,1.12976,0.146956,13.42882,7.184191,1.52309,(0.1_ -0.2_ 1.0)
234.2162,-0.31351,1.129861,0.147169,13.49115,7.153312,1.580528,(0.1_ -0.2_ 1.0)
234.2162,-0.31339,1.129845,0.147384,13.54094,7.112168,1.618521,(0.1_ -0.2_ 1.0)
234.2162,-0.313237,1.129579,0.147611,13.61128,7.160186,1.562986,(0.1_ -0.2_ 1.0)
234.2162,-0.313149,1.129425,0.14776,13.81436,7.233248,1.473984,(0.1_ -0.2_ 1.0)
234.2162,-0.312956,1.129171,0.14785,14.09992,7.288479,1.449418,(0.1_ -0.2_ 1.0)
234.2162,-0.312821,1.128908,0.14791,14.44962,7.419367,1.434074,(0.1_ -0.2_ 1.0)
234.2162,-0.312724,1.128626,0.148006,14.59116,7.547529,1.52547,(0.1_ -0.3_ 1.0)
234.2162,-0.312778,1.128555,0.148057,14.67893,7.605105,1.453781,(0.1_ -0.3_ 1.0)
234.2162,-0.312865,1.128517,0.148039,14.67198,7.591173,1.306136,(0.1_ -0.3_ 1.0)
234.2162,-0.313027,1.128607,0.14799,14.62989,7.590176,1.202333,(0.1_ -0.3_ 1.0)
234.2162,-0.313072,1.128658,0.147989,14.5862,7.567031,1.218204,(0.1_ -0.3_ 1.0)
234.2162,-0.313087,1.128681,0.147997,14.60346,7.576317,1.238151,(0.1_ -0.3_ 1.0)
234.2162,-0.313082,1.128669,0.148057,14.62989,7.589602,1.275828,(0.1_ -0.3_ 1.0)
234.2162,-0.313056,1.128664,0.14813,14.65611,7.589053,1.28612,(0.1_ -0.3_ 1.0)
234.2162,-0.313064,1.128648,0.148268,14.65376,7.620401,1.314351,(0.1_ -0.3_ 1.0)
234.2162,-0.313091,1.128651,0.148268,14.65443,7.607423,1.294879,(0.1_ -0.3_ 1.0)
234.2162,-0.313191,1.128632,0.148358,14.644,7.574275,1.292449,(0.1_ -0.3_ 1.0)
234.2162,-0.313352,1.128483,0.148484,14.55591,7.482547,1.34338,(0.1_ -0.3_ 1.0)
234.2162,-0.313473,1.128424,0.148481,14.57026,7.48578,1.447152,(0.1_ -0.3_ 1.0)
234.2162,-0.313519,1.128289,0.148308,14.58321,7.456243,1.640064,(0.1_ -0.3_ 1.0)
234.2162,-0.313466,1.128141,0.148117,14.63109,7.45893,1.953452,(0.1_ -0.3_ 1.0)
234.2162,-0.313361,1.12797,0.147883,14.73215,7.609657,2.428646,(0.1_ -0.3_ 1.0)
234.2162,-0.313422,1.127781,0.147715,14.89012,7.801739,2.765645,(0.1_ -0.3_ 1.0)
234.2162,-0.313526,1.127569,0.147605,15.12855,7.950658,3.009523,(0.1_ -0.3_ 1.0)
234.2162,-0.3136,1.127355,0.147573,15.29881,8.034886,3.20933,(0.1_ -0.3_ 1.0)
234.2162,-0.313639,1.127243,0.147584,15.42194,8.099547,3.404015,(0.1_ -0.3_ 1.0)
234.2162,-0.313674,1.127195,0.147595,15.41967,8.206806,3.614907,(0.1_ -0.3_ 1.0)
234.2162,-0.31371,1.127147,0.147538,15.40432,8.316164,3.804654,(0.1_ -0.3_ 1.0)
234.2162,-0.313776,1.127068,0.147448,15.4214,8.38573,3.943087,(0.1_ -0.3_ 1.0)
234.2162,-0.313951,1.126983,0.147301,15.46414,8.421897,3.96833,(0.1_ -0.3_ 1.0)
234.2162,-0.314129,1.126927,0.147133,15.52309,8.411338,3.967972,(0.1_ -0.3_ 1.0)
234.2162,-0.314182,1.126892,0.147055,15.50174,8.340749,3.89234,(0.1_ -0.3_ 1.0)
234.2162,-0.314204,1.126879,0.147032,15.47708,8.321794,3.852954,(0.1_ -0.3_ 1.0)
234.2162,-0.314272,1.126869,0.146945,15.45523,8.214072,3.796694,(0.1_ -0.3_ 1.0)
234.2162,-0.314315,1.126777,0.146872,15.43993,8.229706,3.765928,(0.1_ -0.3_ 1.0)
234.2162,-0.314409,1.126623,0.146707,15.56048,8.218402,3.666363,(0.1_ -0.3_ 1.0)
234.2162,-0.314496,1.126371,0.146513,15.76685,8.261499,3.618158,(0.1_ -0.3_ 1.0)
234.2162,-0.314584,1.126159,0.14635,15.98773,8.325363,3.565106,(0.1_ -0.3_ 1.0)
234.2162,-0.314573,1.125946,0.146202,16.1279,8.384018,3.569666,(0.1_ -0.3_ 1.0)
234.2162,-0.314608,1.125854,0.146073,16.2847,8.494718,3.532821,(0.1_ -0.3_ 0.9)
234.2162,-0.314605,1.125718,0.145957,16.39047,8.611311,3.491505,(0.1_ -0.3_ 0.9)
234.2162,-0.314608,1.125547,0.145852,16.54805,8.742823,3.457733,(0.1_ -0.3_ 0.9)
234.2162,-0.31459,1.125317,0.14574,16.68973,8.822689,3.313069,(0.1_ -0.3_ 0.9)
234.2162,-0.314566,1.125187,0.14568,16.88685,8.933215,3.239468,(0.1_ -0.3_ 0.9)
234.2162,-0.314521,1.124986,0.145567,17.02061,9.019878,3.157708,(0.1_ -0.3_ 0.9)
234.2162,-0.314486,1.12483,0.145495,17.20466,9.097685,3.001988,(0.2_ -0.3_ 0.9)
234.2162,-0.314419,1.124656,0.145473,17.36198,9.185584,2.857477,(0.2_ -0.3_ 0.9)
234.2162,-0.314255,1.124573,0.145511,17.48778,9.217972,2.720477,(0.2_ -0.3_ 0.9)
234.2162,-0.314162,1.124507,0.145628,17.55554,9.269046,2.551109,(0.2_ -0.3_ 0.9)
234.2162,-0.314178,1.12452,0.145825,17.55811,9.251098,2.314819,(0.2_ -0.3_ 0.9)
234.2162,-0.314276,1.124533,0.146063,17.47467,9.140243,2.119343,(0.2_ -0.3_ 0.9)
234.2162,-0.31443,1.124621,0.146288,17.43876,9.001374,2.013823,(0.1_ -0.3_ 0.9)
234.2162,-0.314582,1.124681,0.146569,17.34169,8.806169,2.024223,(0.1_ -0.3_ 0.9)
234.2162,-0.314656,1.124722,0.146842,17.29532,8.653196,2.09849,(0.1_ -0.3_ 0.9)
234.2162,-0.314765,1.124806,0.147077,17.31233,8.523086,2.134485,(0.1_ -0.3_ 0.9)
234.2162,-0.314946,1.124992,0.147332,17.31594,8.346086,2.013016,(0.1_ -0.3_ 0.9)
234.2162,-0.315182,1.125192,0.147726,17.17626,8.131399,1.874699,(0.1_ -0.3_ 0.9)
234.2162,-0.315388,1.125407,0.148088,17.02136,7.841214,1.736081,(0.1_ -0.3_ 0.9)
234.2162,-0.315562,1.125541,0.148367,16.88613,7.575558,1.670409,(0.1_ -0.3_ 0.9)
234.2162,-0.315809,1.125592,0.148628,16.74193,7.376934,1.732599,(0.1_ -0.3_ 0.9)
234.2162,-0.316074,1.12566,0.148816,16.62561,7.131638,1.788085,(0.1_ -0.3_ 1.0)
