experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,condition,targetspeed,map_rotation,hit,targetpole_movement_location_0,rmcardemo_usa_movement_location_0,main_camera_movement_location_0
vr driving simulator,HEMI05,3,1,1,1,14.17019,29.93481,1,6,159.9317,True,vr driving simulator/HEMI05/S003/trackers/targetpole_movement_T001.csv,vr driving simulator/HEMI05/S003/trackers/rmcardemo_usa_movement_T001.csv,vr driving simulator/HEMI05/S003/trackers/main_camera_movement_T001.csv
vr driving simulator,HEMI05,3,2,1,2,29.93481,40.05942,1,4,129.3577,True,vr driving simulator/HEMI05/S003/trackers/targetpole_movement_T002.csv,vr driving simulator/HEMI05/S003/trackers/rmcardemo_usa_movement_T002.csv,vr driving simulator/HEMI05/S003/trackers/main_camera_movement_T002.csv
vr driving simulator,HEMI05,3,3,1,3,40.05942,50.15151,1,4,155.501,True,vr driving simulator/HEMI05/S003/trackers/targetpole_movement_T003.csv,vr driving simulator/HEMI05/S003/trackers/rmcardemo_usa_movement_T003.csv,vr driving simulator/HEMI05/S003/trackers/main_camera_movement_T003.csv
vr driving simulator,HEMI05,3,4,1,4,50.15151,64.33253,1,6,139.0323,True,vr driving simulator/HEMI05/S003/trackers/targetpole_movement_T004.csv,vr driving simulator/HEMI05/S003/trackers/rmcardemo_usa_movement_T004.csv,vr driving simulator/HEMI05/S003/trackers/main_camera_movement_T004.csv
vr driving simulator,HEMI05,3,5,1,5,64.33253,78.18056,1,6,207.975,True,vr driving simulator/HEMI05/S003/trackers/targetpole_movement_T005.csv,vr driving simulator/HEMI05/S003/trackers/rmcardemo_usa_movement_T005.csv,vr driving simulator/HEMI05/S003/trackers/main_camera_movement_T005.csv
vr driving simulator,HEMI05,3,6,1,6,78.18056,92.42791,1,6,253.7419,True,vr driving simulator/HEMI05/S003/trackers/targetpole_movement_T006.csv,vr driving simulator/HEMI05/S003/trackers/rmcardemo_usa_movement_T006.csv,vr driving simulator/HEMI05/S003/trackers/main_camera_movement_T006.csv
vr driving simulator,HEMI05,3,7,1,7,92.42791,106.3979,1,6,97.536,True,vr driving simulator/HEMI05/S003/trackers/targetpole_movement_T007.csv,vr driving simulator/HEMI05/S003/trackers/rmcardemo_usa_movement_T007.csv,vr driving simulator/HEMI05/S003/trackers/main_camera_movement_T007.csv
vr driving simulator,HEMI05,3,8,1,8,106.3979,117.5006,1,5,246.7605,True,vr driving simulator/HEMI05/S003/trackers/targetpole_movement_T008.csv,vr driving simulator/HEMI05/S003/trackers/rmcardemo_usa_movement_T008.csv,vr driving simulator/HEMI05/S003/trackers/main_camera_movement_T008.csv
vr driving simulator,HEMI05,3,9,1,9,117.5006,127.5816,1,4,262.2941,True,vr driving simulator/HEMI05/S003/trackers/targetpole_movement_T009.csv,vr driving simulator/HEMI05/S003/trackers/rmcardemo_usa_movement_T009.csv,vr driving simulator/HEMI05/S003/trackers/main_camera_movement_T009.csv
vr driving simulator,HEMI05,3,10,1,10,127.5816,138.7621,1,5,223.8525,True,vr driving simulator/HEMI05/S003/trackers/targetpole_movement_T010.csv,vr driving simulator/HEMI05/S003/trackers/rmcardemo_usa_movement_T010.csv,vr driving simulator/HEMI05/S003/trackers/main_camera_movement_T010.csv
