time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,forward_direction
60.39925,-0.310639,1.148432,0.148529,359.224,357.3724,358.3102,(0.0_ 0.0_ 1.0)
60.39925,-0.308974,1.148788,0.147394,358.6451,357.8972,358.1093,(0.0_ 0.0_ 1.0)
60.39925,-0.308636,1.149035,0.146996,358.4125,357.9947,358.1075,(0.0_ 0.0_ 1.0)
60.39925,-0.308574,1.14907,0.146908,358.3683,357.9872,358.1071,(0.0_ 0.0_ 1.0)
60.39925,-0.308566,1.14909,0.146855,358.3844,357.9886,358.1196,(0.0_ 0.0_ 1.0)
60.39925,-0.308461,1.14911,0.146705,358.2657,358.01,358.1383,(0.0_ 0.0_ 1.0)
60.39925,-0.308432,1.149141,0.146616,358.2405,358.0135,358.132,(0.0_ 0.0_ 1.0)
60.39925,-0.308398,1.149175,0.146524,358.201,358.0175,358.1286,(0.0_ 0.0_ 1.0)
60.39925,-0.308377,1.149213,0.146436,358.1765,358.0068,358.1128,(0.0_ 0.0_ 1.0)
60.39925,-0.308305,1.149232,0.146307,358.0787,358.0042,358.1211,(0.0_ 0.0_ 1.0)
60.39925,-0.308284,1.149272,0.146223,358.0272,358.0111,358.0945,(0.0_ 0.0_ 1.0)
60.39925,-0.308209,1.149334,0.146095,357.9448,358.0046,358.0834,(0.0_ 0.0_ 1.0)
60.39925,-0.308142,1.149402,0.145966,357.8372,358.0233,358.0561,(0.0_ 0.0_ 1.0)
60.39925,-0.308127,1.149483,0.145845,357.7112,358.0835,357.9865,(0.0_ 0.0_ 1.0)
60.39925,-0.308018,1.149508,0.145718,357.5094,358.1096,357.9784,(0.0_ 0.0_ 1.0)
60.39925,-0.307962,1.149603,0.145584,357.399,358.1524,357.9131,(0.0_ 0.0_ 1.0)
60.39925,-0.307975,1.149614,0.145571,357.3692,358.1761,357.8943,(0.0_ 0.0_ 1.0)
60.39925,-0.307908,1.149648,0.145484,357.1626,358.2225,357.8682,(0.0_ 0.0_ 1.0)
60.39925,-0.307858,1.149751,0.14537,357.0002,358.2736,357.8116,(0.0_ 0.1_ 1.0)
60.39925,-0.307786,1.149821,0.145269,356.7901,358.3109,357.7654,(0.0_ 0.1_ 1.0)
60.39925,-0.307735,1.14989,0.145177,356.5901,358.3733,357.7391,(0.0_ 0.1_ 1.0)
60.39925,-0.307651,1.14991,0.14511,356.3682,358.4076,357.7121,(0.0_ 0.1_ 1.0)
60.39925,-0.307609,1.149935,0.14506,356.1578,358.4617,357.6706,(0.0_ 0.1_ 1.0)
60.39925,-0.307592,1.149982,0.145008,355.9854,358.5271,357.6181,(0.0_ 0.1_ 1.0)
60.39925,-0.307587,1.149931,0.145019,355.7612,358.6063,357.5917,(0.0_ 0.1_ 1.0)
60.39925,-0.307497,1.149929,0.14499,355.6191,358.6112,357.5793,(0.0_ 0.1_ 1.0)
60.39925,-0.307478,1.149895,0.145028,355.4489,358.6417,357.517,(0.0_ 0.1_ 1.0)
60.39925,-0.307462,1.149871,0.1451,355.306,358.7162,357.5071,(0.0_ 0.1_ 1.0)
60.39925,-0.30745,1.149858,0.145182,355.1845,358.7506,357.4427,(0.0_ 0.1_ 1.0)
60.39925,-0.307449,1.14979,0.145317,355.0427,358.8173,357.4028,(0.0_ 0.1_ 1.0)
60.39925,-0.307407,1.149799,0.145413,354.9856,358.8326,357.3421,(0.0_ 0.1_ 1.0)
60.39925,-0.307438,1.149724,0.145626,354.8541,358.9187,357.2842,(0.0_ 0.1_ 1.0)
60.39925,-0.307432,1.149665,0.145831,354.7437,358.9785,357.261,(0.0_ 0.1_ 1.0)
60.39925,-0.307398,1.149608,0.14606,354.6251,358.9997,357.2162,(0.0_ 0.1_ 1.0)
60.39925,-0.307387,1.149519,0.14634,354.4528,359.0392,357.1595,(0.0_ 0.1_ 1.0)
60.39925,-0.307457,1.149489,0.14664,354.272,359.1588,357.0933,(0.0_ 0.1_ 1.0)
60.39925,-0.307434,1.149426,0.146955,354.0464,359.1888,357.0586,(0.0_ 0.1_ 1.0)
60.39925,-0.30748,1.149402,0.147267,353.8177,359.2757,357.0286,(0.0_ 0.1_ 1.0)
60.39925,-0.307521,1.149328,0.147576,353.5637,359.3288,357.021,(0.0_ 0.1_ 1.0)
60.39925,-0.307568,1.149218,0.147869,353.3292,359.3792,357.0554,(0.0_ 0.1_ 1.0)
60.39925,-0.307632,1.149031,0.148163,353.0853,359.4219,357.0954,(0.0_ 0.1_ 1.0)
60.39925,-0.307732,1.148897,0.148432,352.9076,359.4608,357.0997,(0.0_ 0.1_ 1.0)
60.39925,-0.307866,1.148736,0.148716,352.7613,359.5212,357.1569,(0.0_ 0.1_ 1.0)
60.39925,-0.307989,1.14863,0.148967,352.6661,359.5471,357.218,(0.0_ 0.1_ 1.0)
60.39925,-0.308159,1.148606,0.149202,352.6521,359.5775,357.2874,(0.0_ 0.1_ 1.0)
60.39925,-0.308326,1.148556,0.149453,352.6353,359.6038,357.3696,(0.0_ 0.1_ 1.0)
60.39925,-0.308464,1.148562,0.149653,352.6846,359.5745,357.4604,(0.0_ 0.1_ 1.0)
60.39925,-0.30862,1.148628,0.149821,352.7865,359.5367,357.5168,(0.0_ 0.1_ 1.0)
60.39925,-0.308787,1.148655,0.150012,352.873,359.5193,357.5989,(0.0_ 0.1_ 1.0)
60.39925,-0.308978,1.148723,0.150166,353.0006,359.4969,357.6475,(0.0_ 0.1_ 1.0)
60.39925,-0.309154,1.148736,0.150371,353.0611,359.4572,357.7022,(0.0_ 0.1_ 1.0)
60.39925,-0.309337,1.148793,0.150558,353.1513,359.4185,357.7659,(0.0_ 0.1_ 1.0)
60.39925,-0.309505,1.148861,0.150728,353.244,359.3421,357.7898,(0.0_ 0.1_ 1.0)
60.39925,-0.309726,1.148871,0.150943,353.2932,359.3454,357.8168,(0.0_ 0.1_ 1.0)
60.39925,-0.309893,1.148881,0.151112,353.361,359.3021,357.8226,(0.0_ 0.1_ 1.0)
60.39925,-0.310072,1.148815,0.151306,353.3975,359.2843,357.8289,(0.0_ 0.1_ 1.0)
60.39925,-0.31023,1.148734,0.15145,353.4728,359.2577,357.8191,(0.0_ 0.1_ 1.0)
60.39925,-0.310421,1.148595,0.151618,353.5381,359.2636,357.8148,(0.0_ 0.1_ 1.0)
60.39925,-0.31057,1.148402,0.151759,353.6095,359.2321,357.8196,(0.0_ 0.1_ 1.0)
60.39925,-0.310748,1.148209,0.151894,353.6949,359.2149,357.8068,(0.0_ 0.1_ 1.0)
60.39925,-0.310913,1.14797,0.152039,353.769,359.2195,357.83,(0.0_ 0.1_ 1.0)
60.39925,-0.311078,1.147794,0.152147,353.881,359.1918,357.7981,(0.0_ 0.1_ 1.0)
60.39925,-0.311262,1.147536,0.152318,353.9279,359.2123,357.8127,(0.0_ 0.1_ 1.0)
60.39925,-0.311451,1.147356,0.152441,354.0324,359.2256,357.8117,(0.0_ 0.1_ 1.0)
60.39925,-0.31163,1.147181,0.152565,354.1216,359.2278,357.8217,(0.0_ 0.1_ 1.0)
60.39925,-0.31181,1.14702,0.152693,354.1951,359.2412,357.8463,(0.0_ 0.1_ 1.0)
60.39925,-0.312007,1.146915,0.152804,354.2924,359.255,357.8782,(0.0_ 0.1_ 1.0)
60.39925,-0.31219,1.146809,0.152933,354.3695,359.2823,357.9551,(0.0_ 0.1_ 1.0)
60.39925,-0.312369,1.146769,0.153032,354.4391,359.2684,357.9786,(0.0_ 0.1_ 1.0)
60.39925,-0.312549,1.146756,0.153122,354.5356,359.2696,358.0381,(0.0_ 0.1_ 1.0)
60.39925,-0.312753,1.14673,0.153233,354.585,359.2736,358.0926,(0.0_ 0.1_ 1.0)
60.39925,-0.312933,1.146716,0.153323,354.6531,359.2621,358.1779,(0.0_ 0.1_ 1.0)
60.39925,-0.313146,1.146765,0.153369,354.7601,359.2382,358.2224,(0.0_ 0.1_ 1.0)
60.39925,-0.313373,1.146811,0.153408,354.854,359.2209,358.2989,(0.0_ 0.1_ 1.0)
60.39925,-0.313607,1.146853,0.153463,354.9276,359.2021,358.3819,(0.0_ 0.1_ 1.0)
60.39925,-0.313846,1.146964,0.153467,355.024,359.1648,358.4517,(0.0_ 0.1_ 1.0)
60.39925,-0.314067,1.147037,0.15347,355.0902,359.118,358.5348,(0.0_ 0.1_ 1.0)
60.39925,-0.314315,1.147095,0.153452,355.1392,359.099,358.6235,(0.0_ 0.1_ 1.0)
60.39925,-0.314546,1.147177,0.153404,355.2121,359.0532,358.7088,(0.0_ 0.1_ 1.0)
60.39925,-0.314782,1.147221,0.153345,355.2505,359.0122,358.7904,(0.0_ 0.1_ 1.0)
60.39925,-0.314977,1.147278,0.153249,355.3052,358.9342,358.8674,(0.0_ 0.1_ 1.0)
60.39925,-0.315228,1.147336,0.153165,355.3629,358.9099,358.9343,(0.0_ 0.1_ 1.0)
60.39925,-0.315428,1.147357,0.153067,355.4,358.8501,359.0182,(0.0_ 0.1_ 1.0)
60.39925,-0.31569,1.147333,0.153004,355.4033,358.8519,359.0795,(0.0_ 0.1_ 1.0)
60.39925,-0.315858,1.147336,0.15287,355.4309,358.7599,359.1212,(0.0_ 0.1_ 1.0)
60.39925,-0.31607,1.14731,0.152784,355.4311,358.7373,359.1976,(0.0_ 0.1_ 1.0)
60.39925,-0.316243,1.147319,0.152659,355.4628,358.6793,359.2504,(0.0_ 0.1_ 1.0)
60.39925,-0.316395,1.147301,0.152552,355.4653,358.6219,359.3052,(0.0_ 0.1_ 1.0)
60.39925,-0.316567,1.147308,0.152435,355.4865,358.5862,359.344,(0.0_ 0.1_ 1.0)
60.39925,-0.316702,1.147303,0.152336,355.4897,358.5511,359.3962,(0.0_ 0.1_ 1.0)
60.39925,-0.316846,1.147262,0.152255,355.476,358.525,359.4468,(0.0_ 0.1_ 1.0)
60.39925,-0.316941,1.147246,0.152148,355.4849,358.4509,359.4715,(0.0_ 0.1_ 1.0)
60.39925,-0.317032,1.147228,0.152062,355.4953,358.4193,359.5077,(0.0_ 0.1_ 1.0)
60.39925,-0.317096,1.147213,0.152005,355.492,358.402,359.5241,(0.0_ 0.1_ 1.0)
60.39925,-0.31714,1.147214,0.151981,355.4873,358.3988,359.5183,(0.0_ 0.1_ 1.0)
60.39925,-0.317199,1.147228,0.151906,355.5052,358.3565,359.5166,(0.0_ 0.1_ 1.0)
60.39925,-0.317235,1.147238,0.151882,355.5091,358.3629,359.5196,(0.0_ 0.1_ 1.0)
60.39925,-0.317285,1.147246,0.151828,355.53,358.3445,359.5204,(0.0_ 0.1_ 1.0)
60.39925,-0.317325,1.147245,0.151778,355.5453,358.3326,359.5338,(0.0_ 0.1_ 1.0)
60.39925,-0.317351,1.147258,0.151719,355.5716,358.3179,359.5334,(0.0_ 0.1_ 1.0)
60.39925,-0.317365,1.147273,0.151661,355.5957,358.3085,359.533,(0.0_ 0.1_ 1.0)
60.39925,-0.317366,1.147309,0.151571,355.6421,358.292,359.5237,(0.0_ 0.1_ 1.0)
60.39925,-0.317378,1.147306,0.151551,355.6309,358.3141,359.5124,(0.0_ 0.1_ 1.0)
60.39925,-0.317376,1.147321,0.151488,355.6497,358.3271,359.5008,(0.0_ 0.1_ 1.0)
60.39925,-0.317361,1.147351,0.151411,355.6816,358.3334,359.4666,(0.0_ 0.1_ 1.0)
60.39925,-0.317363,1.14735,0.151383,355.679,358.3643,359.4532,(0.0_ 0.1_ 1.0)
60.39925,-0.317359,1.147363,0.151344,355.6947,358.3877,359.4178,(0.0_ 0.1_ 1.0)
