experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,condition,targetspeed,map_rotation,hit,targetpole_movement_location_0,rmcardemo_usa_movement_location_0,main_camera_movement_location_0
vr driving simulator,MUAN14,1,1,1,1,9.515712,29.56378,0,6,264.5008,False,vr driving simulator/MUAN14/S001/trackers/targetpole_movement_T001.csv,vr driving simulator/MUAN14/S001/trackers/rmcardemo_usa_movement_T001.csv,vr driving simulator/MUAN14/S001/trackers/main_camera_movement_T001.csv
vr driving simulator,MUAN14,1,2,1,2,29.56378,42.04175,0,5,120.6834,True,vr driving simulator/MUAN14/S001/trackers/targetpole_movement_T002.csv,vr driving simulator/MUAN14/S001/trackers/rmcardemo_usa_movement_T002.csv,vr driving simulator/MUAN14/S001/trackers/main_camera_movement_T002.csv
vr driving simulator,MUAN14,1,3,1,3,42.04175,60.39925,0,6,104.4684,True,vr driving simulator/MUAN14/S001/trackers/targetpole_movement_T003.csv,vr driving simulator/MUAN14/S001/trackers/rmcardemo_usa_movement_T003.csv,vr driving simulator/MUAN14/S001/trackers/main_camera_movement_T003.csv
vr driving simulator,MUAN14,1,4,1,4,60.39925,76.11288,0,5,211.9048,True,vr driving simulator/MUAN14/S001/trackers/targetpole_movement_T004.csv,vr driving simulator/MUAN14/S001/trackers/rmcardemo_usa_movement_T004.csv,vr driving simulator/MUAN14/S001/trackers/main_camera_movement_T004.csv
vr driving simulator,MUAN14,1,5,1,5,76.11288,86.25909,0,4,108.4995,True,vr driving simulator/MUAN14/S001/trackers/targetpole_movement_T005.csv,vr driving simulator/MUAN14/S001/trackers/rmcardemo_usa_movement_T005.csv,vr driving simulator/MUAN14/S001/trackers/main_camera_movement_T005.csv
vr driving simulator,MUAN14,1,6,1,6,86.25909,96.50656,0,4,97.72651,True,vr driving simulator/MUAN14/S001/trackers/targetpole_movement_T006.csv,vr driving simulator/MUAN14/S001/trackers/rmcardemo_usa_movement_T006.csv,vr driving simulator/MUAN14/S001/trackers/main_camera_movement_T006.csv
vr driving simulator,MUAN14,1,7,1,7,96.50656,114.6197,0,6,178.4394,True,vr driving simulator/MUAN14/S001/trackers/targetpole_movement_T007.csv,vr driving simulator/MUAN14/S001/trackers/rmcardemo_usa_movement_T007.csv,vr driving simulator/MUAN14/S001/trackers/main_camera_movement_T007.csv
vr driving simulator,MUAN14,1,8,1,8,114.6197,124.6209,0,4,201.8546,True,vr driving simulator/MUAN14/S001/trackers/targetpole_movement_T008.csv,vr driving simulator/MUAN14/S001/trackers/rmcardemo_usa_movement_T008.csv,vr driving simulator/MUAN14/S001/trackers/main_camera_movement_T008.csv
vr driving simulator,MUAN14,1,9,1,9,124.6209,136.0681,0,5,239.3752,True,vr driving simulator/MUAN14/S001/trackers/targetpole_movement_T009.csv,vr driving simulator/MUAN14/S001/trackers/rmcardemo_usa_movement_T009.csv,vr driving simulator/MUAN14/S001/trackers/main_camera_movement_T009.csv
vr driving simulator,MUAN14,1,10,1,10,136.0681,145.9395,0,4,187.193,True,vr driving simulator/MUAN14/S001/trackers/targetpole_movement_T010.csv,vr driving simulator/MUAN14/S001/trackers/rmcardemo_usa_movement_T010.csv,vr driving simulator/MUAN14/S001/trackers/main_camera_movement_T010.csv
vr driving simulator,MUAN14,1,11,1,11,145.9395,161.8308,0,6,148.1571,True,vr driving simulator/MUAN14/S001/trackers/targetpole_movement_T011.csv,vr driving simulator/MUAN14/S001/trackers/rmcardemo_usa_movement_T011.csv,vr driving simulator/MUAN14/S001/trackers/main_camera_movement_T011.csv
vr driving simulator,MUAN14,1,12,1,12,161.8308,180.1551,0,6,218.4758,True,vr driving simulator/MUAN14/S001/trackers/targetpole_movement_T012.csv,vr driving simulator/MUAN14/S001/trackers/rmcardemo_usa_movement_T012.csv,vr driving simulator/MUAN14/S001/trackers/main_camera_movement_T012.csv
vr driving simulator,MUAN14,1,13,1,13,180.1551,196.4015,0,5,229.325,True,vr driving simulator/MUAN14/S001/trackers/targetpole_movement_T013.csv,vr driving simulator/MUAN14/S001/trackers/rmcardemo_usa_movement_T013.csv,vr driving simulator/MUAN14/S001/trackers/main_camera_movement_T013.csv
vr driving simulator,MUAN14,1,14,1,14,196.4015,208.9256,0,6,250.1755,True,vr driving simulator/MUAN14/S001/trackers/targetpole_movement_T014.csv,vr driving simulator/MUAN14/S001/trackers/rmcardemo_usa_movement_T014.csv,vr driving simulator/MUAN14/S001/trackers/main_camera_movement_T014.csv
vr driving simulator,MUAN14,1,15,1,15,208.9256,219.05,0,4,105.9413,True,vr driving simulator/MUAN14/S001/trackers/targetpole_movement_T015.csv,vr driving simulator/MUAN14/S001/trackers/rmcardemo_usa_movement_T015.csv,vr driving simulator/MUAN14/S001/trackers/main_camera_movement_T015.csv
vr driving simulator,MUAN14,1,16,1,16,219.05,229.285,0,4,266.3416,True,vr driving simulator/MUAN14/S001/trackers/targetpole_movement_T016.csv,vr driving simulator/MUAN14/S001/trackers/rmcardemo_usa_movement_T016.csv,vr driving simulator/MUAN14/S001/trackers/main_camera_movement_T016.csv
vr driving simulator,MUAN14,1,17,1,17,229.285,239.8435,0,5,227.9,True,vr driving simulator/MUAN14/S001/trackers/targetpole_movement_T017.csv,vr driving simulator/MUAN14/S001/trackers/rmcardemo_usa_movement_T017.csv,vr driving simulator/MUAN14/S001/trackers/main_camera_movement_T017.csv
vr driving simulator,MUAN14,1,18,1,18,239.8435,261.9332,0,6,98.56691,True,vr driving simulator/MUAN14/S001/trackers/targetpole_movement_T018.csv,vr driving simulator/MUAN14/S001/trackers/rmcardemo_usa_movement_T018.csv,vr driving simulator/MUAN14/S001/trackers/main_camera_movement_T018.csv
vr driving simulator,MUAN14,1,19,1,19,261.9332,272.1682,0,4,258.4251,True,vr driving simulator/MUAN14/S001/trackers/targetpole_movement_T019.csv,vr driving simulator/MUAN14/S001/trackers/rmcardemo_usa_movement_T019.csv,vr driving simulator/MUAN14/S001/trackers/main_camera_movement_T019.csv
vr driving simulator,MUAN14,1,20,1,20,272.1682,283.0697,0,5,125.9611,True,vr driving simulator/MUAN14/S001/trackers/targetpole_movement_T020.csv,vr driving simulator/MUAN14/S001/trackers/rmcardemo_usa_movement_T020.csv,vr driving simulator/MUAN14/S001/trackers/main_camera_movement_T020.csv
vr driving simulator,MUAN14,1,21,1,21,283.0697,294.0058,0,5,130.8991,True,vr driving simulator/MUAN14/S001/trackers/targetpole_movement_T021.csv,vr driving simulator/MUAN14/S001/trackers/rmcardemo_usa_movement_T021.csv,vr driving simulator/MUAN14/S001/trackers/main_camera_movement_T021.csv
vr driving simulator,MUAN14,1,22,1,22,294.0058,309.2641,0,6,153.3171,True,vr driving simulator/MUAN14/S001/trackers/targetpole_movement_T022.csv,vr driving simulator/MUAN14/S001/trackers/rmcardemo_usa_movement_T022.csv,vr driving simulator/MUAN14/S001/trackers/main_camera_movement_T022.csv
vr driving simulator,MUAN14,1,23,1,23,309.2641,320.1619,0,5,172.7916,True,vr driving simulator/MUAN14/S001/trackers/targetpole_movement_T023.csv,vr driving simulator/MUAN14/S001/trackers/rmcardemo_usa_movement_T023.csv,vr driving simulator/MUAN14/S001/trackers/main_camera_movement_T023.csv
vr driving simulator,MUAN14,1,24,1,24,320.1619,330.275,0,4,167.134,True,vr driving simulator/MUAN14/S001/trackers/targetpole_movement_T024.csv,vr driving simulator/MUAN14/S001/trackers/rmcardemo_usa_movement_T024.csv,vr driving simulator/MUAN14/S001/trackers/main_camera_movement_T024.csv
