time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,forward_direction
249.518,-0.273855,1.08985,0.153444,7.378136,343.7037,349.6386,(-0.3_ -0.1_ 1.0)
249.518,-0.273632,1.089869,0.153131,7.310504,343.7548,349.6445,(-0.3_ -0.1_ 1.0)
249.518,-0.273615,1.089873,0.153103,7.309967,343.7601,349.644,(-0.3_ -0.1_ 1.0)
249.518,-0.273591,1.089867,0.153072,7.297776,343.7505,349.6382,(-0.3_ -0.1_ 1.0)
249.518,-0.273583,1.089868,0.153044,7.294149,343.7535,349.6404,(-0.3_ -0.1_ 1.0)
249.518,-0.273558,1.08988,0.153019,7.283087,343.7409,349.6245,(-0.3_ -0.1_ 1.0)
249.518,-0.273543,1.089876,0.152988,7.276677,343.7376,349.6255,(-0.3_ -0.1_ 1.0)
249.518,-0.273521,1.089873,0.152977,7.262721,343.7321,349.6202,(-0.3_ -0.1_ 1.0)
249.518,-0.273504,1.089869,0.15295,7.260617,343.729,349.618,(-0.3_ -0.1_ 1.0)
249.518,-0.273468,1.089864,0.152941,7.253315,343.7165,349.6116,(-0.3_ -0.1_ 1.0)
249.518,-0.27344,1.089858,0.152925,7.255461,343.71,349.5956,(-0.3_ -0.1_ 1.0)
249.518,-0.273428,1.089848,0.152905,7.256576,343.7145,349.5935,(-0.3_ -0.1_ 1.0)
249.518,-0.273384,1.089835,0.152895,7.26237,343.7076,349.5854,(-0.3_ -0.1_ 1.0)
249.518,-0.273354,1.089828,0.15289,7.271485,343.7141,349.5718,(-0.3_ -0.1_ 1.0)
249.518,-0.273321,1.089819,0.152876,7.275578,343.7068,349.5719,(-0.3_ -0.1_ 1.0)
249.518,-0.273289,1.089814,0.15287,7.285171,343.7096,349.5678,(-0.3_ -0.1_ 1.0)
249.518,-0.273253,1.089803,0.152885,7.289754,343.7106,349.5579,(-0.3_ -0.1_ 1.0)
249.518,-0.273215,1.08981,0.152898,7.303479,343.7103,349.5455,(-0.3_ -0.1_ 1.0)
249.518,-0.273201,1.0898,0.152893,7.30102,343.7153,349.5463,(-0.3_ -0.1_ 1.0)
249.518,-0.273182,1.089797,0.152894,7.30605,343.7176,349.5472,(-0.3_ -0.1_ 1.0)
249.518,-0.273156,1.089797,0.152906,7.312481,343.7143,349.5408,(-0.3_ -0.1_ 1.0)
249.518,-0.273139,1.089796,0.152925,7.320605,343.7214,349.5462,(-0.3_ -0.1_ 1.0)
249.518,-0.273111,1.089794,0.152934,7.321935,343.7149,349.549,(-0.3_ -0.1_ 1.0)
249.518,-0.273094,1.089803,0.15296,7.318797,343.7207,349.5407,(-0.3_ -0.1_ 1.0)
249.518,-0.273076,1.089828,0.152974,7.32506,343.722,349.5338,(-0.3_ -0.1_ 1.0)
249.518,-0.273061,1.089873,0.153014,7.319372,343.7438,349.5345,(-0.3_ -0.1_ 1.0)
249.518,-0.273059,1.089945,0.153051,7.312635,343.7802,349.5471,(-0.3_ -0.1_ 1.0)
249.518,-0.273065,1.090023,0.153063,7.300355,343.8202,349.5855,(-0.3_ -0.1_ 1.0)
249.518,-0.273059,1.090084,0.153053,7.28737,343.8401,349.6326,(-0.3_ -0.1_ 1.0)
249.518,-0.273079,1.090197,0.153029,7.260472,343.8761,349.6895,(-0.3_ -0.1_ 1.0)
249.518,-0.273127,1.09032,0.153006,7.195317,343.9341,349.751,(-0.3_ -0.1_ 1.0)
249.518,-0.273168,1.09046,0.152975,7.114487,344.0022,349.854,(-0.3_ -0.1_ 1.0)
249.518,-0.273231,1.090642,0.152917,7.058556,344.0754,349.9148,(-0.3_ -0.1_ 1.0)
249.518,-0.273241,1.090771,0.152869,6.991736,344.1551,350.0737,(-0.3_ -0.1_ 1.0)
249.518,-0.273307,1.09091,0.152799,6.924107,344.3055,350.2273,(-0.3_ -0.1_ 1.0)
249.518,-0.273304,1.091069,0.152726,6.86729,344.4368,350.3715,(-0.3_ -0.1_ 1.0)
249.518,-0.273317,1.091232,0.15264,6.818751,344.6605,350.5628,(-0.3_ -0.1_ 1.0)
249.518,-0.273267,1.091397,0.152541,6.785818,344.8903,350.7696,(-0.3_ -0.1_ 1.0)
249.518,-0.273264,1.091542,0.152428,6.753824,345.2477,351.0031,(-0.3_ -0.1_ 1.0)
249.518,-0.273201,1.091717,0.152285,6.753733,345.5913,351.2262,(-0.2_ -0.1_ 1.0)
249.518,-0.273112,1.091814,0.152145,6.707702,346.0379,351.5308,(-0.2_ -0.1_ 1.0)
249.518,-0.27302,1.091933,0.151988,6.663011,346.5561,351.8337,(-0.2_ -0.1_ 1.0)
249.518,-0.272887,1.092095,0.151818,6.638872,347.1034,352.1565,(-0.2_ -0.1_ 1.0)
249.518,-0.272733,1.092277,0.151628,6.596282,347.7778,352.5382,(-0.2_ -0.1_ 1.0)
249.518,-0.272539,1.092461,0.15144,6.511127,348.4577,352.9138,(-0.2_ -0.1_ 1.0)
249.518,-0.272271,1.092684,0.15123,6.388701,349.1199,353.261,(-0.2_ -0.1_ 1.0)
249.518,-0.272127,1.0929,0.151035,6.240487,349.8846,353.609,(-0.2_ -0.1_ 1.0)
249.518,-0.271939,1.093162,0.150782,6.085477,350.5892,353.9239,(-0.2_ -0.1_ 1.0)
249.518,-0.271745,1.093359,0.150511,5.88786,351.2784,354.2661,(-0.2_ -0.1_ 1.0)
249.518,-0.271565,1.093638,0.150171,5.736341,351.9029,354.5248,(-0.1_ -0.1_ 1.0)
249.518,-0.271435,1.093859,0.149832,5.551044,352.555,354.7722,(-0.1_ -0.1_ 1.0)
249.518,-0.271294,1.094123,0.149414,5.409054,353.1372,354.9756,(-0.1_ -0.1_ 1.0)
249.518,-0.271148,1.09432,0.148994,5.208957,353.7092,355.2239,(-0.1_ -0.1_ 1.0)
249.518,-0.271066,1.094544,0.148503,5.012043,354.2541,355.4205,(-0.1_ -0.1_ 1.0)
249.518,-0.271003,1.094821,0.14798,4.845271,354.7527,355.6026,(-0.1_ -0.1_ 1.0)
249.518,-0.270984,1.095062,0.147445,4.608388,355.2119,355.7759,(-0.1_ -0.1_ 1.0)
249.518,-0.270993,1.095309,0.146896,4.359412,355.6817,355.9386,(-0.1_ -0.1_ 1.0)
249.518,-0.27098,1.0956,0.146265,4.158448,356.0709,356.1059,(-0.1_ -0.1_ 1.0)
249.518,-0.271024,1.095864,0.145632,3.932439,356.4561,356.2789,(-0.1_ -0.1_ 1.0)
249.518,-0.271093,1.096141,0.144979,3.72023,356.7959,356.4091,(-0.1_ -0.1_ 1.0)
249.518,-0.271207,1.096405,0.144299,3.480309,357.0974,356.5591,(-0.1_ -0.1_ 1.0)
249.518,-0.271365,1.096676,0.143615,3.224568,357.3727,356.6767,(0.0_ -0.1_ 1.0)
249.518,-0.271531,1.097019,0.142868,2.996067,357.5875,356.8011,(0.0_ -0.1_ 1.0)
249.518,-0.271728,1.097279,0.142172,2.697894,357.8206,356.9612,(0.0_ 0.0_ 1.0)
249.518,-0.271992,1.097614,0.14144,2.42641,358.0043,357.0403,(0.0_ 0.0_ 1.0)
249.518,-0.272158,1.097932,0.140666,2.167313,358.106,357.2238,(0.0_ 0.0_ 1.0)
249.518,-0.272419,1.098241,0.139913,1.887455,358.2333,357.3451,(0.0_ 0.0_ 1.0)
249.518,-0.272701,1.098526,0.139162,1.590534,358.3341,357.4992,(0.0_ 0.0_ 1.0)
249.518,-0.272963,1.098853,0.138397,1.30411,358.3779,357.6068,(0.0_ 0.0_ 1.0)
249.518,-0.273278,1.099176,0.137641,1.012217,358.4185,357.7198,(0.0_ 0.0_ 1.0)
249.518,-0.273559,1.099442,0.13691,0.685484,358.4221,357.8709,(0.0_ 0.0_ 1.0)
249.518,-0.27385,1.099739,0.136127,0.409422,358.3595,358.0383,(0.0_ 0.0_ 1.0)
249.518,-0.274192,1.09998,0.135389,0.096676,358.2612,358.1985,(0.0_ 0.0_ 1.0)
249.518,-0.274591,1.10018,0.134647,359.8038,358.0863,358.3718,(0.0_ 0.0_ 1.0)
249.518,-0.275027,1.100367,0.133877,359.5326,357.8616,358.5381,(0.0_ 0.0_ 1.0)
249.518,-0.275515,1.100546,0.133097,359.2886,357.6117,358.7052,(0.0_ 0.0_ 1.0)
249.518,-0.276015,1.100651,0.132298,359.0525,357.2666,358.9034,(0.0_ 0.0_ 1.0)
249.518,-0.276578,1.100763,0.13148,358.8527,356.9023,359.0789,(-0.1_ 0.0_ 1.0)
249.518,-0.277157,1.100819,0.130643,358.661,356.4667,359.2668,(-0.1_ 0.0_ 1.0)
249.518,-0.277808,1.100854,0.129815,358.4845,356.0121,359.436,(-0.1_ 0.0_ 1.0)
249.518,-0.278452,1.100913,0.12895,358.3491,355.4716,359.6573,(-0.1_ 0.0_ 1.0)
249.518,-0.279188,1.100992,0.128135,358.2073,354.8846,359.8064,(-0.1_ 0.0_ 1.0)
249.518,-0.279995,1.101079,0.127326,358.0468,354.3128,359.9231,(-0.1_ 0.0_ 1.0)
249.518,-0.280746,1.101169,0.126491,357.9026,353.6321,0.051356,(-0.1_ 0.0_ 1.0)
249.518,-0.281533,1.101195,0.125694,357.7546,352.9622,0.164453,(-0.1_ 0.0_ 1.0)
249.518,-0.282308,1.101196,0.124872,357.6547,352.2506,0.272844,(-0.1_ 0.0_ 1.0)
249.518,-0.28312,1.10116,0.124071,357.5804,351.5717,0.384845,(-0.1_ 0.0_ 1.0)
249.518,-0.283868,1.10111,0.123225,357.5677,350.8465,0.490457,(-0.2_ 0.0_ 1.0)
249.518,-0.284664,1.101003,0.122429,357.5648,350.1566,0.596577,(-0.2_ 0.0_ 1.0)
249.518,-0.285404,1.10092,0.121597,357.6306,349.4358,0.672831,(-0.2_ 0.0_ 1.0)
249.518,-0.286147,1.100749,0.12085,357.6737,348.7263,0.70175,(-0.2_ 0.0_ 1.0)
249.518,-0.286883,1.100594,0.120103,357.7353,348.065,0.718928,(-0.2_ 0.0_ 1.0)
249.518,-0.287579,1.100471,0.119358,357.8255,347.458,0.70009,(-0.2_ 0.0_ 1.0)
249.518,-0.288218,1.100312,0.118678,357.9032,346.8258,0.694753,(-0.2_ 0.0_ 1.0)
249.518,-0.288861,1.100183,0.118012,357.9899,346.2747,0.680492,(-0.2_ 0.0_ 1.0)
249.518,-0.289472,1.100068,0.11737,358.102,345.7126,0.648131,(-0.2_ 0.0_ 1.0)
249.518,-0.290027,1.099918,0.11679,358.1694,345.2077,0.653421,(-0.3_ 0.0_ 1.0)
249.518,-0.290561,1.099815,0.116219,358.2821,344.7193,0.624808,(-0.3_ 0.0_ 1.0)
249.518,-0.291087,1.099658,0.115725,358.3522,344.2383,0.604873,(-0.3_ 0.0_ 1.0)
249.518,-0.291596,1.099548,0.115267,358.4422,343.8171,0.591865,(-0.3_ 0.0_ 1.0)
249.518,-0.29207,1.099429,0.114853,358.5087,343.3828,0.572389,(-0.3_ 0.0_ 1.0)
249.518,-0.292512,1.099349,0.11448,358.5703,343.046,0.584162,(-0.3_ 0.0_ 1.0)
249.518,-0.292913,1.099271,0.114147,358.6438,342.6779,0.563063,(-0.3_ 0.0_ 1.0)
249.518,-0.293296,1.099184,0.11389,358.6808,342.3673,0.567832,(-0.3_ 0.0_ 1.0)
249.518,-0.293657,1.099146,0.113634,358.7469,342.0501,0.549954,(-0.3_ 0.0_ 1.0)
