experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,condition,targetspeed,map_rotation,hit,targetpole_movement_location_0,rmcardemo_usa_movement_location_0,main_camera_movement_location_0
vr driving simulator,NIJE15,3,1,1,1,9.501018,19.44524,2,4,243.6202,True,vr driving simulator/NIJE15/S003/trackers/targetpole_movement_T001.csv,vr driving simulator/NIJE15/S003/trackers/rmcardemo_usa_movement_T001.csv,vr driving simulator/NIJE15/S003/trackers/main_camera_movement_T001.csv
vr driving simulator,NIJE15,3,2,1,2,19.44524,32.83519,2,6,154.5499,True,vr driving simulator/NIJE15/S003/trackers/targetpole_movement_T002.csv,vr driving simulator/NIJE15/S003/trackers/rmcardemo_usa_movement_T002.csv,vr driving simulator/NIJE15/S003/trackers/main_camera_movement_T002.csv
vr driving simulator,NIJE15,3,3,1,3,32.83519,49.34679,2,6,189.7212,True,vr driving simulator/NIJE15/S003/trackers/targetpole_movement_T003.csv,vr driving simulator/NIJE15/S003/trackers/rmcardemo_usa_movement_T003.csv,vr driving simulator/NIJE15/S003/trackers/main_camera_movement_T003.csv
vr driving simulator,NIJE15,3,4,1,4,49.34679,59.60362,2,4,255.7344,True,vr driving simulator/NIJE15/S003/trackers/targetpole_movement_T004.csv,vr driving simulator/NIJE15/S003/trackers/rmcardemo_usa_movement_T004.csv,vr driving simulator/NIJE15/S003/trackers/main_camera_movement_T004.csv
vr driving simulator,NIJE15,3,5,1,5,59.60362,69.61517,2,4,241.2361,True,vr driving simulator/NIJE15/S003/trackers/targetpole_movement_T005.csv,vr driving simulator/NIJE15/S003/trackers/rmcardemo_usa_movement_T005.csv,vr driving simulator/NIJE15/S003/trackers/main_camera_movement_T005.csv
vr driving simulator,NIJE15,3,6,1,6,69.61517,87.08287,2,6,152.1517,True,vr driving simulator/NIJE15/S003/trackers/targetpole_movement_T006.csv,vr driving simulator/NIJE15/S003/trackers/rmcardemo_usa_movement_T006.csv,vr driving simulator/NIJE15/S003/trackers/main_camera_movement_T006.csv
vr driving simulator,NIJE15,3,7,1,7,87.08287,98.19537,2,5,269.0091,True,vr driving simulator/NIJE15/S003/trackers/targetpole_movement_T007.csv,vr driving simulator/NIJE15/S003/trackers/rmcardemo_usa_movement_T007.csv,vr driving simulator/NIJE15/S003/trackers/main_camera_movement_T007.csv
vr driving simulator,NIJE15,3,8,1,8,98.19537,120.8968,2,6,115.3398,True,vr driving simulator/NIJE15/S003/trackers/targetpole_movement_T008.csv,vr driving simulator/NIJE15/S003/trackers/rmcardemo_usa_movement_T008.csv,vr driving simulator/NIJE15/S003/trackers/main_camera_movement_T008.csv
vr driving simulator,NIJE15,3,9,1,9,120.8968,132.0636,2,5,251.2406,True,vr driving simulator/NIJE15/S003/trackers/targetpole_movement_T009.csv,vr driving simulator/NIJE15/S003/trackers/rmcardemo_usa_movement_T009.csv,vr driving simulator/NIJE15/S003/trackers/main_camera_movement_T009.csv
vr driving simulator,NIJE15,3,10,1,10,132.0636,142.1981,2,4,236.1761,True,vr driving simulator/NIJE15/S003/trackers/targetpole_movement_T010.csv,vr driving simulator/NIJE15/S003/trackers/rmcardemo_usa_movement_T010.csv,vr driving simulator/NIJE15/S003/trackers/main_camera_movement_T010.csv
vr driving simulator,NIJE15,3,11,1,11,142.1981,154.3218,2,6,157.6873,True,vr driving simulator/NIJE15/S003/trackers/targetpole_movement_T011.csv,vr driving simulator/NIJE15/S003/trackers/rmcardemo_usa_movement_T011.csv,vr driving simulator/NIJE15/S003/trackers/main_camera_movement_T011.csv
vr driving simulator,NIJE15,3,12,1,12,154.3218,164.7789,2,4,145.7538,True,vr driving simulator/NIJE15/S003/trackers/targetpole_movement_T012.csv,vr driving simulator/NIJE15/S003/trackers/rmcardemo_usa_movement_T012.csv,vr driving simulator/NIJE15/S003/trackers/main_camera_movement_T012.csv
vr driving simulator,NIJE15,3,13,1,13,164.7789,178.1021,2,5,112.4135,True,vr driving simulator/NIJE15/S003/trackers/targetpole_movement_T013.csv,vr driving simulator/NIJE15/S003/trackers/rmcardemo_usa_movement_T013.csv,vr driving simulator/NIJE15/S003/trackers/main_camera_movement_T013.csv
vr driving simulator,NIJE15,3,14,1,14,178.1021,208.1027,2,6,237.8962,False,vr driving simulator/NIJE15/S003/trackers/targetpole_movement_T014.csv,vr driving simulator/NIJE15/S003/trackers/rmcardemo_usa_movement_T014.csv,vr driving simulator/NIJE15/S003/trackers/main_camera_movement_T014.csv
vr driving simulator,NIJE15,3,15,1,15,208.1027,218.9818,2,5,105.6717,True,vr driving simulator/NIJE15/S003/trackers/targetpole_movement_T015.csv,vr driving simulator/NIJE15/S003/trackers/rmcardemo_usa_movement_T015.csv,vr driving simulator/NIJE15/S003/trackers/main_camera_movement_T015.csv
vr driving simulator,NIJE15,3,16,1,16,218.9818,228.8615,2,4,261.1721,True,vr driving simulator/NIJE15/S003/trackers/targetpole_movement_T016.csv,vr driving simulator/NIJE15/S003/trackers/rmcardemo_usa_movement_T016.csv,vr driving simulator/NIJE15/S003/trackers/main_camera_movement_T016.csv
vr driving simulator,NIJE15,3,17,1,17,228.8615,239.1963,2,4,115.5618,True,vr driving simulator/NIJE15/S003/trackers/targetpole_movement_T017.csv,vr driving simulator/NIJE15/S003/trackers/rmcardemo_usa_movement_T017.csv,vr driving simulator/NIJE15/S003/trackers/main_camera_movement_T017.csv
vr driving simulator,NIJE15,3,18,1,18,239.1963,249.4979,2,5,208.2463,True,vr driving simulator/NIJE15/S003/trackers/targetpole_movement_T018.csv,vr driving simulator/NIJE15/S003/trackers/rmcardemo_usa_movement_T018.csv,vr driving simulator/NIJE15/S003/trackers/main_camera_movement_T018.csv
vr driving simulator,NIJE15,3,19,1,19,249.4979,260.6215,2,5,255.1879,True,vr driving simulator/NIJE15/S003/trackers/targetpole_movement_T019.csv,vr driving simulator/NIJE15/S003/trackers/rmcardemo_usa_movement_T019.csv,vr driving simulator/NIJE15/S003/trackers/main_camera_movement_T019.csv
vr driving simulator,NIJE15,3,20,1,20,260.6215,270.6226,2,4,230.094,True,vr driving simulator/NIJE15/S003/trackers/targetpole_movement_T020.csv,vr driving simulator/NIJE15/S003/trackers/rmcardemo_usa_movement_T020.csv,vr driving simulator/NIJE15/S003/trackers/main_camera_movement_T020.csv
vr driving simulator,NIJE15,3,21,1,21,270.6226,300.6237,2,5,177.9118,False,vr driving simulator/NIJE15/S003/trackers/targetpole_movement_T021.csv,vr driving simulator/NIJE15/S003/trackers/rmcardemo_usa_movement_T021.csv,vr driving simulator/NIJE15/S003/trackers/main_camera_movement_T021.csv
vr driving simulator,NIJE15,3,22,1,22,300.6237,310.691,2,4,174.8571,True,vr driving simulator/NIJE15/S003/trackers/targetpole_movement_T022.csv,vr driving simulator/NIJE15/S003/trackers/rmcardemo_usa_movement_T022.csv,vr driving simulator/NIJE15/S003/trackers/main_camera_movement_T022.csv
vr driving simulator,NIJE15,3,23,1,23,310.691,323.5482,2,5,199.2315,True,vr driving simulator/NIJE15/S003/trackers/targetpole_movement_T023.csv,vr driving simulator/NIJE15/S003/trackers/rmcardemo_usa_movement_T023.csv,vr driving simulator/NIJE15/S003/trackers/main_camera_movement_T023.csv
vr driving simulator,NIJE15,3,24,1,24,323.5482,340.6384,2,6,154.7153,True,vr driving simulator/NIJE15/S003/trackers/targetpole_movement_T024.csv,vr driving simulator/NIJE15/S003/trackers/rmcardemo_usa_movement_T024.csv,vr driving simulator/NIJE15/S003/trackers/main_camera_movement_T024.csv
vr driving simulator,NIJE15,3,25,1,25,340.6384,353.6835,2,6,245.8464,True,vr driving simulator/NIJE15/S003/trackers/targetpole_movement_T025.csv,vr driving simulator/NIJE15/S003/trackers/rmcardemo_usa_movement_T025.csv,vr driving simulator/NIJE15/S003/trackers/main_camera_movement_T025.csv
vr driving simulator,NIJE15,3,26,1,26,353.6835,383.6848,2,6,91.61091,False,vr driving simulator/NIJE15/S003/trackers/targetpole_movement_T026.csv,vr driving simulator/NIJE15/S003/trackers/rmcardemo_usa_movement_T026.csv,vr driving simulator/NIJE15/S003/trackers/main_camera_movement_T026.csv
vr driving simulator,NIJE15,3,27,1,27,383.6848,394.2977,2,4,197.6953,True,vr driving simulator/NIJE15/S003/trackers/targetpole_movement_T027.csv,vr driving simulator/NIJE15/S003/trackers/rmcardemo_usa_movement_T027.csv,vr driving simulator/NIJE15/S003/trackers/main_camera_movement_T027.csv
vr driving simulator,NIJE15,3,28,1,28,394.2977,414.6658,2,6,166.9058,True,vr driving simulator/NIJE15/S003/trackers/targetpole_movement_T028.csv,vr driving simulator/NIJE15/S003/trackers/rmcardemo_usa_movement_T028.csv,vr driving simulator/NIJE15/S003/trackers/main_camera_movement_T028.csv
