time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,forward_direction
43.30366,-0.346548,1.141674,0.18314,1.33636,359.7407,4.256145,(0.0_ 0.0_ 1.0)
43.30366,-0.348025,1.141454,0.183844,1.561905,359.549,4.417041,(0.0_ 0.0_ 1.0)
43.30366,-0.348498,1.141431,0.184058,1.617942,359.4891,4.450829,(0.0_ 0.0_ 1.0)
43.30366,-0.348608,1.141414,0.184107,1.61365,359.4942,4.481325,(0.0_ 0.0_ 1.0)
43.30366,-0.34881,1.141412,0.184192,1.639982,359.4354,4.515185,(0.0_ 0.0_ 1.0)
43.30366,-0.348917,1.141402,0.184215,1.650097,359.4632,4.519847,(0.0_ 0.0_ 1.0)
43.30366,-0.349086,1.1414,0.184275,1.680377,359.4529,4.553514,(0.0_ 0.0_ 1.0)
43.30366,-0.349168,1.14137,0.184308,1.66884,359.4606,4.5561,(0.0_ 0.0_ 1.0)
43.30366,-0.349302,1.141344,0.184342,1.680542,359.4596,4.576057,(0.0_ 0.0_ 1.0)
43.30366,-0.349476,1.141297,0.184376,1.689595,359.4719,4.611649,(0.0_ 0.0_ 1.0)
43.30366,-0.34959,1.141261,0.184385,1.702949,359.4779,4.637538,(0.0_ 0.0_ 1.0)
43.30366,-0.349694,1.141235,0.184369,1.731563,359.4738,4.65725,(0.0_ 0.0_ 1.0)
43.30366,-0.349811,1.141219,0.184351,1.762825,359.4763,4.686037,(0.0_ 0.0_ 1.0)
43.30366,-0.34989,1.141199,0.184352,1.764766,359.4939,4.698326,(0.0_ 0.0_ 1.0)
43.30366,-0.349958,1.141185,0.184339,1.773233,359.4872,4.726505,(0.0_ 0.0_ 1.0)
43.30366,-0.350022,1.141165,0.184329,1.770183,359.49,4.753004,(0.0_ 0.0_ 1.0)
43.30366,-0.35008,1.14116,0.184303,1.779202,359.4933,4.777329,(0.0_ 0.0_ 1.0)
43.30366,-0.350123,1.14116,0.184278,1.782508,359.4919,4.782222,(0.0_ 0.0_ 1.0)
43.30366,-0.350174,1.14115,0.184246,1.771666,359.4953,4.797338,(0.0_ 0.0_ 1.0)
43.30366,-0.350213,1.14116,0.184211,1.771186,359.4992,4.812923,(0.0_ 0.0_ 1.0)
43.30366,-0.35024,1.141185,0.184157,1.752994,359.4878,4.831721,(0.0_ 0.0_ 1.0)
43.30366,-0.350266,1.141218,0.184113,1.724814,359.4857,4.85212,(0.0_ 0.0_ 1.0)
43.30366,-0.350282,1.141276,0.18406,1.669112,359.4702,4.881401,(0.0_ 0.0_ 1.0)
43.30366,-0.350294,1.141323,0.18403,1.611103,359.4551,4.895959,(0.0_ 0.0_ 1.0)
43.30366,-0.350324,1.141392,0.183999,1.59186,359.4679,4.923514,(0.0_ 0.0_ 1.0)
43.30366,-0.350321,1.141431,0.183963,1.545154,359.4363,4.933468,(0.0_ 0.0_ 1.0)
43.30366,-0.350334,1.141441,0.183948,1.515686,359.4206,4.943288,(0.0_ 0.0_ 1.0)
43.30366,-0.350328,1.141465,0.183946,1.471478,359.3678,4.939308,(0.0_ 0.0_ 1.0)
43.30366,-0.350362,1.141469,0.183968,1.448662,359.3529,4.931656,(0.0_ 0.0_ 1.0)
43.30366,-0.350384,1.141478,0.184027,1.392967,359.2687,4.895355,(0.0_ 0.0_ 1.0)
43.30366,-0.350433,1.141454,0.184104,1.353988,359.1954,4.869637,(0.0_ 0.0_ 1.0)
43.30366,-0.350471,1.141444,0.184147,1.395691,359.0773,4.84348,(0.0_ 0.0_ 1.0)
43.30366,-0.350541,1.14135,0.18423,1.399854,359.019,4.846571,(0.0_ 0.0_ 1.0)
43.30366,-0.350624,1.141261,0.184313,1.42916,358.9505,4.812685,(0.0_ 0.0_ 1.0)
43.30366,-0.350693,1.14121,0.184383,1.483411,358.8723,4.758563,(0.0_ 0.0_ 1.0)
43.30366,-0.350758,1.141149,0.18447,1.518893,358.7992,4.74404,(0.0_ 0.0_ 1.0)
43.30366,-0.350842,1.141107,0.184583,1.543236,358.7438,4.731489,(0.0_ 0.0_ 1.0)
43.30366,-0.350919,1.141076,0.184683,1.584823,358.6867,4.725556,(0.0_ 0.0_ 1.0)
43.30366,-0.350971,1.141056,0.184778,1.635982,358.6095,4.742822,(0.0_ 0.0_ 1.0)
43.30366,-0.351074,1.140987,0.184902,1.64415,358.572,4.746099,(0.0_ 0.0_ 1.0)
43.30366,-0.351172,1.140968,0.184999,1.698955,358.541,4.789499,(0.0_ 0.0_ 1.0)
43.30366,-0.351223,1.140947,0.185119,1.720213,358.4702,4.803648,(0.0_ 0.0_ 1.0)
43.30366,-0.351316,1.140957,0.185198,1.717448,358.4665,4.777608,(0.0_ 0.0_ 1.0)
43.30366,-0.35136,1.140967,0.185298,1.73478,358.432,4.798758,(0.0_ 0.0_ 1.0)
