experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,condition,targetspeed,map_rotation,hit,targetpole_movement_location_0,rmcardemo_usa_movement_location_0,main_camera_movement_location_0
vr driving simulator,RIMU08,1,1,1,1,7.730515,19.57568,2,4,246.5812,True,vr driving simulator/RIMU08/S001/trackers/targetpole_movement_T001.csv,vr driving simulator/RIMU08/S001/trackers/rmcardemo_usa_movement_T001.csv,vr driving simulator/RIMU08/S001/trackers/main_camera_movement_T001.csv
vr driving simulator,RIMU08,1,2,1,2,19.57568,31.19861,2,4,188.9048,True,vr driving simulator/RIMU08/S001/trackers/targetpole_movement_T002.csv,vr driving simulator/RIMU08/S001/trackers/rmcardemo_usa_movement_T002.csv,vr driving simulator/RIMU08/S001/trackers/main_camera_movement_T002.csv
vr driving simulator,RIMU08,1,3,1,3,31.19861,43.30366,2,4,145.7647,True,vr driving simulator/RIMU08/S001/trackers/targetpole_movement_T003.csv,vr driving simulator/RIMU08/S001/trackers/rmcardemo_usa_movement_T003.csv,vr driving simulator/RIMU08/S001/trackers/main_camera_movement_T003.csv
vr driving simulator,RIMU08,1,4,1,4,43.30366,60.69806,2,6,93.59656,True,vr driving simulator/RIMU08/S001/trackers/targetpole_movement_T004.csv,vr driving simulator/RIMU08/S001/trackers/rmcardemo_usa_movement_T004.csv,vr driving simulator/RIMU08/S001/trackers/main_camera_movement_T004.csv
vr driving simulator,RIMU08,1,5,1,5,60.69806,74.25804,2,5,150.1747,True,vr driving simulator/RIMU08/S001/trackers/targetpole_movement_T005.csv,vr driving simulator/RIMU08/S001/trackers/rmcardemo_usa_movement_T005.csv,vr driving simulator/RIMU08/S001/trackers/main_camera_movement_T005.csv
vr driving simulator,RIMU08,1,6,1,6,74.25804,84.85999,2,4,185.9404,True,vr driving simulator/RIMU08/S001/trackers/targetpole_movement_T006.csv,vr driving simulator/RIMU08/S001/trackers/rmcardemo_usa_movement_T006.csv,vr driving simulator/RIMU08/S001/trackers/main_camera_movement_T006.csv
vr driving simulator,RIMU08,1,7,1,7,84.85999,99.29472,2,5,217.185,True,vr driving simulator/RIMU08/S001/trackers/targetpole_movement_T007.csv,vr driving simulator/RIMU08/S001/trackers/rmcardemo_usa_movement_T007.csv,vr driving simulator/RIMU08/S001/trackers/main_camera_movement_T007.csv
vr driving simulator,RIMU08,1,8,1,8,99.29472,112.1641,2,5,96.89406,True,vr driving simulator/RIMU08/S001/trackers/targetpole_movement_T008.csv,vr driving simulator/RIMU08/S001/trackers/rmcardemo_usa_movement_T008.csv,vr driving simulator/RIMU08/S001/trackers/main_camera_movement_T008.csv
vr driving simulator,RIMU08,1,9,1,9,112.1641,124.8102,2,4,143.2554,True,vr driving simulator/RIMU08/S001/trackers/targetpole_movement_T009.csv,vr driving simulator/RIMU08/S001/trackers/rmcardemo_usa_movement_T009.csv,vr driving simulator/RIMU08/S001/trackers/main_camera_movement_T009.csv
vr driving simulator,RIMU08,1,10,1,10,124.8102,145.1576,2,5,267.9422,True,vr driving simulator/RIMU08/S001/trackers/targetpole_movement_T010.csv,vr driving simulator/RIMU08/S001/trackers/rmcardemo_usa_movement_T010.csv,vr driving simulator/RIMU08/S001/trackers/main_camera_movement_T010.csv
vr driving simulator,RIMU08,1,11,1,11,145.1576,172.3814,2,6,251.8905,False,vr driving simulator/RIMU08/S001/trackers/targetpole_movement_T011.csv,vr driving simulator/RIMU08/S001/trackers/rmcardemo_usa_movement_T011.csv,vr driving simulator/RIMU08/S001/trackers/main_camera_movement_T011.csv
vr driving simulator,RIMU08,1,12,1,12,172.3814,186.9843,2,6,179.7439,True,vr driving simulator/RIMU08/S001/trackers/targetpole_movement_T012.csv,vr driving simulator/RIMU08/S001/trackers/rmcardemo_usa_movement_T012.csv,vr driving simulator/RIMU08/S001/trackers/main_camera_movement_T012.csv
vr driving simulator,RIMU08,1,13,1,13,186.9843,196.9537,2,4,170.361,True,vr driving simulator/RIMU08/S001/trackers/targetpole_movement_T013.csv,vr driving simulator/RIMU08/S001/trackers/rmcardemo_usa_movement_T013.csv,vr driving simulator/RIMU08/S001/trackers/main_camera_movement_T013.csv
vr driving simulator,RIMU08,1,14,1,14,196.9537,209.2786,2,5,244.1895,True,vr driving simulator/RIMU08/S001/trackers/targetpole_movement_T014.csv,vr driving simulator/RIMU08/S001/trackers/rmcardemo_usa_movement_T014.csv,vr driving simulator/RIMU08/S001/trackers/main_camera_movement_T014.csv
vr driving simulator,RIMU08,1,15,1,15,209.2786,231.4036,2,6,101.1299,False,vr driving simulator/RIMU08/S001/trackers/targetpole_movement_T015.csv,vr driving simulator/RIMU08/S001/trackers/rmcardemo_usa_movement_T015.csv,vr driving simulator/RIMU08/S001/trackers/main_camera_movement_T015.csv
vr driving simulator,RIMU08,1,16,1,16,231.4036,261.4059,2,6,251.3516,False,vr driving simulator/RIMU08/S001/trackers/targetpole_movement_T016.csv,vr driving simulator/RIMU08/S001/trackers/rmcardemo_usa_movement_T016.csv,vr driving simulator/RIMU08/S001/trackers/main_camera_movement_T016.csv
vr driving simulator,RIMU08,1,17,1,17,261.4059,281.0298,2,6,261.4432,True,vr driving simulator/RIMU08/S001/trackers/targetpole_movement_T017.csv,vr driving simulator/RIMU08/S001/trackers/rmcardemo_usa_movement_T017.csv,vr driving simulator/RIMU08/S001/trackers/main_camera_movement_T017.csv
vr driving simulator,RIMU08,1,18,1,18,281.0298,293.1984,2,5,114.2794,True,vr driving simulator/RIMU08/S001/trackers/targetpole_movement_T018.csv,vr driving simulator/RIMU08/S001/trackers/rmcardemo_usa_movement_T018.csv,vr driving simulator/RIMU08/S001/trackers/main_camera_movement_T018.csv
