time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,forward_direction
404.7526,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
404.7526,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
404.7526,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
404.7526,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
404.7526,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
404.7526,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
404.7526,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
404.7526,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
404.7526,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
404.7526,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
404.7526,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
404.7526,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
404.7526,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
404.7526,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
404.7526,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
404.7526,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
404.7526,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
404.7526,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
404.7526,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
404.7526,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
404.7526,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
404.7526,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
404.7526,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
404.7526,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
404.7526,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
404.7526,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
404.7526,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
404.7526,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
404.7526,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
404.7526,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
404.7526,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
404.7526,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
404.7526,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
404.7526,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
404.7526,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
404.7526,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
404.7526,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
404.7526,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
404.7526,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
404.7526,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
404.7526,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
404.7526,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
404.7526,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
404.7526,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
404.7526,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
404.7526,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
404.7526,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
404.7526,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
404.7526,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
404.7526,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
404.7526,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
404.7526,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
404.7526,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
404.7526,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
404.7526,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
404.7639,0,0.00156,0.079263,0,0.000009,-0.000078,(0.0_ 0.0_ 1.0)
404.7752,0,0.00156,0.158281,0,0.000009,-0.000078,(0.0_ 0.0_ 1.0)
404.7866,0,0.003676,0.237966,0.000002,0.000059,-0.000377,(0.0_ 0.0_ 1.0)
404.8021,0,0.004123,0.346428,0.000002,0.000087,-0.000311,(0.0_ 0.0_ 1.0)
404.8096,0,0.004123,0.399439,0.000002,0.000087,-0.000311,(0.0_ 0.0_ 1.0)
404.8186,0,0.004123,0.462468,0.000002,0.000087,-0.000311,(0.0_ 0.0_ 1.0)
404.8302,0,0.006103,0.543472,0.000001,0.000111,-0.000184,(0.0_ 0.0_ 1.0)
404.8412,0,0.006215,0.620183,0.000001,0.000117,-0.000162,(0.0_ 0.0_ 1.0)
404.8528,0,0.006215,0.701484,0.000001,0.000117,-0.000162,(0.0_ 0.0_ 1.0)
404.8636,0,0.006536,0.777198,0.000001,0.000121,-0.000067,(0.0_ 0.0_ 1.0)
404.8747,0,0.006536,0.854678,0.000001,0.000121,-0.000067,(0.0_ 0.0_ 1.0)
404.8854,0.000001,0.006935,0.930117,0,0.000126,-0.00006,(0.0_ 0.0_ 1.0)
404.8975,0.000001,0.006935,1.014167,0,0.000126,-0.00006,(0.0_ 0.0_ 1.0)
404.9078,0.000001,0.007349,1.086402,0,0.000131,-0.000049,(0.0_ 0.0_ 1.0)
404.9191,0.000001,0.007349,1.165872,0,0.000131,-0.000049,(0.0_ 0.0_ 1.0)
404.9302,0.000001,0.007682,1.243558,0,0.000134,-0.000037,(0.0_ 0.0_ 1.0)
404.9414,0.000001,0.007704,1.32172,0,0.000136,-0.00003,(0.0_ 0.0_ 1.0)
404.9527,0.000002,0.007704,1.40072,0,0.000136,-0.00003,(0.0_ 0.0_ 1.0)
404.9637,0.000002,0.00776,1.478148,0,0.000139,-0.000022,(0.0_ 0.0_ 1.0)
404.9746,0.000002,0.00776,1.55409,0,0.000139,-0.000022,(0.0_ 0.0_ 1.0)
404.9858,0.000002,0.00783,1.632779,-0.000001,0.000144,-0.000011,(0.0_ 0.0_ 1.0)
404.9973,0.000002,0.00783,1.713316,-0.000001,0.000144,-0.000011,(0.0_ 0.0_ 1.0)
405.0101,0.000002,0.007916,1.802757,0,0.000149,-0.000008,(0.0_ 0.0_ 1.0)
405.0191,0.000003,0.007916,1.866061,0,0.000149,-0.000008,(0.0_ 0.0_ 1.0)
405.0305,0.000003,0.00796,1.945429,0,0.000152,-0.000007,(0.0_ 0.0_ 1.0)
405.0412,0.000003,0.007962,2.02047,0,0.000154,-0.000006,(0.0_ 0.0_ 1.0)
405.0526,0.000003,0.007962,2.099896,0,0.000154,-0.000006,(0.0_ 0.0_ 1.0)
405.0638,0.000003,0.007969,2.178211,0,0.000156,-0.000008,(0.0_ 0.0_ 1.0)
405.0747,0.000004,0.007969,2.255184,0,0.000156,-0.000008,(0.0_ 0.0_ 1.0)
405.0858,0.000004,0.007978,2.332844,0,0.000157,-0.000007,(0.0_ 0.0_ 1.0)
405.0975,0.000004,0.007978,2.414362,0,0.000157,-0.000007,(0.0_ 0.0_ 1.0)
405.1081,0.000004,0.007987,2.48892,0,0.000158,-0.000006,(0.0_ 0.0_ 1.0)
405.1196,0.000004,0.007987,2.569157,0,0.000158,-0.000006,(0.0_ 0.0_ 1.0)
405.1304,0.000005,0.007994,2.645123,0,0.000159,-0.000006,(0.0_ 0.0_ 1.0)
405.1421,0.000005,0.007995,2.726695,0,0.00016,-0.000005,(0.0_ 0.0_ 1.0)
405.1527,0.000005,0.007995,2.801189,0,0.00016,-0.000005,(0.0_ 0.0_ 1.0)
405.1644,0.000005,0.007996,2.882748,0,0.000161,-0.000007,(0.0_ 0.0_ 1.0)
405.1754,0.000006,0.007996,2.959827,0,0.000161,-0.000007,(0.0_ 0.0_ 1.0)
405.1858,0.000006,0.007997,3.032571,0,0.000162,-0.000007,(0.0_ 0.0_ 1.0)
405.1978,0.000006,0.007997,3.116866,0,0.000162,-0.000007,(0.0_ 0.0_ 1.0)
405.2103,0.000006,0.007999,3.204057,0,0.000163,-0.000006,(0.0_ 0.0_ 1.0)
405.2196,0.000006,0.007999,3.26925,0,0.000163,-0.000006,(0.0_ 0.0_ 1.0)
405.231,0.000007,0.007999,3.348799,0,0.000163,-0.000006,(0.0_ 0.0_ 1.0)
405.2421,0.000007,0.007999,3.426599,0,0.000164,-0.000006,(0.0_ 0.0_ 1.0)
405.2534,0.000007,0.007999,3.505631,0,0.000164,-0.000006,(0.0_ 0.0_ 1.0)
405.2648,0.000007,0.008,3.585486,0,0.000165,-0.000007,(0.0_ 0.0_ 1.0)
405.2755,0.000007,0.008,3.660896,0,0.000165,-0.000007,(0.0_ 0.0_ 1.0)
405.2861,0.000008,0.008,3.734674,0,0.000165,-0.000008,(0.0_ 0.0_ 1.0)
405.2978,0.000008,0.008,3.816711,0,0.000165,-0.000008,(0.0_ 0.0_ 1.0)
405.3084,0.000008,0.008,3.89082,0,0.000166,-0.000008,(0.0_ 0.0_ 1.0)
405.3198,0.000008,0.008,3.970509,0,0.000166,-0.000008,(0.0_ 0.0_ 1.0)
