time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,forward_direction
104.1304,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
104.1304,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
104.1304,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
104.1304,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
104.1304,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
104.1304,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
104.1304,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
104.1304,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
104.1304,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
104.1304,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
104.1304,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
104.1304,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
104.1304,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
104.1304,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
104.1304,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
104.1304,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
104.1304,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
104.1304,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
104.1304,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
104.1421,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
104.1558,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
104.1648,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
104.1755,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
104.1866,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
104.198,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
104.2085,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
104.2205,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
104.2315,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
104.2419,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
