time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,forward_direction
203.2895,-0.282956,1.128063,0.136625,3.791648,353.2671,359.9405,(-0.1_ -0.1_ 1.0)
203.2895,-0.282387,1.128484,0.137853,3.874348,353.7386,359.9924,(-0.1_ -0.1_ 1.0)
203.2895,-0.282214,1.128869,0.138551,3.942315,354.2724,359.9755,(-0.1_ -0.1_ 1.0)
203.2895,-0.282198,1.128927,0.138758,3.912074,354.4129,0.0275,(-0.1_ -0.1_ 1.0)
203.2895,-0.282101,1.128865,0.138892,3.890267,354.3993,0.104503,(-0.1_ -0.1_ 1.0)
203.2895,-0.282039,1.12875,0.139061,3.876138,354.4339,0.180268,(-0.1_ -0.1_ 1.0)
203.2895,-0.281924,1.128638,0.139258,3.907731,354.4696,0.30789,(-0.1_ -0.1_ 1.0)
203.2895,-0.281776,1.128563,0.139489,3.97707,354.5286,0.440718,(-0.1_ -0.1_ 1.0)
203.2895,-0.281683,1.128444,0.139676,3.970734,354.5434,0.467911,(-0.1_ -0.1_ 1.0)
203.2895,-0.281586,1.128382,0.139797,3.983497,354.4811,0.425049,(-0.1_ -0.1_ 1.0)
203.2895,-0.281463,1.128339,0.139993,4.036617,354.4625,0.420548,(-0.1_ -0.1_ 1.0)
203.2895,-0.281199,1.128252,0.140331,4.148852,354.4486,0.467368,(-0.1_ -0.1_ 1.0)
203.2895,-0.281084,1.128132,0.140516,4.137621,354.4403,0.461985,(-0.1_ -0.1_ 1.0)
203.2895,-0.280814,1.128062,0.140821,4.258927,354.3842,0.373745,(-0.1_ -0.1_ 1.0)
203.2895,-0.280675,1.127997,0.141062,4.32374,354.3839,0.303161,(-0.1_ -0.1_ 1.0)
203.2895,-0.280536,1.127955,0.141263,4.394791,354.3254,0.179262,(-0.1_ -0.1_ 1.0)
203.2895,-0.280417,1.12786,0.141482,4.431158,354.2921,0.094845,(-0.1_ -0.1_ 1.0)
203.2895,-0.280319,1.127776,0.141669,4.508318,354.259,0.006632,(-0.1_ -0.1_ 1.0)
203.2895,-0.280234,1.127665,0.141847,4.577053,354.2398,359.926,(-0.1_ -0.1_ 1.0)
203.2895,-0.280148,1.127537,0.141997,4.654019,354.2377,359.8572,(-0.1_ -0.1_ 1.0)
203.2895,-0.280084,1.127429,0.142109,4.776014,354.2601,359.7858,(-0.1_ -0.1_ 1.0)
203.2895,-0.279988,1.127282,0.142185,4.88779,354.2856,359.7541,(-0.1_ -0.1_ 1.0)
203.2895,-0.279924,1.127151,0.142224,5.011018,354.3394,359.7092,(-0.1_ -0.1_ 1.0)
203.2895,-0.279885,1.12701,0.142228,5.138488,354.4308,359.6953,(-0.1_ -0.1_ 1.0)
203.2895,-0.279854,1.126838,0.142242,5.212694,354.5141,359.6618,(-0.1_ -0.1_ 1.0)
203.2895,-0.279853,1.126749,0.142201,5.328983,354.6129,359.643,(-0.1_ -0.1_ 1.0)
203.2895,-0.279822,1.12668,0.142149,5.423305,354.6548,359.607,(-0.1_ -0.1_ 1.0)
203.2895,-0.279802,1.126635,0.142079,5.498991,354.714,359.6233,(-0.1_ -0.1_ 1.0)
203.2895,-0.27986,1.126551,0.142015,5.508996,354.7848,359.6003,(-0.1_ -0.1_ 1.0)
