time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,forward_direction
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.10548,0,0,0,0,0,0,(0.0_ 0.0_ 1.0)
78.11713,0,0,0.08154,0,0,0,(0.0_ 0.0_ 1.0)
78.13022,-0.000001,0.004088,0.173112,0.000001,0.000023,-0.000206,(0.0_ 0.0_ 1.0)
78.14341,-0.000001,0.004755,0.265456,0.000001,0.00005,-0.000362,(0.0_ 0.0_ 1.0)
78.14942,-0.000001,0.004755,0.307533,0.000001,0.00005,-0.000362,(0.0_ 0.0_ 1.0)
78.16089,-0.000001,0.004899,0.387792,0,0.000073,-0.000161,(0.0_ 0.0_ 1.0)
78.17178,0,0.004899,0.464029,0,0.000073,-0.000161,(0.0_ 0.0_ 1.0)
78.1828,0,0.005334,0.541215,0,0.000086,-0.000113,(0.0_ 0.0_ 1.0)
78.19489,0,0.005334,0.625799,0,0.000086,-0.000113,(0.0_ 0.0_ 1.0)
78.20521,0,0.006029,0.698063,0,0.0001,-0.000095,(0.0_ 0.0_ 1.0)
78.21682,0,0.006029,0.779325,0,0.0001,-0.000095,(0.0_ 0.0_ 1.0)
78.22731,0,0.00675,0.852781,0,0.000111,-0.000067,(0.0_ 0.0_ 1.0)
78.23916,0,0.00675,0.935682,0,0.000111,-0.000067,(0.0_ 0.0_ 1.0)
78.24982,0,0.007363,1.01029,0,0.000118,-0.000042,(0.0_ 0.0_ 1.0)
78.26135,0,0.007406,1.091033,0,0.000122,-0.000031,(0.0_ 0.0_ 1.0)
78.27281,0.000001,0.007406,1.171251,0,0.000122,-0.000031,(0.0_ 0.0_ 1.0)
78.28329,0.000001,0.007504,1.244604,0,0.000127,-0.000018,(0.0_ 0.0_ 1.0)
78.29448,0.000001,0.007504,1.32294,0,0.000127,-0.000018,(0.0_ 0.0_ 1.0)
78.30522,0.000001,0.007634,1.39816,0,0.000133,-0.000019,(0.0_ 0.0_ 1.0)
78.31702,0.000001,0.007634,1.480708,0,0.000133,-0.000019,(0.0_ 0.0_ 1.0)
78.32739,0.000001,0.007769,1.553362,0.000001,0.000139,-0.000018,(0.0_ 0.0_ 1.0)
78.33931,0.000002,0.007769,1.636749,0.000001,0.000139,-0.000018,(0.0_ 0.0_ 1.0)
78.35227,0.000002,0.007911,1.727508,0,0.000146,-0.000013,(0.0_ 0.0_ 1.0)
78.36148,0.000002,0.007918,1.79194,0,0.000148,-0.000009,(0.0_ 0.0_ 1.0)
78.37226,0.000002,0.007918,1.867419,0,0.000148,-0.000009,(0.0_ 0.0_ 1.0)
78.38344,0.000002,0.007932,1.94567,0,0.000151,-0.000007,(0.0_ 0.0_ 1.0)
78.39488,0.000002,0.007932,2.025788,0,0.000151,-0.000007,(0.0_ 0.0_ 1.0)
78.40627,0.000003,0.007953,2.105438,0,0.000154,-0.000008,(0.0_ 0.0_ 1.0)
78.41699,0.000003,0.007953,2.180557,0,0.000154,-0.000008,(0.0_ 0.0_ 1.0)
78.42772,0.000003,0.007971,2.255619,0,0.000156,-0.000007,(0.0_ 0.0_ 1.0)
78.4389,0.000003,0.007971,2.333859,0,0.000156,-0.000007,(0.0_ 0.0_ 1.0)
78.45012,0.000003,0.007986,2.412399,0,0.000157,-0.000006,(0.0_ 0.0_ 1.0)
78.46132,0.000004,0.007987,2.490819,0,0.000158,-0.000007,(0.0_ 0.0_ 1.0)
78.47236,0.000004,0.007987,2.568123,0,0.000158,-0.000007,(0.0_ 0.0_ 1.0)
78.48354,0.000004,0.007989,2.646399,0,0.000159,-0.000008,(0.0_ 0.0_ 1.0)
78.49492,0.000004,0.007989,2.726034,0,0.000159,-0.000008,(0.0_ 0.0_ 1.0)
78.50558,0.000004,0.007992,2.800689,0,0.00016,-0.000006,(0.0_ 0.0_ 1.0)
78.5176,0.000005,0.007992,2.884778,0,0.00016,-0.000006,(0.0_ 0.0_ 1.0)
78.52787,0.000005,0.007995,2.956675,0,0.000161,-0.000006,(0.0_ 0.0_ 1.0)
78.53925,0.000005,0.007995,3.036355,0,0.000161,-0.000006,(0.0_ 0.0_ 1.0)
78.55025,0.000005,0.007998,3.113377,0,0.000162,-0.000005,(0.0_ 0.0_ 1.0)
78.56359,0.000006,0.007998,3.206705,0,0.000162,-0.000004,(0.0_ 0.0_ 1.0)
78.57265,0.000006,0.007998,3.270097,0,0.000162,-0.000004,(0.0_ 0.0_ 1.0)
78.58376,0.000006,0.007999,3.347862,0,0.000163,-0.000005,(0.0_ 0.0_ 1.0)
78.59466,0.000006,0.007999,3.424193,0,0.000163,-0.000005,(0.0_ 0.0_ 1.0)
78.60564,0.000006,0.007999,3.501102,0,0.000164,-0.000005,(0.0_ 0.0_ 1.0)
78.61687,0.000007,0.007999,3.579733,0,0.000164,-0.000005,(0.0_ 0.0_ 1.0)
78.62789,0.000007,0.007999,3.656823,0,0.000165,-0.000004,(0.0_ 0.0_ 1.0)
78.63957,0.000007,0.007999,3.738574,0,0.000165,-0.000004,(0.0_ 0.0_ 1.0)
78.65051,0.000007,0.008,3.815138,0,0.000165,-0.000005,(0.0_ 0.0_ 1.0)
78.66155,0.000008,0.008,3.892431,0,0.000166,-0.000004,(0.0_ 0.0_ 1.0)
78.67259,0.000008,0.008,3.969737,0,0.000166,-0.000004,(0.0_ 0.0_ 1.0)
78.68357,0.000008,0.008,4.046569,0,0.000167,-0.000007,(0.0_ 0.0_ 1.0)
78.69497,0.000008,0.008,4.126359,0,0.000167,-0.000007,(0.0_ 0.0_ 1.0)
78.70581,0.000008,0.008,4.202271,0,0.000167,-0.000006,(0.0_ 0.0_ 1.0)
78.71727,0.000009,0.008,4.282487,0,0.000167,-0.000006,(0.0_ 0.0_ 1.0)
78.72889,0.000009,0.008,4.363798,0,0.000168,-0.000007,(0.0_ 0.0_ 1.0)
78.73968,0.000009,0.008,4.439316,0,0.000168,-0.000007,(0.0_ 0.0_ 1.0)
78.75032,0.000009,0.008,4.513823,0,0.000169,-0.000006,(0.0_ 0.0_ 1.0)
78.76405,0.00001,0.007993,4.609927,0.000005,0.000168,0.000587,(0.0_ 0.0_ 1.0)
78.7729,0.00001,0.007993,4.671875,0.000005,0.000168,0.000587,(0.0_ 0.0_ 1.0)
78.78381,0.00001,0.007992,4.748241,0.000027,0.000165,0.002158,(0.0_ 0.0_ 1.0)
78.79518,0.00001,0.007992,4.827848,0.000027,0.000165,0.002158,(0.0_ 0.0_ 1.0)
78.80581,0.00001,0.007986,4.902233,0.000044,0.000174,-0.000113,(0.0_ 0.0_ 1.0)
78.81741,0.000011,0.007986,4.983465,0.000044,0.000174,-0.000113,(0.0_ 0.0_ 1.0)
78.82819,0.000011,0.007983,5.058865,0.000046,0.000179,0.000592,(0.0_ 0.0_ 1.0)
78.83971,0.000011,0.007983,5.139527,0.000046,0.000179,0.000592,(0.0_ 0.0_ 1.0)
78.85098,0.000011,0.007979,5.218429,0.000049,0.000183,0.000344,(0.0_ 0.0_ 1.0)
78.86189,0.000012,0.007978,5.294858,0.000054,0.000184,0.001702,(0.0_ 0.0_ 1.0)
78.87302,0.000012,0.007978,5.372717,0.000054,0.000184,0.001702,(0.0_ 0.0_ 1.0)
78.8843,0.000012,0.007978,5.451708,0.000044,0.000181,-0.001129,(0.0_ 0.0_ 1.0)
78.89536,0.000012,0.007978,5.529056,0.000044,0.000181,-0.001129,(0.0_ 0.0_ 1.0)
78.90609,0.000013,0.007977,5.604243,0.000051,0.000183,0.000825,(0.0_ 0.0_ 1.0)
78.91783,0.000013,0.007977,5.686387,0.000051,0.000183,0.000825,(0.0_ 0.0_ 1.0)
78.92845,0.000013,0.007976,5.760744,0.000047,0.00018,-0.000292,(0.0_ 0.0_ 1.0)
78.94014,0.000014,0.007976,5.84256,0.000055,0.000183,0.002058,(0.0_ 0.0_ 1.0)
78.95078,0.000014,0.007976,5.917029,0.000055,0.000183,0.002058,(0.0_ 0.0_ 1.0)
78.96442,0.000014,0.007976,6.012548,0.000047,0.000176,-0.001141,(0.0_ 0.0_ 1.0)
78.97319,0.000014,0.007976,6.073897,0.000047,0.000176,-0.001141,(0.0_ 0.0_ 1.0)
78.98431,0.000015,0.007976,6.151814,0.000054,0.000179,0.001191,(0.0_ 0.0_ 1.0)
78.99553,0.000015,0.007975,6.230314,0.000054,0.000179,0.001191,(0.0_ 0.0_ 1.0)
79.00651,0.000015,0.007975,6.307146,0.000047,0.000174,-0.000713,(0.0_ 0.0_ 1.0)
79.01797,0.000015,0.007975,6.38739,0.000047,0.000174,-0.000713,(0.0_ 0.0_ 1.0)
79.02846,0.000015,0.007975,6.460772,0.00005,0.000175,0.000331,(0.0_ 0.0_ 1.0)
79.04079,0.000016,0.007975,6.547131,0.000043,0.000169,-0.001907,(0.0_ 0.0_ 1.0)
79.05145,0.000016,0.007975,6.621702,0.000043,0.000169,-0.001907,(0.0_ 0.0_ 1.0)
79.06184,0.000016,0.007975,6.694513,0.000055,0.000175,0.001709,(0.0_ 0.0_ 1.0)
79.0733,0.000016,0.007975,6.774721,0.000055,0.000175,0.001709,(0.0_ 0.0_ 1.0)
79.08436,0.000017,0.007975,6.85211,0.000045,0.000168,-0.001167,(0.0_ 0.0_ 1.0)
79.09584,0.000017,0.007975,6.932455,0.000045,0.000168,-0.001167,(0.0_ 0.0_ 1.0)
79.10638,0.000017,0.007975,7.006233,0.000052,0.00017,0.000765,(0.0_ 0.0_ 1.0)
79.11773,0.000017,0.007975,7.085701,0.000052,0.00017,0.000765,(0.0_ 0.0_ 1.0)
79.12875,0.000018,0.007975,7.162883,0.000049,0.000167,-0.000251,(0.0_ 0.0_ 1.0)
79.14017,0.000018,0.007975,7.242794,0.000057,0.000171,0.002059,(0.0_ 0.0_ 1.0)
79.15122,0.000018,0.007975,7.320161,0.000057,0.000171,0.002059,(0.0_ 0.0_ 1.0)
79.16422,0.000018,0.007975,7.4111,0.000045,0.000163,-0.001197,(0.0_ 0.0_ 1.0)
79.17318,0.000019,0.007975,7.473845,0.000045,0.000163,-0.001197,(0.0_ 0.0_ 1.0)
79.18423,0.000019,0.007975,7.551171,0.000053,0.000166,0.001215,(0.0_ 0.0_ 1.0)
