time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,forward_direction
137.3095,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
137.3095,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
137.3095,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
137.3095,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
137.3095,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
137.3095,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
137.3095,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
137.3095,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
137.3095,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
137.3095,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
137.3095,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
137.3095,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
137.3095,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
137.3095,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
137.3095,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
137.3095,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
137.3095,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
137.3095,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
137.3095,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
137.3095,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
137.3095,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
137.3095,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
137.3095,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
137.3095,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
137.3095,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
137.3095,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
137.3095,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
137.3095,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
137.3095,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
137.3095,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
137.3095,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
137.3095,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
137.3095,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
137.3095,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
137.3095,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
137.3095,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
137.3095,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
137.3095,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
137.3095,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
137.3095,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
137.3095,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
137.3095,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
137.3095,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
137.3208,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
137.335,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
137.3445,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
137.3542,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
137.3649,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
137.3769,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
137.3869,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
137.3981,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
137.4093,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
137.4209,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
137.4316,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
137.4428,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
137.454,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
137.4651,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
137.4785,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
137.487,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
137.4987,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
