experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,condition,targetspeed,map_rotation,hit,targetpole_movement_location_0,rmcardemo_usa_movement_location_0,main_camera_movement_location_0
vr driving simulator,STBE06,2,1,1,1,10.0248,20.27839,1,4,184.8911,True,vr driving simulator/STBE06/S002/trackers/targetpole_movement_T001.csv,vr driving simulator/STBE06/S002/trackers/rmcardemo_usa_movement_T001.csv,vr driving simulator/STBE06/S002/trackers/main_camera_movement_T001.csv
vr driving simulator,STBE06,2,2,1,2,20.27839,35.41382,1,6,194.9445,True,vr driving simulator/STBE06/S002/trackers/targetpole_movement_T002.csv,vr driving simulator/STBE06/S002/trackers/rmcardemo_usa_movement_T002.csv,vr driving simulator/STBE06/S002/trackers/main_camera_movement_T002.csv
vr driving simulator,STBE06,2,3,1,3,35.41382,50.79151,1,6,107.8305,True,vr driving simulator/STBE06/S002/trackers/targetpole_movement_T003.csv,vr driving simulator/STBE06/S002/trackers/rmcardemo_usa_movement_T003.csv,vr driving simulator/STBE06/S002/trackers/main_camera_movement_T003.csv
vr driving simulator,STBE06,2,4,1,4,50.79151,67.60422,1,6,149.2919,True,vr driving simulator/STBE06/S002/trackers/targetpole_movement_T004.csv,vr driving simulator/STBE06/S002/trackers/rmcardemo_usa_movement_T004.csv,vr driving simulator/STBE06/S002/trackers/main_camera_movement_T004.csv
vr driving simulator,STBE06,2,5,1,5,67.60422,78.10548,1,4,180.1577,True,vr driving simulator/STBE06/S002/trackers/targetpole_movement_T005.csv,vr driving simulator/STBE06/S002/trackers/rmcardemo_usa_movement_T005.csv,vr driving simulator/STBE06/S002/trackers/main_camera_movement_T005.csv
vr driving simulator,STBE06,2,6,1,6,78.10548,90.1418,1,5,235.3598,True,vr driving simulator/STBE06/S002/trackers/targetpole_movement_T006.csv,vr driving simulator/STBE06/S002/trackers/rmcardemo_usa_movement_T006.csv,vr driving simulator/STBE06/S002/trackers/main_camera_movement_T006.csv
vr driving simulator,STBE06,2,7,1,7,90.1418,102.7006,1,5,192.0042,True,vr driving simulator/STBE06/S002/trackers/targetpole_movement_T007.csv,vr driving simulator/STBE06/S002/trackers/rmcardemo_usa_movement_T007.csv,vr driving simulator/STBE06/S002/trackers/main_camera_movement_T007.csv
vr driving simulator,STBE06,2,8,1,8,102.7006,113.1256,1,4,210.6969,True,vr driving simulator/STBE06/S002/trackers/targetpole_movement_T008.csv,vr driving simulator/STBE06/S002/trackers/rmcardemo_usa_movement_T008.csv,vr driving simulator/STBE06/S002/trackers/main_camera_movement_T008.csv
vr driving simulator,STBE06,2,9,1,9,113.1256,125.4507,1,5,168.516,True,vr driving simulator/STBE06/S002/trackers/targetpole_movement_T009.csv,vr driving simulator/STBE06/S002/trackers/rmcardemo_usa_movement_T009.csv,vr driving simulator/STBE06/S002/trackers/main_camera_movement_T009.csv
vr driving simulator,STBE06,2,10,1,10,125.4507,137.3095,1,5,118.8844,True,vr driving simulator/STBE06/S002/trackers/targetpole_movement_T010.csv,vr driving simulator/STBE06/S002/trackers/rmcardemo_usa_movement_T010.csv,vr driving simulator/STBE06/S002/trackers/main_camera_movement_T010.csv
vr driving simulator,STBE06,2,11,1,11,137.3095,148.4024,1,5,175.8413,True,vr driving simulator/STBE06/S002/trackers/targetpole_movement_T011.csv,vr driving simulator/STBE06/S002/trackers/rmcardemo_usa_movement_T011.csv,vr driving simulator/STBE06/S002/trackers/main_camera_movement_T011.csv
vr driving simulator,STBE06,2,12,1,12,148.4024,160.0276,1,5,95.39619,True,vr driving simulator/STBE06/S002/trackers/targetpole_movement_T012.csv,vr driving simulator/STBE06/S002/trackers/rmcardemo_usa_movement_T012.csv,vr driving simulator/STBE06/S002/trackers/main_camera_movement_T012.csv
vr driving simulator,STBE06,2,13,1,13,160.0276,171.8736,1,5,117.2199,True,vr driving simulator/STBE06/S002/trackers/targetpole_movement_T013.csv,vr driving simulator/STBE06/S002/trackers/rmcardemo_usa_movement_T013.csv,vr driving simulator/STBE06/S002/trackers/main_camera_movement_T013.csv
vr driving simulator,STBE06,2,14,1,14,171.8736,188.8437,1,6,105.8666,True,vr driving simulator/STBE06/S002/trackers/targetpole_movement_T014.csv,vr driving simulator/STBE06/S002/trackers/rmcardemo_usa_movement_T014.csv,vr driving simulator/STBE06/S002/trackers/main_camera_movement_T014.csv
vr driving simulator,STBE06,2,15,1,15,188.8437,203.2895,1,6,184.4317,True,vr driving simulator/STBE06/S002/trackers/targetpole_movement_T015.csv,vr driving simulator/STBE06/S002/trackers/rmcardemo_usa_movement_T015.csv,vr driving simulator/STBE06/S002/trackers/main_camera_movement_T015.csv
vr driving simulator,STBE06,2,16,1,16,203.2895,217.4144,1,6,149.9309,True,vr driving simulator/STBE06/S002/trackers/targetpole_movement_T016.csv,vr driving simulator/STBE06/S002/trackers/rmcardemo_usa_movement_T016.csv,vr driving simulator/STBE06/S002/trackers/main_camera_movement_T016.csv
vr driving simulator,STBE06,2,17,1,17,217.4144,227.6384,1,4,153.0999,True,vr driving simulator/STBE06/S002/trackers/targetpole_movement_T017.csv,vr driving simulator/STBE06/S002/trackers/rmcardemo_usa_movement_T017.csv,vr driving simulator/STBE06/S002/trackers/main_camera_movement_T017.csv
