time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,forward_direction
447.9918,-0.288192,1.153293,0.140381,2.444071,344.7337,1.93162,(-0.3_ 0.0_ 1.0)
447.9918,-0.290439,1.153418,0.13905,2.449402,344.851,2.283916,(-0.3_ 0.0_ 1.0)
447.9918,-0.291324,1.153487,0.138612,2.449462,344.8147,2.448284,(-0.3_ 0.0_ 1.0)
447.9918,-0.291576,1.153487,0.138464,2.440674,344.7938,2.480407,(-0.3_ 0.0_ 1.0)
447.9918,-0.291907,1.153489,0.138242,2.456551,344.742,2.53436,(-0.3_ 0.0_ 1.0)
447.9918,-0.29219,1.153471,0.138084,2.451472,344.709,2.563853,(-0.3_ 0.0_ 1.0)
447.9918,-0.29247,1.153509,0.137875,2.490846,344.6747,2.597913,(-0.3_ 0.0_ 1.0)
447.9918,-0.29277,1.153473,0.137724,2.457744,344.6807,2.652375,(-0.3_ 0.0_ 1.0)
447.9918,-0.292975,1.15352,0.13756,2.489531,344.6199,2.664262,(-0.3_ 0.0_ 1.0)
447.9918,-0.293271,1.153504,0.137392,2.471123,344.5862,2.727727,(-0.3_ 0.0_ 1.0)
447.9918,-0.293463,1.153528,0.137254,2.490482,344.5687,2.747501,(-0.3_ 0.0_ 1.0)
447.9918,-0.293643,1.153512,0.137155,2.479857,344.5879,2.752301,(-0.3_ 0.0_ 1.0)
447.9918,-0.293954,1.153502,0.136925,2.512551,344.5197,2.804081,(-0.3_ 0.0_ 1.0)
447.9918,-0.294108,1.153474,0.136828,2.506053,344.5294,2.815301,(-0.3_ 0.0_ 1.0)
447.9918,-0.29429,1.153454,0.136721,2.499857,344.5392,2.82265,(-0.3_ 0.0_ 1.0)
447.9918,-0.29455,1.153443,0.13657,2.50912,344.5553,2.846018,(-0.3_ 0.0_ 1.0)
447.9918,-0.294723,1.153452,0.136467,2.512098,344.5587,2.849226,(-0.3_ 0.0_ 1.0)
447.9918,-0.294975,1.153437,0.136333,2.516735,344.5584,2.873346,(-0.3_ 0.0_ 1.0)
447.9918,-0.295229,1.153422,0.136208,2.519815,344.5819,2.893207,(-0.3_ 0.0_ 1.0)
447.9918,-0.29549,1.153406,0.13606,2.524382,344.5974,2.913039,(-0.3_ 0.0_ 1.0)
447.9918,-0.295714,1.15338,0.13592,2.538455,344.6113,2.938027,(-0.3_ 0.0_ 1.0)
447.9918,-0.29597,1.153356,0.135762,2.556632,344.6254,2.967593,(-0.3_ 0.0_ 1.0)
447.9918,-0.29631,1.153337,0.135596,2.579013,344.6789,2.993689,(-0.3_ 0.0_ 1.0)
447.9918,-0.296527,1.153311,0.135481,2.577885,344.7034,3.025525,(-0.3_ 0.0_ 1.0)
447.9918,-0.296801,1.153291,0.135348,2.571673,344.7346,3.051711,(-0.3_ 0.0_ 1.0)
447.9918,-0.297108,1.153268,0.135214,2.575898,344.7822,3.08404,(-0.3_ 0.0_ 1.0)
447.9918,-0.297318,1.153268,0.135088,2.606509,344.7734,3.122468,(-0.3_ 0.0_ 1.0)
447.9918,-0.297572,1.153245,0.134968,2.612175,344.7992,3.155353,(-0.3_ 0.0_ 1.0)
447.9918,-0.297966,1.153199,0.134793,2.621611,344.8298,3.244836,(-0.3_ 0.0_ 1.0)
447.9918,-0.298224,1.153216,0.134662,2.642238,344.8403,3.285337,(-0.3_ 0.0_ 1.0)
447.9918,-0.298547,1.15322,0.134505,2.654068,344.8444,3.347454,(-0.3_ 0.0_ 1.0)
447.9918,-0.298817,1.15321,0.134408,2.63597,344.8602,3.383482,(-0.3_ 0.0_ 1.0)
447.9918,-0.299181,1.153252,0.134245,2.656139,344.8598,3.453155,(-0.3_ 0.0_ 1.0)
447.9918,-0.299492,1.153271,0.13411,2.65018,344.8618,3.502363,(-0.3_ 0.0_ 1.0)
447.9918,-0.299796,1.15327,0.133987,2.64757,344.8614,3.567855,(-0.3_ 0.0_ 1.0)
447.9918,-0.300086,1.15329,0.133847,2.666498,344.8258,3.600367,(-0.3_ 0.0_ 1.0)
447.9918,-0.300409,1.15325,0.133726,2.660998,344.8444,3.687908,(-0.3_ 0.0_ 1.0)
447.9918,-0.300719,1.153261,0.133564,2.712357,344.8335,3.736795,(-0.3_ 0.0_ 1.0)
447.9918,-0.301001,1.153229,0.133418,2.736162,344.8279,3.807518,(-0.3_ 0.0_ 1.0)
447.9918,-0.301304,1.153179,0.133279,2.745197,344.8396,3.845475,(-0.3_ 0.0_ 1.0)
