experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,condition,targetspeed,map_rotation,hit,targetpole_movement_location_0,rmcardemo_usa_movement_location_0,main_camera_movement_location_0
vr driving simulator,SUZI05,3,1,1,1,13.70073,28.16754,2,6,223.709,True,vr driving simulator/SUZI05/S003/trackers/targetpole_movement_T001.csv,vr driving simulator/SUZI05/S003/trackers/rmcardemo_usa_movement_T001.csv,vr driving simulator/SUZI05/S003/trackers/main_camera_movement_T001.csv
vr driving simulator,SUZI05,3,2,1,2,28.16754,41.31443,2,6,255.1692,True,vr driving simulator/SUZI05/S003/trackers/targetpole_movement_T002.csv,vr driving simulator/SUZI05/S003/trackers/rmcardemo_usa_movement_T002.csv,vr driving simulator/SUZI05/S003/trackers/main_camera_movement_T002.csv
vr driving simulator,SUZI05,3,3,1,3,41.31443,51.59422,2,4,230.0753,True,vr driving simulator/SUZI05/S003/trackers/targetpole_movement_T003.csv,vr driving simulator/SUZI05/S003/trackers/rmcardemo_usa_movement_T003.csv,vr driving simulator/SUZI05/S003/trackers/main_camera_movement_T003.csv
vr driving simulator,SUZI05,3,4,1,4,51.59422,62.07399,2,4,223.636,True,vr driving simulator/SUZI05/S003/trackers/targetpole_movement_T004.csv,vr driving simulator/SUZI05/S003/trackers/rmcardemo_usa_movement_T004.csv,vr driving simulator/SUZI05/S003/trackers/main_camera_movement_T004.csv
vr driving simulator,SUZI05,3,5,1,5,62.07399,73.39876,2,5,238.5753,True,vr driving simulator/SUZI05/S003/trackers/targetpole_movement_T005.csv,vr driving simulator/SUZI05/S003/trackers/rmcardemo_usa_movement_T005.csv,vr driving simulator/SUZI05/S003/trackers/main_camera_movement_T005.csv
vr driving simulator,SUZI05,3,6,1,6,73.39876,85.14532,2,5,106.1112,True,vr driving simulator/SUZI05/S003/trackers/targetpole_movement_T006.csv,vr driving simulator/SUZI05/S003/trackers/rmcardemo_usa_movement_T006.csv,vr driving simulator/SUZI05/S003/trackers/main_camera_movement_T006.csv
vr driving simulator,SUZI05,3,7,1,7,85.14532,96.54817,2,5,220.7828,True,vr driving simulator/SUZI05/S003/trackers/targetpole_movement_T007.csv,vr driving simulator/SUZI05/S003/trackers/rmcardemo_usa_movement_T007.csv,vr driving simulator/SUZI05/S003/trackers/main_camera_movement_T007.csv
vr driving simulator,SUZI05,3,8,1,8,96.54817,124.952,2,6,124.0463,True,vr driving simulator/SUZI05/S003/trackers/targetpole_movement_T008.csv,vr driving simulator/SUZI05/S003/trackers/rmcardemo_usa_movement_T008.csv,vr driving simulator/SUZI05/S003/trackers/main_camera_movement_T008.csv
vr driving simulator,SUZI05,3,9,1,9,124.952,154.9544,2,6,93.88921,False,vr driving simulator/SUZI05/S003/trackers/targetpole_movement_T009.csv,vr driving simulator/SUZI05/S003/trackers/rmcardemo_usa_movement_T009.csv,vr driving simulator/SUZI05/S003/trackers/main_camera_movement_T009.csv
vr driving simulator,SUZI05,3,10,1,10,154.9544,165.3673,2,5,184.2626,True,vr driving simulator/SUZI05/S003/trackers/targetpole_movement_T010.csv,vr driving simulator/SUZI05/S003/trackers/rmcardemo_usa_movement_T010.csv,vr driving simulator/SUZI05/S003/trackers/main_camera_movement_T010.csv
vr driving simulator,SUZI05,3,11,1,11,165.3673,175.6699,2,4,103.2231,True,vr driving simulator/SUZI05/S003/trackers/targetpole_movement_T011.csv,vr driving simulator/SUZI05/S003/trackers/rmcardemo_usa_movement_T011.csv,vr driving simulator/SUZI05/S003/trackers/main_camera_movement_T011.csv
vr driving simulator,SUZI05,3,12,1,12,175.6699,185.9953,2,4,225.3452,True,vr driving simulator/SUZI05/S003/trackers/targetpole_movement_T012.csv,vr driving simulator/SUZI05/S003/trackers/rmcardemo_usa_movement_T012.csv,vr driving simulator/SUZI05/S003/trackers/main_camera_movement_T012.csv
vr driving simulator,SUZI05,3,13,1,13,185.9953,215.9987,2,6,193.1796,False,vr driving simulator/SUZI05/S003/trackers/targetpole_movement_T013.csv,vr driving simulator/SUZI05/S003/trackers/rmcardemo_usa_movement_T013.csv,vr driving simulator/SUZI05/S003/trackers/main_camera_movement_T013.csv
vr driving simulator,SUZI05,3,14,1,14,215.9987,226.979,2,5,155.5719,True,vr driving simulator/SUZI05/S003/trackers/targetpole_movement_T014.csv,vr driving simulator/SUZI05/S003/trackers/rmcardemo_usa_movement_T014.csv,vr driving simulator/SUZI05/S003/trackers/main_camera_movement_T014.csv
vr driving simulator,SUZI05,3,15,1,15,226.979,238.6375,2,6,167.9746,True,vr driving simulator/SUZI05/S003/trackers/targetpole_movement_T015.csv,vr driving simulator/SUZI05/S003/trackers/rmcardemo_usa_movement_T015.csv,vr driving simulator/SUZI05/S003/trackers/main_camera_movement_T015.csv
vr driving simulator,SUZI05,3,16,1,16,238.6375,268.6417,2,6,218.6555,False,vr driving simulator/SUZI05/S003/trackers/targetpole_movement_T016.csv,vr driving simulator/SUZI05/S003/trackers/rmcardemo_usa_movement_T016.csv,vr driving simulator/SUZI05/S003/trackers/main_camera_movement_T016.csv
vr driving simulator,SUZI05,3,17,1,17,268.6417,279.3881,2,4,203.0208,True,vr driving simulator/SUZI05/S003/trackers/targetpole_movement_T017.csv,vr driving simulator/SUZI05/S003/trackers/rmcardemo_usa_movement_T017.csv,vr driving simulator/SUZI05/S003/trackers/main_camera_movement_T017.csv
vr driving simulator,SUZI05,3,18,1,18,279.3881,289.577,2,4,199.7265,True,vr driving simulator/SUZI05/S003/trackers/targetpole_movement_T018.csv,vr driving simulator/SUZI05/S003/trackers/rmcardemo_usa_movement_T018.csv,vr driving simulator/SUZI05/S003/trackers/main_camera_movement_T018.csv
vr driving simulator,SUZI05,3,19,1,19,289.577,300.4167,2,5,164.6314,True,vr driving simulator/SUZI05/S003/trackers/targetpole_movement_T019.csv,vr driving simulator/SUZI05/S003/trackers/rmcardemo_usa_movement_T019.csv,vr driving simulator/SUZI05/S003/trackers/main_camera_movement_T019.csv
vr driving simulator,SUZI05,3,20,1,20,300.4167,310.418,2,4,209.0223,True,vr driving simulator/SUZI05/S003/trackers/targetpole_movement_T020.csv,vr driving simulator/SUZI05/S003/trackers/rmcardemo_usa_movement_T020.csv,vr driving simulator/SUZI05/S003/trackers/main_camera_movement_T020.csv
vr driving simulator,SUZI05,3,21,1,21,310.418,322.2432,2,6,265.3849,True,vr driving simulator/SUZI05/S003/trackers/targetpole_movement_T021.csv,vr driving simulator/SUZI05/S003/trackers/rmcardemo_usa_movement_T021.csv,vr driving simulator/SUZI05/S003/trackers/main_camera_movement_T021.csv
vr driving simulator,SUZI05,3,22,1,22,322.2432,337.1346,2,6,136.0658,True,vr driving simulator/SUZI05/S003/trackers/targetpole_movement_T022.csv,vr driving simulator/SUZI05/S003/trackers/rmcardemo_usa_movement_T022.csv,vr driving simulator/SUZI05/S003/trackers/main_camera_movement_T022.csv
vr driving simulator,SUZI05,3,23,1,23,337.1346,347.5824,2,4,232.6771,True,vr driving simulator/SUZI05/S003/trackers/targetpole_movement_T023.csv,vr driving simulator/SUZI05/S003/trackers/rmcardemo_usa_movement_T023.csv,vr driving simulator/SUZI05/S003/trackers/main_camera_movement_T023.csv
vr driving simulator,SUZI05,3,24,1,24,347.5824,361.0082,2,6,268.2414,True,vr driving simulator/SUZI05/S003/trackers/targetpole_movement_T024.csv,vr driving simulator/SUZI05/S003/trackers/rmcardemo_usa_movement_T024.csv,vr driving simulator/SUZI05/S003/trackers/main_camera_movement_T024.csv
vr driving simulator,SUZI05,3,25,1,25,361.0082,391.0123,2,6,150.2997,False,vr driving simulator/SUZI05/S003/trackers/targetpole_movement_T025.csv,vr driving simulator/SUZI05/S003/trackers/rmcardemo_usa_movement_T025.csv,vr driving simulator/SUZI05/S003/trackers/main_camera_movement_T025.csv
vr driving simulator,SUZI05,3,26,1,26,391.0123,402.4915,2,5,238.7168,True,vr driving simulator/SUZI05/S003/trackers/targetpole_movement_T026.csv,vr driving simulator/SUZI05/S003/trackers/rmcardemo_usa_movement_T026.csv,vr driving simulator/SUZI05/S003/trackers/main_camera_movement_T026.csv
vr driving simulator,SUZI05,3,27,1,27,402.4915,413.6828,2,5,182.2149,True,vr driving simulator/SUZI05/S003/trackers/targetpole_movement_T027.csv,vr driving simulator/SUZI05/S003/trackers/rmcardemo_usa_movement_T027.csv,vr driving simulator/SUZI05/S003/trackers/main_camera_movement_T027.csv
vr driving simulator,SUZI05,3,28,1,28,413.6828,424.5418,2,5,181.4572,True,vr driving simulator/SUZI05/S003/trackers/targetpole_movement_T028.csv,vr driving simulator/SUZI05/S003/trackers/rmcardemo_usa_movement_T028.csv,vr driving simulator/SUZI05/S003/trackers/main_camera_movement_T028.csv
vr driving simulator,SUZI05,3,29,1,29,424.5418,435.5331,2,5,111.0274,True,vr driving simulator/SUZI05/S003/trackers/targetpole_movement_T029.csv,vr driving simulator/SUZI05/S003/trackers/rmcardemo_usa_movement_T029.csv,vr driving simulator/SUZI05/S003/trackers/main_camera_movement_T029.csv
vr driving simulator,SUZI05,3,30,1,30,435.5331,447.9918,2,6,225.6848,True,vr driving simulator/SUZI05/S003/trackers/targetpole_movement_T030.csv,vr driving simulator/SUZI05/S003/trackers/rmcardemo_usa_movement_T030.csv,vr driving simulator/SUZI05/S003/trackers/main_camera_movement_T030.csv
vr driving simulator,SUZI05,3,31,1,31,447.9918,458.6619,2,5,179.7927,True,vr driving simulator/SUZI05/S003/trackers/targetpole_movement_T031.csv,vr driving simulator/SUZI05/S003/trackers/rmcardemo_usa_movement_T031.csv,vr driving simulator/SUZI05/S003/trackers/main_camera_movement_T031.csv
vr driving simulator,SUZI05,3,32,1,32,458.6619,469.2987,2,4,195.3263,True,vr driving simulator/SUZI05/S003/trackers/targetpole_movement_T032.csv,vr driving simulator/SUZI05/S003/trackers/rmcardemo_usa_movement_T032.csv,vr driving simulator/SUZI05/S003/trackers/main_camera_movement_T032.csv
vr driving simulator,SUZI05,3,33,1,33,469.2987,479.2614,2,4,131.1724,True,vr driving simulator/SUZI05/S003/trackers/targetpole_movement_T033.csv,vr driving simulator/SUZI05/S003/trackers/rmcardemo_usa_movement_T033.csv,vr driving simulator/SUZI05/S003/trackers/main_camera_movement_T033.csv
vr driving simulator,SUZI05,3,34,1,34,479.2614,492.187,2,6,140.416,True,vr driving simulator/SUZI05/S003/trackers/targetpole_movement_T034.csv,vr driving simulator/SUZI05/S003/trackers/rmcardemo_usa_movement_T034.csv,vr driving simulator/SUZI05/S003/trackers/main_camera_movement_T034.csv
vr driving simulator,SUZI05,3,35,1,35,492.187,502.9122,2,5,213.084,True,vr driving simulator/SUZI05/S003/trackers/targetpole_movement_T035.csv,vr driving simulator/SUZI05/S003/trackers/rmcardemo_usa_movement_T035.csv,vr driving simulator/SUZI05/S003/trackers/main_camera_movement_T035.csv
vr driving simulator,SUZI05,3,36,1,36,502.9122,513.6474,2,4,138.9148,True,vr driving simulator/SUZI05/S003/trackers/targetpole_movement_T036.csv,vr driving simulator/SUZI05/S003/trackers/rmcardemo_usa_movement_T036.csv,vr driving simulator/SUZI05/S003/trackers/main_camera_movement_T036.csv
vr driving simulator,SUZI05,3,37,1,37,513.6474,524.1148,2,4,202.1476,True,vr driving simulator/SUZI05/S003/trackers/targetpole_movement_T037.csv,vr driving simulator/SUZI05/S003/trackers/rmcardemo_usa_movement_T037.csv,vr driving simulator/SUZI05/S003/trackers/main_camera_movement_T037.csv
vr driving simulator,SUZI05,3,38,1,38,524.1148,534.7063,2,4,140.5444,True,vr driving simulator/SUZI05/S003/trackers/targetpole_movement_T038.csv,vr driving simulator/SUZI05/S003/trackers/rmcardemo_usa_movement_T038.csv,vr driving simulator/SUZI05/S003/trackers/main_camera_movement_T038.csv
vr driving simulator,SUZI05,3,39,1,39,534.7063,549.1763,2,6,259.5356,True,vr driving simulator/SUZI05/S003/trackers/targetpole_movement_T039.csv,vr driving simulator/SUZI05/S003/trackers/rmcardemo_usa_movement_T039.csv,vr driving simulator/SUZI05/S003/trackers/main_camera_movement_T039.csv
vr driving simulator,SUZI05,3,40,1,40,549.1763,560.0936,2,5,247.0077,True,vr driving simulator/SUZI05/S003/trackers/targetpole_movement_T040.csv,vr driving simulator/SUZI05/S003/trackers/rmcardemo_usa_movement_T040.csv,vr driving simulator/SUZI05/S003/trackers/main_camera_movement_T040.csv
vr driving simulator,SUZI05,3,41,1,41,560.0936,570.2517,2,4,259.4104,True,vr driving simulator/SUZI05/S003/trackers/targetpole_movement_T041.csv,vr driving simulator/SUZI05/S003/trackers/rmcardemo_usa_movement_T041.csv,vr driving simulator/SUZI05/S003/trackers/main_camera_movement_T041.csv
vr driving simulator,SUZI05,3,42,1,42,570.2517,580.9547,2,5,126.9323,True,vr driving simulator/SUZI05/S003/trackers/targetpole_movement_T042.csv,vr driving simulator/SUZI05/S003/trackers/rmcardemo_usa_movement_T042.csv,vr driving simulator/SUZI05/S003/trackers/main_camera_movement_T042.csv
vr driving simulator,SUZI05,3,43,1,43,580.9547,591.2541,2,4,191.3539,True,vr driving simulator/SUZI05/S003/trackers/targetpole_movement_T043.csv,vr driving simulator/SUZI05/S003/trackers/rmcardemo_usa_movement_T043.csv,vr driving simulator/SUZI05/S003/trackers/main_camera_movement_T043.csv
vr driving simulator,SUZI05,3,44,1,44,591.2541,601.335,2,5,178.0302,True,vr driving simulator/SUZI05/S003/trackers/targetpole_movement_T044.csv,vr driving simulator/SUZI05/S003/trackers/rmcardemo_usa_movement_T044.csv,vr driving simulator/SUZI05/S003/trackers/main_camera_movement_T044.csv
vr driving simulator,SUZI05,3,45,1,45,601.335,611.7351,2,4,120.1523,True,vr driving simulator/SUZI05/S003/trackers/targetpole_movement_T045.csv,vr driving simulator/SUZI05/S003/trackers/rmcardemo_usa_movement_T045.csv,vr driving simulator/SUZI05/S003/trackers/main_camera_movement_T045.csv
vr driving simulator,SUZI05,3,46,1,46,611.7351,622.8268,2,6,116.8439,True,vr driving simulator/SUZI05/S003/trackers/targetpole_movement_T046.csv,vr driving simulator/SUZI05/S003/trackers/rmcardemo_usa_movement_T046.csv,vr driving simulator/SUZI05/S003/trackers/main_camera_movement_T046.csv
vr driving simulator,SUZI05,3,47,1,47,622.8268,633.4742,2,5,215.8044,True,vr driving simulator/SUZI05/S003/trackers/targetpole_movement_T047.csv,vr driving simulator/SUZI05/S003/trackers/rmcardemo_usa_movement_T047.csv,vr driving simulator/SUZI05/S003/trackers/main_camera_movement_T047.csv
vr driving simulator,SUZI05,3,48,1,48,633.4742,645.6861,2,6,167.3475,True,vr driving simulator/SUZI05/S003/trackers/targetpole_movement_T048.csv,vr driving simulator/SUZI05/S003/trackers/rmcardemo_usa_movement_T048.csv,vr driving simulator/SUZI05/S003/trackers/main_camera_movement_T048.csv
