time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,forward_direction
21.76448,0.045639,1.106569,0.421067,7.055371,322.6437,354.2016,(-0.6_ -0.1_ 0.8)
21.76448,0.045334,1.106492,0.421045,7.021927,322.5728,354.2269,(-0.6_ -0.1_ 0.8)
21.76448,0.045278,1.106493,0.421022,7.023359,322.5756,354.2357,(-0.6_ -0.1_ 0.8)
21.76448,0.045252,1.106499,0.421013,7.024213,322.5789,354.2411,(-0.6_ -0.1_ 0.8)
21.76448,0.045201,1.10651,0.420998,7.027185,322.5951,354.2508,(-0.6_ -0.1_ 0.8)
21.76448,0.045172,1.106517,0.420989,7.026609,322.5989,354.2564,(-0.6_ -0.1_ 0.8)
21.76448,0.045118,1.106535,0.420969,7.038808,322.6027,354.2647,(-0.6_ -0.1_ 0.8)
21.76448,0.045048,1.106546,0.420945,7.046229,322.6205,354.2791,(-0.6_ -0.1_ 0.8)
21.76448,0.045025,1.106542,0.420937,7.044804,322.6102,354.2953,(-0.6_ -0.1_ 0.8)
21.76448,0.044959,1.106543,0.420914,7.046179,322.6123,354.3126,(-0.6_ -0.1_ 0.8)
21.76448,0.044888,1.10654,0.420895,7.044056,322.6061,354.3294,(-0.6_ -0.1_ 0.8)
21.76448,0.04484,1.106538,0.420883,7.039623,322.6002,354.3382,(-0.6_ -0.1_ 0.8)
21.76448,0.044762,1.106533,0.420866,7.036025,322.5878,354.3583,(-0.6_ -0.1_ 0.8)
21.76448,0.0447,1.106529,0.420848,7.04122,322.5709,354.3686,(-0.6_ -0.1_ 0.8)
21.76448,0.044642,1.106514,0.420839,7.042565,322.5576,354.3799,(-0.6_ -0.1_ 0.8)
21.76448,0.044603,1.106507,0.420837,7.04916,322.5381,354.3836,(-0.6_ -0.1_ 0.8)
21.76448,0.044548,1.106488,0.420838,7.053194,322.5177,354.3958,(-0.6_ -0.1_ 0.8)
21.76448,0.044509,1.106473,0.420841,7.052031,322.5064,354.4076,(-0.6_ -0.1_ 0.8)
