time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,forward_direction
468.0746,-0.328749,1.139324,0.157478,2.637185,357.4683,356.0651,(0.0_ 0.0_ 1.0)
468.0746,-0.323748,1.14018,0.155988,2.138412,358.5681,354.5382,(0.0_ 0.0_ 1.0)
468.0746,-0.321616,1.140654,0.15534,1.743086,359.1284,354.2037,(0.0_ 0.0_ 1.0)
468.0746,-0.321296,1.140715,0.155282,1.684867,359.2103,354.0835,(0.0_ 0.0_ 1.0)
468.0746,-0.321011,1.140685,0.155203,1.655831,359.2797,353.9842,(0.0_ 0.0_ 1.0)
468.0746,-0.321048,1.140558,0.155169,1.743458,359.2783,353.9655,(0.0_ 0.0_ 1.0)
468.0746,-0.320737,1.140516,0.155005,1.817992,359.3295,353.8268,(0.0_ 0.0_ 1.0)
468.0746,-0.320387,1.140343,0.154815,1.877398,359.3673,353.8094,(0.0_ 0.0_ 1.0)
468.0746,-0.320127,1.140165,0.15466,1.909698,359.4164,353.6891,(0.0_ 0.0_ 1.0)
468.0746,-0.319834,1.140011,0.154459,2.023666,359.4316,353.6126,(0.0_ 0.0_ 1.0)
468.0746,-0.31992,1.139869,0.154419,2.073272,359.475,353.6772,(0.0_ 0.0_ 1.0)
468.0746,-0.319642,1.139722,0.154211,2.175807,359.5004,353.5935,(0.0_ 0.0_ 1.0)
468.0746,-0.319374,1.139581,0.154066,2.208848,359.5432,353.5327,(0.0_ 0.0_ 1.0)
468.0746,-0.319137,1.139576,0.15395,2.221152,359.6293,353.4906,(0.0_ 0.0_ 1.0)
468.0746,-0.318939,1.139584,0.153867,2.172997,359.7144,353.4332,(0.0_ 0.0_ 1.0)
468.0746,-0.318718,1.139578,0.153812,2.106039,359.7442,353.4124,(0.0_ 0.0_ 1.0)
468.0746,-0.318564,1.13967,0.153742,2.07791,359.8196,353.4228,(0.0_ 0.0_ 1.0)
468.0746,-0.318413,1.139758,0.153698,2.021894,359.883,353.4432,(0.0_ 0.0_ 1.0)
468.0746,-0.31824,1.139906,0.153705,1.861241,359.9698,353.4361,(0.0_ 0.0_ 1.0)
468.0746,-0.318079,1.14008,0.15366,1.775026,359.9584,353.4633,(0.0_ 0.0_ 1.0)
468.0746,-0.318058,1.140169,0.153735,1.559599,0.033139,353.4809,(0.0_ 0.0_ 1.0)
468.0746,-0.318037,1.140326,0.153742,1.4347,0.062423,353.475,(0.0_ 0.0_ 1.0)
468.0746,-0.318059,1.140317,0.153761,1.401986,0.02011,353.5111,(0.0_ 0.0_ 1.0)
468.0746,-0.318015,1.140461,0.153816,1.231976,0.029913,353.5681,(0.0_ 0.0_ 1.0)
468.0746,-0.317957,1.140593,0.153909,1.002759,0.01061,353.6541,(0.0_ 0.0_ 1.0)
468.0746,-0.317907,1.140793,0.153991,0.835659,359.9849,353.7355,(0.0_ 0.0_ 1.0)
468.0746,-0.317896,1.141002,0.154104,0.649623,359.9533,353.7811,(0.0_ 0.0_ 1.0)
468.0746,-0.317917,1.141163,0.154234,0.456526,359.9397,353.8189,(0.0_ 0.0_ 1.0)
468.0746,-0.317915,1.141336,0.154314,0.354766,359.878,353.8503,(0.0_ 0.0_ 1.0)
468.0746,-0.31796,1.141426,0.154438,0.237703,359.8586,353.8955,(0.0_ 0.0_ 1.0)
468.0746,-0.31803,1.141481,0.154546,0.18684,359.8639,353.9538,(0.0_ 0.0_ 1.0)
468.0746,-0.318102,1.14153,0.154649,0.167877,359.8714,353.9915,(0.0_ 0.0_ 1.0)
468.0746,-0.318097,1.141535,0.154719,0.218433,359.8413,354.0686,(0.0_ 0.0_ 1.0)
468.0746,-0.318143,1.141492,0.154735,0.274385,359.8535,354.0543,(0.0_ 0.0_ 1.0)
468.0746,-0.318239,1.141453,0.154828,0.433938,359.8489,354.107,(0.0_ 0.0_ 1.0)
468.0746,-0.318309,1.141337,0.154865,0.572377,359.8318,354.1212,(0.0_ 0.0_ 1.0)
468.0746,-0.318403,1.141224,0.154869,0.772881,359.8391,354.1132,(0.0_ 0.0_ 1.0)
468.0746,-0.318543,1.141109,0.154906,0.971779,359.8988,354.1367,(0.0_ 0.0_ 1.0)
468.0746,-0.318657,1.140939,0.154944,1.152577,359.9351,354.1638,(0.0_ 0.0_ 1.0)
468.0746,-0.31882,1.140786,0.155016,1.339671,359.9764,354.1499,(0.0_ 0.0_ 1.0)
468.0746,-0.318972,1.140626,0.155088,1.51276,0.007851,354.1364,(0.0_ 0.0_ 1.0)
468.0746,-0.319153,1.140459,0.155128,1.70555,0.061984,354.1242,(0.0_ 0.0_ 1.0)
468.0746,-0.319356,1.140232,0.155221,1.847842,0.127168,354.1663,(0.0_ 0.0_ 1.0)
468.0746,-0.31957,1.140015,0.155281,1.999501,0.139028,354.1663,(0.0_ 0.0_ 1.0)
468.0746,-0.319826,1.139746,0.155377,2.107193,0.161691,354.198,(0.0_ 0.0_ 1.0)
468.0746,-0.320091,1.139406,0.155461,2.19009,0.181186,354.281,(0.0_ 0.0_ 1.0)
468.0746,-0.32037,1.13913,0.155516,2.312999,0.164469,354.3365,(0.0_ 0.0_ 1.0)
468.0746,-0.320634,1.138865,0.155536,2.407344,0.083471,354.3743,(0.0_ 0.0_ 1.0)
468.0746,-0.320941,1.138615,0.155609,2.454571,0.020022,354.3908,(0.0_ 0.0_ 1.0)
468.0746,-0.321266,1.138487,0.155713,2.485451,359.9475,354.3977,(0.0_ 0.0_ 1.0)
