experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,condition,targetspeed,map_rotation,hit,targetpole_movement_location_0,rmcardemo_usa_movement_location_0,main_camera_movement_location_0
vr driving simulator,koju11,3,1,1,1,9.209105,22.40883,2,5,216.3528,True,vr driving simulator/koju11/S003/trackers/targetpole_movement_T001.csv,vr driving simulator/koju11/S003/trackers/rmcardemo_usa_movement_T001.csv,vr driving simulator/koju11/S003/trackers/main_camera_movement_T001.csv
vr driving simulator,koju11,3,2,1,2,22.40883,37.97674,2,6,260.9452,True,vr driving simulator/koju11/S003/trackers/targetpole_movement_T002.csv,vr driving simulator/koju11/S003/trackers/rmcardemo_usa_movement_T002.csv,vr driving simulator/koju11/S003/trackers/main_camera_movement_T002.csv
vr driving simulator,koju11,3,3,1,3,37.97674,48.45724,2,5,239.0104,True,vr driving simulator/koju11/S003/trackers/targetpole_movement_T003.csv,vr driving simulator/koju11/S003/trackers/rmcardemo_usa_movement_T003.csv,vr driving simulator/koju11/S003/trackers/main_camera_movement_T003.csv
vr driving simulator,koju11,3,4,1,4,48.45724,64.53868,2,6,184.2775,True,vr driving simulator/koju11/S003/trackers/targetpole_movement_T004.csv,vr driving simulator/koju11/S003/trackers/rmcardemo_usa_movement_T004.csv,vr driving simulator/koju11/S003/trackers/main_camera_movement_T004.csv
vr driving simulator,koju11,3,5,1,5,64.53868,75.4192,2,4,100.3085,True,vr driving simulator/koju11/S003/trackers/targetpole_movement_T005.csv,vr driving simulator/koju11/S003/trackers/rmcardemo_usa_movement_T005.csv,vr driving simulator/koju11/S003/trackers/main_camera_movement_T005.csv
vr driving simulator,koju11,3,6,1,6,75.4192,85.15634,2,4,131.539,True,vr driving simulator/koju11/S003/trackers/targetpole_movement_T006.csv,vr driving simulator/koju11/S003/trackers/rmcardemo_usa_movement_T006.csv,vr driving simulator/koju11/S003/trackers/main_camera_movement_T006.csv
vr driving simulator,koju11,3,7,1,7,85.15634,95.31569,2,4,161.4077,True,vr driving simulator/koju11/S003/trackers/targetpole_movement_T007.csv,vr driving simulator/koju11/S003/trackers/rmcardemo_usa_movement_T007.csv,vr driving simulator/koju11/S003/trackers/main_camera_movement_T007.csv
vr driving simulator,koju11,3,8,1,8,95.31569,110.5186,2,5,215.7998,True,vr driving simulator/koju11/S003/trackers/targetpole_movement_T008.csv,vr driving simulator/koju11/S003/trackers/rmcardemo_usa_movement_T008.csv,vr driving simulator/koju11/S003/trackers/main_camera_movement_T008.csv
vr driving simulator,koju11,3,9,1,9,110.5186,122.8879,2,6,174.4287,True,vr driving simulator/koju11/S003/trackers/targetpole_movement_T009.csv,vr driving simulator/koju11/S003/trackers/rmcardemo_usa_movement_T009.csv,vr driving simulator/koju11/S003/trackers/main_camera_movement_T009.csv
vr driving simulator,koju11,3,10,1,10,122.8879,139.9462,2,6,195.658,True,vr driving simulator/koju11/S003/trackers/targetpole_movement_T010.csv,vr driving simulator/koju11/S003/trackers/rmcardemo_usa_movement_T010.csv,vr driving simulator/koju11/S003/trackers/main_camera_movement_T010.csv
vr driving simulator,koju11,3,11,1,11,139.9462,152.7824,2,5,195.1159,True,vr driving simulator/koju11/S003/trackers/targetpole_movement_T011.csv,vr driving simulator/koju11/S003/trackers/rmcardemo_usa_movement_T011.csv,vr driving simulator/koju11/S003/trackers/main_camera_movement_T011.csv
vr driving simulator,koju11,3,12,1,12,152.7824,167.6568,2,6,248.3475,True,vr driving simulator/koju11/S003/trackers/targetpole_movement_T012.csv,vr driving simulator/koju11/S003/trackers/rmcardemo_usa_movement_T012.csv,vr driving simulator/koju11/S003/trackers/main_camera_movement_T012.csv
vr driving simulator,koju11,3,13,1,13,167.6568,178.4276,2,4,114.1286,True,vr driving simulator/koju11/S003/trackers/targetpole_movement_T013.csv,vr driving simulator/koju11/S003/trackers/rmcardemo_usa_movement_T013.csv,vr driving simulator/koju11/S003/trackers/main_camera_movement_T013.csv
vr driving simulator,koju11,3,14,1,14,178.4276,189.3114,2,4,191.1021,True,vr driving simulator/koju11/S003/trackers/targetpole_movement_T014.csv,vr driving simulator/koju11/S003/trackers/rmcardemo_usa_movement_T014.csv,vr driving simulator/koju11/S003/trackers/main_camera_movement_T014.csv
vr driving simulator,koju11,3,15,1,15,189.3114,200.0706,2,4,174.6475,True,vr driving simulator/koju11/S003/trackers/targetpole_movement_T015.csv,vr driving simulator/koju11/S003/trackers/rmcardemo_usa_movement_T015.csv,vr driving simulator/koju11/S003/trackers/main_camera_movement_T015.csv
vr driving simulator,koju11,3,16,1,16,200.0706,210.0624,2,4,161.3238,True,vr driving simulator/koju11/S003/trackers/targetpole_movement_T016.csv,vr driving simulator/koju11/S003/trackers/rmcardemo_usa_movement_T016.csv,vr driving simulator/koju11/S003/trackers/main_camera_movement_T016.csv
vr driving simulator,koju11,3,17,1,17,210.0624,224.0992,2,6,139.1735,True,vr driving simulator/koju11/S003/trackers/targetpole_movement_T017.csv,vr driving simulator/koju11/S003/trackers/rmcardemo_usa_movement_T017.csv,vr driving simulator/koju11/S003/trackers/main_camera_movement_T017.csv
vr driving simulator,koju11,3,18,1,18,224.0992,238.2356,2,5,249.5254,True,vr driving simulator/koju11/S003/trackers/targetpole_movement_T018.csv,vr driving simulator/koju11/S003/trackers/rmcardemo_usa_movement_T018.csv,vr driving simulator/koju11/S003/trackers/main_camera_movement_T018.csv
vr driving simulator,koju11,3,19,1,19,238.2356,248.3166,2,4,169.8619,True,vr driving simulator/koju11/S003/trackers/targetpole_movement_T019.csv,vr driving simulator/koju11/S003/trackers/rmcardemo_usa_movement_T019.csv,vr driving simulator/koju11/S003/trackers/main_camera_movement_T019.csv
vr driving simulator,koju11,3,20,1,20,248.3166,262.1754,2,6,218.5725,True,vr driving simulator/koju11/S003/trackers/targetpole_movement_T020.csv,vr driving simulator/koju11/S003/trackers/rmcardemo_usa_movement_T020.csv,vr driving simulator/koju11/S003/trackers/main_camera_movement_T020.csv
vr driving simulator,koju11,3,21,1,21,262.1754,272.7678,2,4,184.0576,True,vr driving simulator/koju11/S003/trackers/targetpole_movement_T021.csv,vr driving simulator/koju11/S003/trackers/rmcardemo_usa_movement_T021.csv,vr driving simulator/koju11/S003/trackers/main_camera_movement_T021.csv
vr driving simulator,koju11,3,22,1,22,272.7678,283.4369,2,5,264.7705,True,vr driving simulator/koju11/S003/trackers/targetpole_movement_T022.csv,vr driving simulator/koju11/S003/trackers/rmcardemo_usa_movement_T022.csv,vr driving simulator/koju11/S003/trackers/main_camera_movement_T022.csv
vr driving simulator,koju11,3,23,1,23,283.4369,295.2404,2,5,222.5896,True,vr driving simulator/koju11/S003/trackers/targetpole_movement_T023.csv,vr driving simulator/koju11/S003/trackers/rmcardemo_usa_movement_T023.csv,vr driving simulator/koju11/S003/trackers/main_camera_movement_T023.csv
vr driving simulator,koju11,3,24,1,24,295.2404,305.8543,2,5,119.5771,True,vr driving simulator/koju11/S003/trackers/targetpole_movement_T024.csv,vr driving simulator/koju11/S003/trackers/rmcardemo_usa_movement_T024.csv,vr driving simulator/koju11/S003/trackers/main_camera_movement_T024.csv
vr driving simulator,koju11,3,25,1,25,305.8543,317.7349,2,4,154.5471,True,vr driving simulator/koju11/S003/trackers/targetpole_movement_T025.csv,vr driving simulator/koju11/S003/trackers/rmcardemo_usa_movement_T025.csv,vr driving simulator/koju11/S003/trackers/main_camera_movement_T025.csv
vr driving simulator,koju11,3,26,1,26,317.7349,334.5256,2,6,182.0524,True,vr driving simulator/koju11/S003/trackers/targetpole_movement_T026.csv,vr driving simulator/koju11/S003/trackers/rmcardemo_usa_movement_T026.csv,vr driving simulator/koju11/S003/trackers/main_camera_movement_T026.csv
vr driving simulator,koju11,3,27,1,27,334.5256,348.8848,2,5,204.0916,True,vr driving simulator/koju11/S003/trackers/targetpole_movement_T027.csv,vr driving simulator/koju11/S003/trackers/rmcardemo_usa_movement_T027.csv,vr driving simulator/koju11/S003/trackers/main_camera_movement_T027.csv
vr driving simulator,koju11,3,28,1,28,348.8848,359.3976,2,4,197.8396,True,vr driving simulator/koju11/S003/trackers/targetpole_movement_T028.csv,vr driving simulator/koju11/S003/trackers/rmcardemo_usa_movement_T028.csv,vr driving simulator/koju11/S003/trackers/main_camera_movement_T028.csv
vr driving simulator,koju11,3,29,1,29,359.3976,371.4346,2,6,207.0973,True,vr driving simulator/koju11/S003/trackers/targetpole_movement_T029.csv,vr driving simulator/koju11/S003/trackers/rmcardemo_usa_movement_T029.csv,vr driving simulator/koju11/S003/trackers/main_camera_movement_T029.csv
vr driving simulator,koju11,3,30,1,30,371.4346,383.5937,2,5,203.2087,True,vr driving simulator/koju11/S003/trackers/targetpole_movement_T030.csv,vr driving simulator/koju11/S003/trackers/rmcardemo_usa_movement_T030.csv,vr driving simulator/koju11/S003/trackers/main_camera_movement_T030.csv
vr driving simulator,koju11,3,31,1,31,383.5937,401.3188,2,6,253.2953,True,vr driving simulator/koju11/S003/trackers/targetpole_movement_T031.csv,vr driving simulator/koju11/S003/trackers/rmcardemo_usa_movement_T031.csv,vr driving simulator/koju11/S003/trackers/main_camera_movement_T031.csv
vr driving simulator,koju11,3,32,1,32,401.3188,411.8655,2,4,155.5857,True,vr driving simulator/koju11/S003/trackers/targetpole_movement_T032.csv,vr driving simulator/koju11/S003/trackers/rmcardemo_usa_movement_T032.csv,vr driving simulator/koju11/S003/trackers/main_camera_movement_T032.csv
vr driving simulator,koju11,3,33,1,33,411.8655,423.4572,2,4,248.2702,True,vr driving simulator/koju11/S003/trackers/targetpole_movement_T033.csv,vr driving simulator/koju11/S003/trackers/rmcardemo_usa_movement_T033.csv,vr driving simulator/koju11/S003/trackers/main_camera_movement_T033.csv
vr driving simulator,koju11,3,34,1,34,423.4572,443.3499,2,5,122.0821,True,vr driving simulator/koju11/S003/trackers/targetpole_movement_T034.csv,vr driving simulator/koju11/S003/trackers/rmcardemo_usa_movement_T034.csv,vr driving simulator/koju11/S003/trackers/main_camera_movement_T034.csv
vr driving simulator,koju11,3,35,1,35,443.3499,468.0746,2,5,107.2191,True,vr driving simulator/koju11/S003/trackers/targetpole_movement_T035.csv,vr driving simulator/koju11/S003/trackers/rmcardemo_usa_movement_T035.csv,vr driving simulator/koju11/S003/trackers/main_camera_movement_T035.csv
vr driving simulator,koju11,3,36,1,36,468.0746,487.1329,2,6,175.4041,True,vr driving simulator/koju11/S003/trackers/targetpole_movement_T036.csv,vr driving simulator/koju11/S003/trackers/rmcardemo_usa_movement_T036.csv,vr driving simulator/koju11/S003/trackers/main_camera_movement_T036.csv
vr driving simulator,koju11,3,37,1,37,487.1329,500.38,2,6,105.3771,True,vr driving simulator/koju11/S003/trackers/targetpole_movement_T037.csv,vr driving simulator/koju11/S003/trackers/rmcardemo_usa_movement_T037.csv,vr driving simulator/koju11/S003/trackers/main_camera_movement_T037.csv
vr driving simulator,koju11,3,38,1,38,500.38,510.7488,2,4,225.7443,True,vr driving simulator/koju11/S003/trackers/targetpole_movement_T038.csv,vr driving simulator/koju11/S003/trackers/rmcardemo_usa_movement_T038.csv,vr driving simulator/koju11/S003/trackers/main_camera_movement_T038.csv
vr driving simulator,koju11,3,39,1,39,510.7488,521.541,2,5,213.015,True,vr driving simulator/koju11/S003/trackers/targetpole_movement_T039.csv,vr driving simulator/koju11/S003/trackers/rmcardemo_usa_movement_T039.csv,vr driving simulator/koju11/S003/trackers/main_camera_movement_T039.csv
vr driving simulator,koju11,3,40,1,40,521.541,539.9665,2,6,93.69722,True,vr driving simulator/koju11/S003/trackers/targetpole_movement_T040.csv,vr driving simulator/koju11/S003/trackers/rmcardemo_usa_movement_T040.csv,vr driving simulator/koju11/S003/trackers/main_camera_movement_T040.csv
vr driving simulator,koju11,3,41,1,41,539.9665,549.9686,2,4,107.6774,True,vr driving simulator/koju11/S003/trackers/targetpole_movement_T041.csv,vr driving simulator/koju11/S003/trackers/rmcardemo_usa_movement_T041.csv,vr driving simulator/koju11/S003/trackers/main_camera_movement_T041.csv
vr driving simulator,koju11,3,42,1,42,549.9686,561.3255,2,4,155.7936,True,vr driving simulator/koju11/S003/trackers/targetpole_movement_T042.csv,vr driving simulator/koju11/S003/trackers/rmcardemo_usa_movement_T042.csv,vr driving simulator/koju11/S003/trackers/main_camera_movement_T042.csv
vr driving simulator,koju11,3,43,1,43,561.3255,579.5288,2,6,197.0536,True,vr driving simulator/koju11/S003/trackers/targetpole_movement_T043.csv,vr driving simulator/koju11/S003/trackers/rmcardemo_usa_movement_T043.csv,vr driving simulator/koju11/S003/trackers/main_camera_movement_T043.csv
vr driving simulator,koju11,3,44,1,44,579.5288,596.9194,2,6,176.4949,True,vr driving simulator/koju11/S003/trackers/targetpole_movement_T044.csv,vr driving simulator/koju11/S003/trackers/rmcardemo_usa_movement_T044.csv,vr driving simulator/koju11/S003/trackers/main_camera_movement_T044.csv
