time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,forward_direction
33.98478,-0.303669,1.145501,0.160388,3.032301,19.7404,3.372964,(0.3_ -0.1_ 0.9)
33.98478,-0.303694,1.145612,0.160296,2.961657,19.67696,3.310144,(0.3_ -0.1_ 0.9)
33.98478,-0.303708,1.145621,0.160292,2.9512,19.66813,3.310366,(0.3_ -0.1_ 0.9)
33.98478,-0.303723,1.145632,0.160288,2.947957,19.65564,3.304385,(0.3_ -0.1_ 0.9)
33.98478,-0.303739,1.145639,0.160287,2.943347,19.64211,3.29969,(0.3_ -0.1_ 0.9)
33.98478,-0.303755,1.145645,0.160287,2.940418,19.63068,3.295079,(0.3_ -0.1_ 0.9)
33.98478,-0.303769,1.14565,0.160287,2.940091,19.6156,3.288342,(0.3_ -0.1_ 0.9)
33.98478,-0.30378,1.145648,0.160292,2.940876,19.60146,3.281462,(0.3_ -0.1_ 0.9)
33.98478,-0.303792,1.145647,0.160297,2.942444,19.58847,3.276632,(0.3_ -0.1_ 0.9)
33.98478,-0.303795,1.145649,0.160296,2.948525,19.57485,3.268806,(0.3_ -0.1_ 0.9)
33.98478,-0.303802,1.145643,0.160303,2.953063,19.55787,3.259501,(0.3_ -0.1_ 0.9)
33.98478,-0.303818,1.145628,0.160322,2.958388,19.54659,3.253363,(0.3_ -0.1_ 0.9)
33.98478,-0.303823,1.145613,0.160337,2.969328,19.53366,3.244365,(0.3_ -0.1_ 0.9)
33.98478,-0.303824,1.145613,0.160337,2.975774,19.5226,3.239192,(0.3_ -0.1_ 0.9)
33.98478,-0.303828,1.145598,0.160352,2.984956,19.51505,3.230841,(0.3_ -0.1_ 0.9)
33.98478,-0.303829,1.145583,0.160365,2.994381,19.50257,3.223265,(0.3_ -0.1_ 0.9)
33.98478,-0.30383,1.145563,0.160383,3.005671,19.49463,3.215937,(0.3_ -0.1_ 0.9)
33.98478,-0.303828,1.145559,0.160386,3.015966,19.48699,3.210494,(0.3_ -0.1_ 0.9)
33.98478,-0.303822,1.145523,0.160416,3.039249,19.47447,3.196036,(0.3_ -0.1_ 0.9)
33.98478,-0.303817,1.145502,0.160434,3.053422,19.46959,3.189822,(0.3_ -0.1_ 0.9)
33.98478,-0.303813,1.145498,0.160435,3.063214,19.45932,3.18576,(0.3_ -0.1_ 0.9)
33.98478,-0.303811,1.145481,0.16045,3.07239,19.46148,3.181698,(0.3_ -0.1_ 0.9)
33.98478,-0.303802,1.145461,0.160465,3.085227,19.45448,3.173885,(0.3_ -0.1_ 0.9)
33.98478,-0.30379,1.145436,0.160481,3.094276,19.45309,3.165196,(0.3_ -0.1_ 0.9)
33.98478,-0.303789,1.145435,0.160484,3.09782,19.45755,3.162839,(0.3_ -0.1_ 0.9)
33.98478,-0.303783,1.145429,0.160486,3.104878,19.45135,3.16057,(0.3_ -0.1_ 0.9)
33.98478,-0.303778,1.145416,0.160495,3.107353,19.45966,3.166397,(0.3_ -0.1_ 0.9)
33.98478,-0.303776,1.145415,0.160497,3.108172,19.46631,3.16623,(0.3_ -0.1_ 0.9)
33.98478,-0.303773,1.14541,0.160499,3.10386,19.4718,3.169648,(0.3_ -0.1_ 0.9)
33.98478,-0.30377,1.145412,0.160496,3.107383,19.47115,3.172627,(0.3_ -0.1_ 0.9)
33.98478,-0.303766,1.145414,0.160493,3.103043,19.47558,3.17514,(0.3_ -0.1_ 0.9)
33.98478,-0.303767,1.145414,0.160493,3.101831,19.48023,3.179115,(0.3_ -0.1_ 0.9)
33.98478,-0.303767,1.145419,0.160488,3.099563,19.48324,3.181744,(0.3_ -0.1_ 0.9)
